FASTSim I/O #,Vocation,Drivetrain,Vehicle loading,Tech year,Range set point of specified spread %,Scenario name,vehPtType,dragCoef,frontalAreaM2,gliderKg_input,vehCgM,driveAxleWeightFrac,wheelBaseM,cargoKg_input,vehOverrideKg,maxFuelStorKw,fuelStorSecsToPeakPwr,fuelStorKwh,fuelStorKwhPerKg,maxFuelConvKw,fcEffType,fcAbsEffImpr,fuelConvSecsToPeakPwr,fuelConvBaseKg,fuelConvKwPerKg,maxMotorKw,motorPeakEff,motorSecsToPeakPwr,mcPeKgPerKw,mcPeBaseKg,maxEssKw,maxEssKwh,essKgPerKwh,essBaseKg,essRoundTripEff,essLifeCoefA,essLifeCoefB,wheelInertiaKgM2,numWheels,wheelRrCoef,wheelRadiusM,wheelCoefOfFric,minSoc,maxSoc,essDischgToFcMaxEffPerc,essChgToFcMaxEffPerc,maxAccelBufferMph,maxAccelBufferPercOfUseableSoc,percHighAccBuf,mphFcOn,kwDemandFcOn,altEff,chgEff,auxKw,forceAuxOnFC,transKg_input,transEff,compMassMultiplier,essToFuelOkError,maxRegen,valUddsMpgge,valHwyMpgge,valCombMpgge,valUddsKwhPerMile,valHwyKwhPerMile,valCombKwhPerMile,valCdRangeMi,valConst65MphKwhPerMile,valConst60MphKwhPerMile,valConst55MphKwhPerMile,valConst45MphKwhPerMile,valUnadjUddsKwhPerMile,valUnadjHwyKwhPerMile,val0To60Mph,valEssLifeMiles,valRangeMiles,valVehBaseCost,valMsrp,minFcTimeOn,idleFcKw,driveCycle,VMT,vmtReductPerYear,constTripDistMiles,vehLifeYears,desiredEssReplacements,gasolineDolPerGal,dieselDolPerGal,dolPerKwh,hydrogenDolPerGGE,tax,discRate,essDolPerKw,essDolPerKwh,essPackageCost,essCostRedPerYear,essSalvageVal,peAndMcDolPerKw,peAndMcBaseCost,iceDolPerKw,iceBaseCost,fuelCellDolPerKw,fuelStorDolPerKwh,fuelStorH2DolPerKwh,plugCost_input,markup,cngIceDolPerKw,fuelStorCngDolPerKwh,vehGliderPrice,vehScenName,range_acvd,acvhd_0_to_acc_speed_secs,mpgge,grid_kwh_per_mi,msrp,gliderCost,fcCost,fsCost,plugCost,mpeCost,essCost,taxCost,vehKg,essMassKg,mcMassKg,fcMassKg,fsMassKg,cargoKg,gliderKg,transKg,Total_mpgge_with_aggegated_PHEV,electricity_use_kWh_per_mi,total_range_mi,fuel_kwh_per_mi,electric_range_mi,fuel_range_mi,Vehicle_class_max_gross_weight(kg),PHEV_Charge_Depleting_Mode_Electricity_Use_kWh_per_mile,PHEV_Charge_Depleting_Mode_Fuel_Use_kWh_per_mile,PHEV_Charge_Sustaining_Mode_Fuel_Use_kWh_per_mile,Vehicle_max_cargo_capacity(kg),Drive_cycle_number,Drive_cycle_name,,,vMassLb
1,C8 truck sleeper,Conv,max,2018,0,C8 truck sleeper| Conv| max cargo| 2018| +0% of ave rng,1,0.471316306,10.18,10832.8,0.46,0.8,2.28,23294.08615,0,5000,1,3413.301864,9.875636446,317,5,0.022964512,6,0,0.2745,0,0.93,4,0.333333333,0,0,0,4.7,75,0.97,110,-0.6811,10,18,0.0054,0.506,0.7,0.1,0.95,0,0,60,0.2,0,55,100,1,0.86,3.4,FALSE,300,0.95,1.2,0.005,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,cycles/long_haul_cyc.csv,109800,0,0,7,0,2.88,3.24,0.13,10,0,0.041,0,197,0,0,0,8,0,47.3,-0.45,196,0.07,36,0,1.5,55,7.467735503,123514.7033,C8 truck sleeper| Conv| max cargo| 2018| +0% of ave rng,672.0177683,58.95359762,6.634924098,0,157552,123514.7033,33678.9,358.3966957,0,0,0,0,36287.43275,0,0,1385.79235,414.754255,23294.08615,10832.8,360,6.634924098,0,750,5.0791840,0,750,36287.43275,0,0,0,23294.08615,1,long_haul_cyc.csv,,,80000
2,C8 truck sleeper,Conv,typical,2018,-1,C8 truck sleeper| Conv| ave cargo| 2018| -100% of ave rng,1,0.471316306,10.18,10832.8,0.46,0.8,2.28,16329.34474,0,5000,1,2270.23531,9.875636446,317,5,0.022964512,6,0,0.2745,0,0.93,4,0.333333333,0,0,0,4.7,75,0.97,110,-0.6811,10,18,0.0054,0.506,0.7,0.1,0.95,0,0,60,0.2,0,55,100,1,0.86,3.4,FALSE,300,0.95,1.2,0.005,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,cycles/long_haul_cyc.csv,109800,0,0,7,0,2.88,3.24,0.13,10,0,0.041,0,197,0,0,0,8,0,47.3,-0.45,196,0.07,36,0,1.5,55,7.467735503,123514.7033,C8 truck sleeper| Conv| ave cargo| 2018| -100% of ave rng,499.9999998,46.85804303,7.422138102,0,157431.978,123514.7033,33678.9,238.3747076,0,0,0,0,29183.79601,0,0,1385.79235,275.8589167,16329.34474,10832.8,360,7.422138102,0,500,4.5404706,0,500,36287.43275,0,0,0,23432.98149,1,long_haul_cyc.csv,,,64339.18035
3,C8 truck sleeper,Conv,typical,2018,-0.5,C8 truck sleeper| Conv| ave cargo| 2018| -50% of ave rng,1,0.471316306,10.18,10832.8,0.46,0.8,2.28,16329.34474,0,5000,1,2841.116326,9.875636446,317,5,0.022964512,6,0,0.2745,0,0.93,4,0.333333333,0,0,0,4.7,75,0.97,110,-0.6811,10,18,0.0054,0.506,0.7,0.1,0.95,0,0,60,0.2,0,55,100,1,0.86,3.4,FALSE,300,0.95,1.2,0.005,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,cycles/long_haul_cyc.csv,109800,0,0,7,0,2.88,3.24,0.13,10,0,0.041,0,197,0,0,0,8,0,47.3,-0.45,196,0.07,36,0,1.5,55,7.467735503,123514.7033,C8 truck sleeper| Conv| ave cargo| 2018| -50% of ave rng,625,46.9725919,7.413459213,0,157491.9205,123514.7033,33678.9,298.3172142,0,0,0,0,29253.16442,0,0,1385.79235,345.2273289,16329.34474,10832.8,360,7.413459213,0,625,4.5457861,0,625,36287.43275,0,0,0,23363.61308,1,long_haul_cyc.csv,,,64492.11134
4,C8 truck sleeper,Conv,typical,2018,0,C8 truck sleeper| Conv| ave cargo| 2018| +0% of ave rng,1,0.471316306,10.18,10832.8,0.46,0.8,2.28,16329.34474,0,5000,1,3413.301864,9.875636446,317,5,0.022964512,6,0,0.2745,0,0.93,4,0.333333333,0,0,0,4.7,75,0.97,110,-0.6811,10,18,0.0054,0.506,0.7,0.1,0.95,0,0,60,0.2,0,55,100,1,0.86,3.4,FALSE,300,0.95,1.2,0.005,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,cycles/long_haul_cyc.csv,109800,0,0,7,0,2.88,3.24,0.13,10,0,0.041,0,197,0,0,0,8,0,47.3,-0.45,196,0.07,36,0,1.5,55,7.467735503,123514.7033,C8 truck sleeper| Conv| ave cargo| 2018| +0% of ave rng,750,47.08746636,7.404853425,0,157552,123514.7033,33678.9,358.3966957,0,0,0,0,29322.69134,0,0,1385.79235,414.754255,16329.34474,10832.8,360,7.404853425,0,750,4.5510692,0,750,36287.43275,0,0,0,23294.08615,1,long_haul_cyc.csv,,,64645.39179
5,C8 truck sleeper,Conv,typical,2018,0.5,C8 truck sleeper| Conv| ave cargo| 2018| +50% of ave rng,1,0.471316306,10.18,10832.8,0.46,0.8,2.28,16329.34474,0,5000,1,3986.832023,9.875636446,317,5,0.022964512,6,0,0.2745,0,0.93,4,0.333333333,0,0,0,4.7,75,0.97,110,-0.6811,10,18,0.0054,0.506,0.7,0.1,0.95,0,0,60,0.2,0,55,100,1,0.86,3.4,FALSE,300,0.95,1.2,0.005,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,cycles/long_haul_cyc.csv,109800,0,0,7,0,2.88,3.24,0.13,10,0,0.041,0,197,0,0,0,8,0,47.3,-0.45,196,0.07,36,0,1.5,55,7.467735503,123514.7033,C8 truck sleeper| Conv| ave cargo| 2018| +50% of ave rng,875.0000001,47.2026798,7.396223325,0,157612.2207,123514.7033,33678.9,418.6173624,0,0,0,0,29392.38166,0,0,1385.79235,484.4445676,16329.34474,10832.8,360,7.396223325,0,875,4.5563795,0,875,36287.43275,0,0,0,23224.39584,1,long_haul_cyc.csv,,,64799.03245
6,C8 truck sleeper,Conv,typical,2018,1,C8 truck sleeper| Conv| ave cargo| 2018| +100% of ave rng,1,0.471316306,10.18,10832.8,0.46,0.8,2.28,16329.34474,0,5000,1,4561.651815,9.875636446,317,5,0.022964512,6,0,0.2745,0,0.93,4,0.333333333,0,0,0,4.7,75,0.97,110,-0.6811,10,18,0.0054,0.506,0.7,0.1,0.95,0,0,60,0.2,0,55,100,1,0.86,3.4,FALSE,300,0.95,1.2,0.005,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,cycles/long_haul_cyc.csv,109800,0,0,7,0,2.88,3.24,0.13,10,0,0.041,0,197,0,0,0,8,0,47.3,-0.45,196,0.07,36,0,1.5,55,7.467735503,123514.7033,C8 truck sleeper| Conv| ave cargo| 2018| +100% of ave rng,1000,47.31824067,7.387674766,0,157672.5767,123514.7033,33678.9,478.9734406,0,0,0,0,29462.22867,0,0,1385.79235,554.2915849,16329.34474,10832.8,360,7.387674766,0,1000,4.5616518,0,1000,36287.43275,0,0,0,23154.54882,1,long_haul_cyc.csv,,,64953.01858
7,C8 truck sleeper,Conv,max,2025,0,C8 truck sleeper| Conv| max cargo| 2025| +0% of ave rng,1,0.411493124,10.18,10529.2,0.46,0.8,2.28,23710.02486,0,5000,1,2794.271993,9.875636446,308.5088747,5,0.068193858,6,0,0.2745,0,0.939526407,4,0.266344418,0,0,0,4.03,75,0.97,110,-0.6811,10,18,0.0048,0.506,0.7,0.1,0.95,0,0,60,0.2,0,55,100,1,0.876644661,2.75,FALSE,300,0.95,1.2,0.005,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,cycles/long_haul_cyc.csv,109800,0,0,7,0,2.88,3.24,0.13,7,0,0.041,0,100,0,0,0,6,0,47.3,11499.55,140,0.07,16,0,1.5,55,4.695593942,121864.7033,C8 truck sleeper| Conv| max cargo| 2025| +0% of ave rng,662.6954679,58.95359763,7.992363422,0,166347.9867,121864.7033,44189.88488,293.3985593,0,0,0,0,36287.43276,0,0,1348.672676,339.5352198,23710.02486,10529.2,360,7.992363422,0,750,4.2165250,0,750,36287.43275,0,0,0,23710.02486,1,long_haul_cyc.csv,,,80000
8,C8 truck sleeper,Conv,typical,2025,-1,C8 truck sleeper| Conv| ave cargo| 2025| -100% of ave rng,1,0.411493124,10.18,10529.2,0.46,0.8,2.28,16329.34474,0,5000,1,1859.091118,9.875636446,308.5088747,5,0.068193858,6,0,0.2745,0,0.939526407,4,0.266344418,0,0,0,4.03,75,0.97,110,-0.6811,10,18,0.0048,0.506,0.7,0.1,0.95,0,0,60,0.2,0,55,100,1,0.876644661,2.75,FALSE,300,0.95,1.2,0.005,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,cycles/long_haul_cyc.csv,109800,0,0,7,0,2.88,3.24,0.13,7,0,0.041,0,100,0,0,0,6,0,47.3,11499.55,140,0.07,16,0,1.5,55,4.695593942,121864.7033,C8 truck sleeper| Conv| ave cargo| 2025| -100% of ave rng,500,46.37717028,9.063568664,0,166249.7928,121864.7033,44189.88488,195.2045674,0,0,0,0,28793.11773,0,0,1348.672676,225.9003107,16329.34474,10529.2,360,9.063568664,0,500,3.7181822,0,500,36287.43275,0,0,0,23823.65977,1,long_haul_cyc.csv,,,63477.8832
9,C8 truck sleeper,Conv,typical,2025,-0.5,C8 truck sleeper| Conv| ave cargo| 2025| -50% of ave rng,1,0.411493124,10.18,10529.2,0.46,0.8,2.28,16329.34474,0,5000,1,2326.208495,9.875636446,308.5088747,5,0.068193858,6,0,0.2745,0,0.939526407,4,0.266344418,0,0,0,4.03,75,0.97,110,-0.6811,10,18,0.0048,0.506,0.7,0.1,0.95,0,0,60,0.2,0,55,100,1,0.876644661,2.75,FALSE,300,0.95,1.2,0.005,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,cycles/long_haul_cyc.csv,109800,0,0,7,0,2.88,3.24,0.13,7,0,0.041,0,100,0,0,0,6,0,47.3,11499.55,140,0.07,16,0,1.5,55,4.695593942,121864.7033,C8 truck sleeper| Conv| ave cargo| 2025| -50% of ave rng,625,46.46975599,9.054433446,0,166298.8401,121864.7033,44189.88488,244.251892,0,0,0,0,28849.8777,0,0,1348.672676,282.6602831,16329.34474,10529.2,360,9.054433446,0,625,3.7219336,0,625,36287.43275,0,0,0,23766.8998,1,long_haul_cyc.csv,,,63603.01737
10,C8 truck sleeper,Conv,typical,2025,0,C8 truck sleeper| Conv| ave cargo| 2025| +0% of ave rng,1,0.411493124,10.18,10529.2,0.46,0.8,2.28,16329.34474,0,5000,1,2794.271993,9.875636446,308.5088747,5,0.068193858,6,0,0.2745,0,0.939526407,4,0.266344418,0,0,0,4.03,75,0.97,110,-0.6811,10,18,0.0048,0.506,0.7,0.1,0.95,0,0,60,0.2,0,55,100,1,0.876644661,2.75,FALSE,300,0.95,1.2,0.005,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,cycles/long_haul_cyc.csv,109800,0,0,7,0,2.88,3.24,0.13,7,0,0.041,0,100,0,0,0,6,0,47.3,11499.55,140,0.07,16,0,1.5,55,4.695593942,121864.7033,C8 truck sleeper| Conv| ave cargo| 2025| +0% of ave rng,750,46.5625677,9.045289815,0,166347.9867,121864.7033,44189.88488,293.3985593,0,0,0,0,28906.75264,0,0,1348.672676,339.5352198,16329.34474,10529.2,360,9.045289815,0,750,3.7256960,0,750,36287.43275,0,0,0,23710.02486,1,long_haul_cyc.csv,,,63728.405
11,C8 truck sleeper,Conv,typical,2025,0.5,C8 truck sleeper| Conv| ave cargo| 2025| +50% of ave rng,1,0.411493124,10.18,10529.2,0.46,0.8,2.28,16329.34474,0,5000,1,3263.264902,9.875636446,308.5088747,5,0.068193858,6,0,0.2745,0,0.939526407,4,0.266344418,0,0,0,4.03,75,0.97,110,-0.6811,10,18,0.0048,0.506,0.7,0.1,0.95,0,0,60,0.2,0,55,100,1,0.876644661,2.75,FALSE,300,0.95,1.2,0.005,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,cycles/long_haul_cyc.csv,109800,0,0,7,0,2.88,3.24,0.13,7,0,0.041,0,100,0,0,0,6,0,47.3,11499.55,140,0.07,16,0,1.5,55,4.695593942,121864.7033,C8 truck sleeper| Conv| ave cargo| 2025| +50% of ave rng,875,46.65560243,9.036195615,0,166397.231,121864.7033,44189.88488,342.6428147,0,0,0,0,28963.74051,0,0,1348.672676,396.5230903,16329.34474,10529.2,360,9.036195615,0,875,3.7294456,0,875,36287.43275,0,0,0,23653.03699,1,long_haul_cyc.csv,,,63854.0416
