Technology	Scenario	Variable	Index	Value	Units	Notes
Residential PV	2015 Actual	Input	N/A	0	1	no inputs
Residential PV	2015 Actual	Input efficiency	N/A	1	1	no inputs
Residential PV	2015 Actual	Output efficiency	Electricity	1	W/W	see parameter table for individual efficiencies
Residential PV	2015 Actual	Scale		1	system/system	no scaling
Residential PV	2015 Actual	Input price	N/A	0	1	no inputs
Residential PV	2015 Actual	Output price	Electricity	0	$/kWh	not tracking electricity price
Residential PV	2015 Actual	Lifetime	Module	1	system-lifetime	per-lifetime computations
Residential PV	2015 Actual	Lifetime	Inverter	1	system-lifetime	per-lifetime computations
Residential PV	2015 Actual	Lifetime	BoS	1	system-lifetime	per-lifetime computations
Residential PV	Module Moderate Progress	Input	N/A	0	1	no inputs
Residential PV	Module Moderate Progress	Input efficiency	N/A	1	1	no inputs
Residential PV	Module Moderate Progress	Output efficiency	Electricity	1	W/W	see parameter table for individual efficiencies
Residential PV	Module Moderate Progress	Scale		1	system/system	no scaling
Residential PV	Module Moderate Progress	Input price	N/A	0	1	no inputs
Residential PV	Module Moderate Progress	Output price	Electricity	0	$/kWh	not tracking electricity price
Residential PV	Module Moderate Progress	Lifetime	Module	1	system-lifetime	per-lifetime computations
Residential PV	Module Moderate Progress	Lifetime	Inverter	1	system-lifetime	per-lifetime computations
Residential PV	Module Moderate Progress	Lifetime	BoS	1	system-lifetime	per-lifetime computations
Residential PV	Module Slow Progress	Input	N/A	0	1	no inputs
Residential PV	Module Slow Progress	Input efficiency	N/A	1	1	no inputs
Residential PV	Module Slow Progress	Output efficiency	Electricity	1	W/W	see parameter table for individual efficiencies
Residential PV	Module Slow Progress	Scale		1	system/system	no scaling
Residential PV	Module Slow Progress	Input price	N/A	0	1	no inputs
Residential PV	Module Slow Progress	Output price	Electricity	0	$/kWh	not tracking electricity price
Residential PV	Module Slow Progress	Lifetime	Module	1	system-lifetime	per-lifetime computations
Residential PV	Module Slow Progress	Lifetime	Inverter	1	system-lifetime	per-lifetime computations
Residential PV	Module Slow Progress	Lifetime	BoS	1	system-lifetime	per-lifetime computations
Residential PV	Module Fast Progress	Input	N/A	0	1	no inputs
Residential PV	Module Fast Progress	Input efficiency	N/A	1	1	no inputs
Residential PV	Module Fast Progress	Output efficiency	Electricity	1	W/W	see parameter table for individual efficiencies
Residential PV	Module Fast Progress	Scale		1	system/system	no scaling
Residential PV	Module Fast Progress	Input price	N/A	0	1	no inputs
Residential PV	Module Fast Progress	Output price	Electricity	0	$/kWh	not tracking electricity price
Residential PV	Module Fast Progress	Lifetime	Module	1	system-lifetime	per-lifetime computations
Residential PV	Module Fast Progress	Lifetime	Inverter	1	system-lifetime	per-lifetime computations
Residential PV	Module Fast Progress	Lifetime	BoS	1	system-lifetime	per-lifetime computations
Residential PV	Inverter Moderate Progress	Input	N/A	0	1	no inputs
Residential PV	Inverter Moderate Progress	Input efficiency	N/A	1	1	no inputs
Residential PV	Inverter Moderate Progress	Output efficiency	Electricity	1	W/W	see parameter table for individual efficiencies
Residential PV	Inverter Moderate Progress	Scale		1	system/system	no scaling
Residential PV	Inverter Moderate Progress	Input price	N/A	0	1	no inputs
Residential PV	Inverter Moderate Progress	Output price	Electricity	0	$/kWh	not tracking electricity price
Residential PV	Inverter Moderate Progress	Lifetime	Module	1	system-lifetime	per-lifetime computations
Residential PV	Inverter Moderate Progress	Lifetime	Inverter	1	system-lifetime	per-lifetime computations
Residential PV	Inverter Moderate Progress	Lifetime	BoS	1	system-lifetime	per-lifetime computations
Residential PV	Inverter Slow Progress	Input	N/A	0	1	no inputs
Residential PV	Inverter Slow Progress	Input efficiency	N/A	1	1	no inputs
Residential PV	Inverter Slow Progress	Output efficiency	Electricity	1	W/W	see parameter table for individual efficiencies
Residential PV	Inverter Slow Progress	Scale		1	system/system	no scaling
Residential PV	Inverter Slow Progress	Input price	N/A	0	1	no inputs
Residential PV	Inverter Slow Progress	Output price	Electricity	0	$/kWh	not tracking electricity price
Residential PV	Inverter Slow Progress	Lifetime	Module	1	system-lifetime	per-lifetime computations
Residential PV	Inverter Slow Progress	Lifetime	Inverter	1	system-lifetime	per-lifetime computations
Residential PV	Inverter Slow Progress	Lifetime	BoS	1	system-lifetime	per-lifetime computations
Residential PV	Inverter Fast Progress	Input	N/A	0	1	no inputs
Residential PV	Inverter Fast Progress	Input efficiency	N/A	1	1	no inputs
Residential PV	Inverter Fast Progress	Output efficiency	Electricity	1	W/W	see parameter table for individual efficiencies
Residential PV	Inverter Fast Progress	Scale		1	system/system	no scaling
Residential PV	Inverter Fast Progress	Input price	N/A	0	1	no inputs
Residential PV	Inverter Fast Progress	Output price	Electricity	0	$/kWh	not tracking electricity price
Residential PV	Inverter Fast Progress	Lifetime	Module	1	system-lifetime	per-lifetime computations
Residential PV	Inverter Fast Progress	Lifetime	Inverter	1	system-lifetime	per-lifetime computations
Residential PV	Inverter Fast Progress	Lifetime	BoS	1	system-lifetime	per-lifetime computations
Residential PV	BoS Moderate Progress	Input	N/A	0	1	no inputs
Residential PV	BoS Moderate Progress	Input efficiency	N/A	1	1	no inputs
Residential PV	BoS Moderate Progress	Output efficiency	Electricity	1	W/W	see parameter table for individual efficiencies
Residential PV	BoS Moderate Progress	Scale		1	system/system	no scaling
Residential PV	BoS Moderate Progress	Input price	N/A	0	1	no inputs
Residential PV	BoS Moderate Progress	Output price	Electricity	0	$/kWh	not tracking electricity price
Residential PV	BoS Moderate Progress	Lifetime	Module	1	system-lifetime	per-lifetime computations
Residential PV	BoS Moderate Progress	Lifetime	Inverter	1	system-lifetime	per-lifetime computations
Residential PV	BoS Moderate Progress	Lifetime	BoS	1	system-lifetime	per-lifetime computations
Residential PV	BoS Slow Progress	Input	N/A	0	1	no inputs
Residential PV	BoS Slow Progress	Input efficiency	N/A	1	1	no inputs
Residential PV	BoS Slow Progress	Output efficiency	Electricity	1	W/W	see parameter table for individual efficiencies
Residential PV	BoS Slow Progress	Scale		1	system/system	no scaling
Residential PV	BoS Slow Progress	Input price	N/A	0	1	no inputs
Residential PV	BoS Slow Progress	Output price	Electricity	0	$/kWh	not tracking electricity price
Residential PV	BoS Slow Progress	Lifetime	Module	1	system-lifetime	per-lifetime computations
Residential PV	BoS Slow Progress	Lifetime	Inverter	1	system-lifetime	per-lifetime computations
Residential PV	BoS Slow Progress	Lifetime	BoS	1	system-lifetime	per-lifetime computations
Residential PV	BoS Fast Progress	Input	N/A	0	1	no inputs
Residential PV	BoS Fast Progress	Input efficiency	N/A	1	1	no inputs
Residential PV	BoS Fast Progress	Output efficiency	Electricity	1	W/W	see parameter table for individual efficiencies
Residential PV	BoS Fast Progress	Scale		1	system/system	no scaling
Residential PV	BoS Fast Progress	Input price	N/A	0	1	no inputs
Residential PV	BoS Fast Progress	Output price	Electricity	0	$/kWh	not tracking electricity price
Residential PV	BoS Fast Progress	Lifetime	Module	1	system-lifetime	per-lifetime computations
Residential PV	BoS Fast Progress	Lifetime	Inverter	1	system-lifetime	per-lifetime computations
Residential PV	BoS Fast Progress	Lifetime	BoS	1	system-lifetime	per-lifetime computations
