Technology	Scenario	Parameter	Offset	Value	Units	Notes
PolySilicon Wafer	Reference	TCS Process: Efficiency	0	0.9		
PolySilicon Wafer	Reference	TCS Process: Waste $/kg TCS	1	300		
PolySilicon Wafer	Reference	TCS Process: Heat Natural Gas (m3/kg Poly Si)	2	5		
PolySilicon Wafer	Reference	TCS Process: Power (kW)	3	70000		
PolySilicon Wafer	Reference	TCS Process: Equipment Cost ($/station)	4	15000000		
PolySilicon Wafer	Reference	TCS Process: Floorspace (m2/station)	5	800000		
PolySilicon Wafer	Reference	TCS: MG Si Usage Factor	6	1.212910354	kg MG Si / kg PolySilicon	
PolySilicon Wafer	Reference	TCS: MG Si Price	7	5	$/kg	
PolySilicon Wafer	Reference	TCS: MG Si Scrap Rate	8	0.3		
PolySilicon Wafer	Reference	TCS: HCl Usage Factor	9	1.04003648	kg HCL / kg PolySilicon	
PolySilicon Wafer	Reference	TCS: HCl Price	10	0.1	$/pc	
PolySilicon Wafer	Reference	TCS: HCl Scrap Rate	11	0.1		
PolySilicon Wafer	Reference	TCS: Hydrogen Usage Factor	12	1	kg H2 / kg PolySilicon	
PolySilicon Wafer	Reference	TCS: Hydrogen Price	13	0.001	$/kg	
PolySilicon Wafer	Reference	TCS: Other Material Scrap Rate	14	0		
PolySilicon Wafer	Reference	TCS: Average Downtime	15	0		
PolySilicon Wafer	Reference	TCS: Unskilled Direct Laborers Factor	16	10		
PolySilicon Wafer	Reference	TCS: Skilled Direct Laborers Factor	17	5		
PolySilicon Wafer	Reference	TCS: Auxiliary Equipment Investment	18	0		
PolySilicon Wafer	Reference	TCS: Installation Cost Factor	19	3.3		
PolySilicon Wafer	Reference	TCS: Equipment Maintenance Cost Factor	20	0.03		
PolySilicon Wafer	Reference	TCS: Tooling Investment	21	0	$/toolset	
PolySilicon Wafer	Reference	TCS: Tooling Life	22	2.00E+07	kgs/tool	
PolySilicon Wafer	Reference	TCS: Operating Power Consumption	23	40	kW	
PolySilicon Wafer	Reference	TCS: Full Power Consumption	24	100	kW	
PolySilicon Wafer	Reference	TCS: Clean 10k SQM	25	0	sq meter	
PolySilicon Wafer	Reference	TCS: Clean 1k SQM	26	0	sq meter	
PolySilicon Wafer	Reference	TCS: Clean 100 SQM	27	0	sq meter	
PolySilicon Wafer	Reference	Anneal Ingots: Argon Gas	28	0	SLM	
PolySilicon Wafer	Reference	Anneal Ingots: Argon Price	29	0.5	/Standard liter	
PolySilicon Wafer	Reference	Anneal Ingots: Argon Scrap Rate	30	0.05		
PolySilicon Wafer	Reference	Anneal Ingots: Poly Si Chunk Yield Loss Rate	31	0.01		
PolySilicon Wafer	Reference	Anneal Ingots: Poly Si Scrap Reclamation Rate	32	0.95		
PolySilicon Wafer	Reference	Anneal Ingots: Average Downtime	33	0.15		
PolySilicon Wafer	Reference	Anneal Ingots: Furnace Capacity	34	40	kgs/hour	
PolySilicon Wafer	Reference	Anneal Ingots: Unskilled Direct Laborers Factor	35	2		
PolySilicon Wafer	Reference	Anneal Ingots: Skilled Direct Laborers Factor	36	0.6		
PolySilicon Wafer	Reference	Anneal Ingots: Capital Investment	37	4.00E+05	$/station	
PolySilicon Wafer	Reference	Anneal Ingots: Auxiliary Equipment Investment	38	0.1		
PolySilicon Wafer	Reference	Anneal Ingots: Installation Cost Factor	39	0.25		
PolySilicon Wafer	Reference	Anneal Ingots: Equipment Maintenance Cost Factor	40	0.03		
PolySilicon Wafer	Reference	Anneal Ingots: Tooling Investment	41	150000	$/toolset	
PolySilicon Wafer	Reference	Anneal Ingots: Tooling Life	42	1.50E+08	kgs/tool	
PolySilicon Wafer	Reference	Anneal Ingots: Operating Power Consumption	43	5000	kW	
PolySilicon Wafer	Reference	Anneal Ingots: Floor SQM	44	0	sq meter	
PolySilicon Wafer	Reference	Anneal Ingots: Clean 10k SQM	45	625	sq meter	
PolySilicon Wafer	Reference	Anneal Ingots: Clean 1k SQM	46	0	sq meter	
PolySilicon Wafer	Reference	Anneal Ingots: Clean 100 SQM	47	0	sq meter	
PolySilicon Wafer	Reference	Crop Ingots: Weight of Sections Removed	48	15	kg	
PolySilicon Wafer	Reference	Crop Ingots: Blade Life	49	50	batches	
PolySilicon Wafer	Reference	Crop Ingots: Blade Cost	50	500	/blade	
PolySilicon Wafer	Reference	Crop Ingots: SiC Slurry Consumption	51	0	kg/hr	
PolySilicon Wafer	Reference	Crop Ingots: SiC Slurry Price	52	0	/kg	
PolySilicon Wafer	Reference	Crop Ingots: Brick Reject Rate	53	0.01		
PolySilicon Wafer	Reference	Crop Ingots: Scrap Reclamation Rate	54	0.95		
PolySilicon Wafer	Reference	Crop Ingots: Average Downtime	55	0.1		
PolySilicon Wafer	Reference	Crop Ingots: Unskilled Direct Laborers Factor	56	2		
PolySilicon Wafer	Reference	Crop Ingots: Skilled Direct Laborers Factor	57	0.6		
PolySilicon Wafer	Reference	Crop Ingots: Batch Size	58	1	ingots/batch	
PolySilicon Wafer	Reference	Crop Ingots: Setup Time	59	5	minutes/batch	
PolySilicon Wafer	Reference	Crop Ingots: Saw Rate	60	20	mm/min	
PolySilicon Wafer	Reference	Crop Ingots: Capital Investment	61	4.00E+05	$/station	
PolySilicon Wafer	Reference	Crop Ingots: Auxiliary Equipment Investment	62	0.1		
PolySilicon Wafer	Reference	Crop Ingots: Installation Cost Factor	63	0.25		
PolySilicon Wafer	Reference	Crop Ingots: Equipment Maintenance Cost Factor	64	0.03		
PolySilicon Wafer	Reference	Crop Ingots: Tooling Investment	65	0	$/toolset	
PolySilicon Wafer	Reference	Crop Ingots: Tooling Life	66	2.00E+08	kgs/tool	
PolySilicon Wafer	Reference	Crop Ingots: Operating Power Consumption	67	10	kW	
PolySilicon Wafer	Reference	Crop Ingots: Floor SQM	68	25	sq meter	
PolySilicon Wafer	Reference	Crop Ingots: Clean 10k SQM	69	0	sq meter	
PolySilicon Wafer	Reference	Crop Ingots: Clean 1k SQM	70	0	sq meter	
PolySilicon Wafer	Reference	Crop Ingots: Clean 100 SQM	71	0	sq meter	
PolySilicon Wafer	Reference	Etch Filament: HF Consumption Rate	72	15	SCM/hr	
PolySilicon Wafer	Reference	Etch Filament: HF Price	73	2.5	$/SCM	
PolySilicon Wafer	Reference	Etch Filament: Nitric Consumption Rate	74	15	kg/hr	
PolySilicon Wafer	Reference	Etch Filament: Nitric Acid Price	75	4	$/kg	
PolySilicon Wafer	Reference	Etch Filament: Nitrogen Consumption Rate	76	20	SCM/hr	
PolySilicon Wafer	Reference	Etch Filament: Nitrogen Price	77	2.5	$/SCM	
PolySilicon Wafer	Reference	Etch Filament: DI Water Consumption Rate	78	15	m3	
PolySilicon Wafer	Reference	Etch Filament: DI Water Price	79	3	$/m3	
PolySilicon Wafer	Reference	Etch Filament: Material Scrap Rate	80	0.05		
PolySilicon Wafer	Reference	Etch Filament: Part Reject Rate	81	0.01		
PolySilicon Wafer	Reference	Etch Filament: Average Downtime	82	0.1		
PolySilicon Wafer	Reference	Etch Filament: Unskilled Direct Laborers Factor	83	2		
PolySilicon Wafer	Reference	Etch Filament: Skilled Direct Laborers Factor	84	0.6		
PolySilicon Wafer	Reference	Etch Filament: Filament Batch Size	85	30	filaments/batch	
PolySilicon Wafer	Reference	Etch Filament: Filament Setup Time	86	10	min/batch	
PolySilicon Wafer	Reference	Etch Filament: Filament Cycle Time	87	30	min/batch	
PolySilicon Wafer	Reference	Etch Filament: HP Batch Size	88	10	kgs hair pin / batch	
PolySilicon Wafer	Reference	Etch Filament: HP Setup Time	89	7	min/batch	
PolySilicon Wafer	Reference	Etch Filament: HP Cycle Time	90	30	min/batch	
PolySilicon Wafer	Reference	Etch Filament: Capital Investment	91	3.00E+02	$/station	
PolySilicon Wafer	Reference	Etch Filament: Installation Cost Factor	92	0.25		
PolySilicon Wafer	Reference	Etch Filament: Equipment Maintenance Cost Factor	93	0.03		
PolySilicon Wafer	Reference	Etch Filament: Tooling Investment	94	15000	$/toolset	
PolySilicon Wafer	Reference	Etch Filament: Tooling Life	95	1.50E+08	cycles/tool	
PolySilicon Wafer	Reference	Etch Filament: Operating Power Consumption	96	75	kW	
PolySilicon Wafer	Reference	Etch Filament: Floor SQM	97	0	sq meter	
PolySilicon Wafer	Reference	Etch Filament: Clean 10k SQM	98	750	sq meter	
PolySilicon Wafer	Reference	Etch Filament: Clean 1k SQM	99	0	sq meter	
PolySilicon Wafer	Reference	Etch Filament: Clean 100 SQM	100	0	sq meter	
PolySilicon Wafer	Reference	Etch Filament: Fraction Virgin Filament	101	1		
PolySilicon Wafer	Reference	Harvest Chunk: Argon Usage	102	10	SLM	
PolySilicon Wafer	Reference	Harvest Chunk: Argon Price	103	0.1	$/std liter	
PolySilicon Wafer	Reference	Harvest Chunk: Argon Scrap Rate	104	0.05	%	
PolySilicon Wafer	Reference	Harvest Chunk: Poly Si Yield Loss	105	0.01	%	
PolySilicon Wafer	Reference	Harvest Chunk: Poly Si Scrap Reclemation Rate	106	0.95	%	
PolySilicon Wafer	Reference	Harvest Chunk: Average Downtime	107	0.1	%	
PolySilicon Wafer	Reference	Harvest Chunk: Auxiliary Equipment Investment	108	0	%	
PolySilicon Wafer	Reference	Harvest Chunk: Installation Cost Factor	109	3.3		
PolySilicon Wafer	Reference	Harvest Chunk: Equipment Maintenance Cost Factor	110	0.03	%	
PolySilicon Wafer	Reference	Harvest Chunk: Unskilled Direct Laborers Factor	111	30	ppl/station	
PolySilicon Wafer	Reference	Harvest Chunk: Skilled Direct Laborers Factor	112	10	ppl/station	
PolySilicon Wafer	Reference	Harvest Chunk: Tooling Investment	113	1.50E+05	$/toolset	
PolySilicon Wafer	Reference	Harvest Chunk: Tooling Life	114	1.50E+08	kgs/tool	
PolySilicon Wafer	Reference	Harvest Chunk: Operating Power Consumption	115	6000	kW	
PolySilicon Wafer	Reference	Harvest Chunk: Floor SQM	116	0	sq meter	
PolySilicon Wafer	Reference	Harvest Chunk: Clean 10k SQM	117	500	sq meter	
PolySilicon Wafer	Reference	Harvest Chunk: Clean 1k SQM	118	0	sq meter	
PolySilicon Wafer	Reference	Harvest Chunk: Clean 100 SQM	119	0	sq meter	
PolySilicon Wafer	Reference	Harvest Chunk: Capital Investment	120	1200	$/station	
PolySilicon Wafer	Reference	Indices: Unskilled Direct Wages	121	13.55	?	
PolySilicon Wafer	Reference	Indices: Skilled Direct Wages	122	23.68	?	
PolySilicon Wafer	Reference	Indices: Indirect Salary	123	82491.00	?	
PolySilicon Wafer	Reference	Indices: Indirect:Direct Labor Ratio	124	0.35	?	
PolySilicon Wafer	Reference	Indices: Benefits on Wage and Salary	125	0.33	?	
PolySilicon Wafer	Reference	Indices: Working Days per Year	126	350.00	?	
PolySilicon Wafer	Reference	Indices: Working Hours per Day	127	24.00	?	
PolySilicon Wafer	Reference	Indices: Capital Recovery Rate	128	0.14	?	
PolySilicon Wafer	Reference	Indices: Equipment Recovery Life	129	10.00	?	
PolySilicon Wafer	Reference	Indices: Building Recovery Life	130	20.00	?	
PolySilicon Wafer	Reference	Indices: Working Capital Period	131	3.00	?	
PolySilicon Wafer	Reference	Indices: Price of Electricity	132	0.045	?	
PolySilicon Wafer	Reference	Indices: Price of Natural Gas	133	0.00	?	
PolySilicon Wafer	Reference	Indices: Price of Building Space	134	20.00	?	
PolySilicon Wafer	Reference	Indices: Price of CR10K Building Space	135	50.00	?	
PolySilicon Wafer	Reference	Indices: Price of CR1K Building Space	136	500.00	?	
PolySilicon Wafer	Reference	Indices: Price of CR100Building Space	137	5000.00	?	
PolySilicon Wafer	Reference	Indices: Installation Costs	138	3.30	?	
PolySilicon Wafer	Reference	Indices: Equipment Discount	139	0.00	?	
PolySilicon Wafer	Reference	Indices: Expected inflation rate	140	0.00	?	
PolySilicon Wafer	Reference	Indices: Corporate Tax Rate	141	0.28	?	
PolySilicon Wafer	Reference	Indices: SG&A (including freight)	142	0.06	?	
PolySilicon Wafer	Reference	Indices: R&D	143	0.02	?	
PolySilicon Wafer	Reference	Indices: Labor Count Multiplier	144	0.64	?	
