Technology	Scenario	Parameter	Offset	Value	Units	Notes
PolySilicon Wafer	Reference	Indices: CapEx Correction Factor	145	0.87	?	
PolySilicon Wafer	Reference	Indices: Electricity Multiplier	146	0.50	0.50	?
PolySilicon Wafer	Reference	Ingot Growth: Poly-Si Material Price	147	15	$/kg	
PolySilicon Wafer	Reference	Ingot Growth: Poly Si Material Scrap Rate	148	0.25		
PolySilicon Wafer	Reference	Ingot Growth: Si Seed Price	149	100	$/pc	
PolySilicon Wafer	Reference	Ingot Growth: Si Seed Life	150	1	cycles	
PolySilicon Wafer	Reference	Ingot Growth: Crucible Cost	151	700	$/charge 	
PolySilicon Wafer	Reference	Ingot Growth: Crucible Life	152	1	batches/crucible	
PolySilicon Wafer	Reference	Ingot Growth: Cooling Water Cons Rate	153	850	m3/batch	
PolySilicon Wafer	Reference	Ingot Growth: Water Price	154	0.2	$/m3	
PolySilicon Wafer	Reference	Ingot Growth: Argon Consumption Rate	155	100	SLM	
PolySilicon Wafer	Reference	Ingot Growth: Argon Price	156	0.5	$/Standard liter	
PolySilicon Wafer	Reference	Ingot Growth: Part Reject Rate	157	0.01		
PolySilicon Wafer	Reference	Ingot Growth: Average Downtime	158	0.1		
PolySilicon Wafer	Reference	Ingot Growth: Unskilled Direct Laborers Factor	159	0.75	ppl/station	
PolySilicon Wafer	Reference	Ingot Growth: Skilled Direct Laborers Factor	160	0.225	ppl/station	
PolySilicon Wafer	Reference	Ingot Growth: Ingot Length	161	500	cm usable length	
PolySilicon Wafer	Reference	Ingot Growth: Ingot Weight (tops and tails)	162	0.2	of gross ingot weight	
PolySilicon Wafer	Reference	Ingot Growth: As Grown Ingot Diameter	163	153	mm	
PolySilicon Wafer	Reference	Ingot Growth: Final Ingot Diameter	164	150	mm	
PolySilicon Wafer	Reference	Ingot Growth: Setup (Load) Time	165	5	hours/batch	
PolySilicon Wafer	Reference	Ingot Growth: Pump Down and Leak Check	166	5	hours/batch	
PolySilicon Wafer	Reference	Ingot Growth: Melt/Stabilize	167	14	hours/batch	
PolySilicon Wafer	Reference	Ingot Growth: Average Pull Speed	168	75	mm/hr	
PolySilicon Wafer	Reference	Ingot Growth: Cool and Unload	169	12	hours/batch	
PolySilicon Wafer	Reference	Ingot Growth: Clean	170	6	hours/batch	
PolySilicon Wafer	Reference	Ingot Growth: Capital Investment	171	6.00E+05	$/station	
PolySilicon Wafer	Reference	Ingot Growth: Auxiliary Equipment Investment	172	1		
PolySilicon Wafer	Reference	Ingot Growth: Installation Cost Factor	173	0.25		
PolySilicon Wafer	Reference	Ingot Growth: Equipment Maintenance Cost Factor	174	0.03		
PolySilicon Wafer	Reference	Ingot Growth: Tooling Investment	175	0	$/toolset	
PolySilicon Wafer	Reference	Ingot Growth: Tooling Life	176	2.00E+04	kgs/tool	
PolySilicon Wafer	Reference	Ingot Growth: Operating Power Consumption	177	40	kW	
PolySilicon Wafer	Reference	Ingot Growth: Full Power Consumption	178	100	kW	
PolySilicon Wafer	Reference	Ingot Growth: Floor SQM	179	30	sq meter	
PolySilicon Wafer	Reference	Ingot Growth: Clean 10k SQM	180	0	sq meter	
PolySilicon Wafer	Reference	Ingot Growth: Clean 1k SQM	181	0	sq meter	
PolySilicon Wafer	Reference	Ingot Growth: Clean 100 SQM	182	0	sq meter	
PolySilicon Wafer	Reference	Machine Filament: Consumable Rate	183	1.5	units/hr	
PolySilicon Wafer	Reference	Machine Filament: Consumable Price	184	2	$/unit	
PolySilicon Wafer	Reference	Machine Filament: Material Scrap Rate	185	0.1		
PolySilicon Wafer	Reference	Machine Filament: Yield Loss	186	0.01		
PolySilicon Wafer	Reference	Machine Filament: Scrap Reclamation Rate	187	0.95		
PolySilicon Wafer	Reference	Machine Filament: Average Downtime	188	0.1		
PolySilicon Wafer	Reference	Machine Filament: Unskilled Direct Laborers Factor	189	2		
PolySilicon Wafer	Reference	Machine Filament: Skilled Direct Laborers Factor	190	0.6		
PolySilicon Wafer	Reference	Machine Filament: Filament Batch Size	191	20	filaments/batch	
PolySilicon Wafer	Reference	Machine Filament: Filament Setup Time	192	0	min/batch	
PolySilicon Wafer	Reference	Machine Filament: Filament Cycle Time	193	50	min/batch	
PolySilicon Wafer	Reference	Machine Filament: Capital Investment	194	3.00E+05	$/station	
PolySilicon Wafer	Reference	Machine Filament: Auxiliary Equipment Investment	195	0.1		
PolySilicon Wafer	Reference	Machine Filament: Installation Cost Factor	196	0.25		
PolySilicon Wafer	Reference	Machine Filament: Equipment Maintenance Cost Factor	197	0.03		
PolySilicon Wafer	Reference	Machine Filament: Tooling Investment	198	3000	$/toolset	
PolySilicon Wafer	Reference	Machine Filament: Tooling Life	199	2.00E+04	kgs/tool	
PolySilicon Wafer	Reference	Machine Filament: Operating Power Consumption	200	500	kW	
PolySilicon Wafer	Reference	Machine Filament: Floor SQM	201	1000	sq meter	
PolySilicon Wafer	Reference	Machine Filament: Clean 10k SQM	202	0	sq meter	
PolySilicon Wafer	Reference	Machine Filament: Clean 1k SQM	203	0	sq meter	
PolySilicon Wafer	Reference	Machine Filament: Clean 100 SQM	204	0	sq meter	
PolySilicon Wafer	Reference	Saw Ingots: Wire Life	205	1	batches	
PolySilicon Wafer	Reference	Saw Ingots: Wire Cost	206	5000	$/wire	
PolySilicon Wafer	Reference	Saw Ingots: SiC Slurry Consumption	207	0	kg/hr	
PolySilicon Wafer	Reference	Saw Ingots: SiC Slurry Price	208	0	$/kg	
PolySilicon Wafer	Reference	Saw Ingots: SiC Slurry Scrap Rate	209	0.1		
PolySilicon Wafer	Reference	Saw Ingots: Kerf Loss	210	400	microns	
PolySilicon Wafer	Reference	Saw Ingots: Sell Kerf Loss Si?	211	1	[1=Yes,0=No]	
PolySilicon Wafer	Reference	Saw Ingots: Kerf Loss Si Price	212	5	$/kg	
PolySilicon Wafer	Reference	Saw Ingots: Part Reject Rate	213	0.15		
PolySilicon Wafer	Reference	Saw Ingots: Average Downtime	214	0.1		
PolySilicon Wafer	Reference	Saw Ingots: Unskilled Direct Laborers Factor	215	2		
PolySilicon Wafer	Reference	Saw Ingots: Skilled Direct Laborers Factor	216	0.6		
PolySilicon Wafer	Reference	Saw Ingots: Batch Size	217	1	ingot/batch	
PolySilicon Wafer	Reference	Saw Ingots: Filament Width	218	8	mm per filament	
PolySilicon Wafer	Reference	Saw Ingots: Setup Time	219	45	minutes/batch	
PolySilicon Wafer	Reference	Saw Ingots: Cutting Speed	220	5	mm/min	
PolySilicon Wafer	Reference	Saw Ingots: Capital Investment	221	1.50E+06	$/station	
PolySilicon Wafer	Reference	Saw Ingots: Auxiliary Equipment Investment	222	0.1		
PolySilicon Wafer	Reference	Saw Ingots: Installation Cost Factor	223	0.25		
PolySilicon Wafer	Reference	Saw Ingots: Equipment Maintenance Cost Factor	224	0.03		
PolySilicon Wafer	Reference	Saw Ingots: Tooling Investment	225	0	$/toolset	
PolySilicon Wafer	Reference	Saw Ingots: Tooling Life	226	2.00E+00	kgs/tool	
PolySilicon Wafer	Reference	Saw Ingots: Operating Power Consumption	227	50	kW	
PolySilicon Wafer	Reference	Saw Ingots: Floor SQM	228	150	sq meter	
PolySilicon Wafer	Reference	Saw Ingots: Clean 10k SQM	229	0	sq meter	
PolySilicon Wafer	Reference	Saw Ingots: Clean 1k SQM	230	0	sq meter	
PolySilicon Wafer	Reference	Saw Ingots: Clean 100 SQM	231	0	sq meter	
PolySilicon Wafer	Reference	Scenario: Annual Production Volume	232	5200	metric tons / yr	
PolySilicon Wafer	Reference	Scenario: Dedicated Equipment Investment	233	1		True = Yes, dedicated equipment investment. False = No
PolySilicon Wafer	Reference	Scenario: Length of Production Run	234	8	years	
PolySilicon Wafer	Reference	Scenario: Use Harvest Chunk?	235	1		True = Include Manufacuring Step, False = Do Not Include Manufacturing Step
PolySilicon Wafer	Reference	Scenario: Use Siemens CVD?	236	1		True = Include Manufacuring Step, False = Do Not Include Manufacturing Step
PolySilicon Wafer	Reference	Scenario: Use Etch Filaments?	237	1		True = Include Manufacuring Step, False = Do Not Include Manufacturing Step
PolySilicon Wafer	Reference	Scenario: Use Machine Filaments?	238	1		True = Include Manufacuring Step, False = Do Not Include Manufacturing Step
PolySilicon Wafer	Reference	Scenario: Use Saw Ingots?	239	1		True = Include Manufacuring Step, False = Do Not Include Manufacturing Step
PolySilicon Wafer	Reference	Scenario: Use Crop Ingots?	240	1		True = Include Manufacuring Step, False = Do Not Include Manufacturing Step
PolySilicon Wafer	Reference	Scenario: Use Anneal Ingots?	241	1		True = Include Manufacuring Step, False = Do Not Include Manufacturing Step
PolySilicon Wafer	Reference	Scenario: Use Grow Ingots?	242	1		True = Include Manufacuring Step, False = Do Not Include Manufacturing Step
PolySilicon Wafer	Reference	Scenario: Use TCS?	243	1		True = Include Manufacuring Step, False = Do Not Include Manufacturing Step
PolySilicon Wafer	Reference	Siemens CSV: Hydrogen Consumption Rate	244	125	kg/hr-station	
PolySilicon Wafer	Reference	Siemens CSV: Hydrogen Price	245	2	$/kg	
PolySilicon Wafer	Reference	Siemens CSV: Hydrogen Scrap Rate	246	0.25		
PolySilicon Wafer	Reference	Siemens CSV: Material Scrap Rate	247	0.05		
PolySilicon Wafer	Reference	Siemens CSV: Poly Si Reject Rate	248	0.01		
PolySilicon Wafer	Reference	Siemens CSV: Poly Si Scrap Rec Rate	249	0		
PolySilicon Wafer	Reference	Siemens CSV: Average Downtime	250	0		
PolySilicon Wafer	Reference	Siemens CSV: Other Consumable Cost	251	1.5	$/kg PS	
PolySilicon Wafer	Reference	Siemens CSV: Unskilled Direct Laborers Factor	252	1		
PolySilicon Wafer	Reference	Siemens CSV: Skilled Direct Laborers Factor	253	0.3		
PolySilicon Wafer	Reference	Siemens CSV: Batch Size	254	55	rods/batch	
PolySilicon Wafer	Reference	Siemens CSV: Final Rod Size	255	130	mm diameter rods	
PolySilicon Wafer	Reference	Siemens CSV: Projected Annual Production Volume	256	350	MTPA	
PolySilicon Wafer	Reference	Siemens CSV: Cycle Time	257	75	hrs/batch	
PolySilicon Wafer	Reference	Siemens CSV: Setup, Harvest, Clean Time	258	0	hrs/batch	
PolySilicon Wafer	Reference	Siemens CSV: Capital Investment	259	3.00E+06	$/station	
PolySilicon Wafer	Reference	Siemens CSV: Auxiliary Equipment Investment	260	0		
PolySilicon Wafer	Reference	Siemens CSV: Installation Cost Factor	261	3.3		
PolySilicon Wafer	Reference	Siemens CSV: Equipment Maintenance Cost Factor	262	0.03		
PolySilicon Wafer	Reference	Siemens CSV: Tooling Investment	263	0	$/toolset	
PolySilicon Wafer	Reference	Siemens CSV: Tooling Life	264	1.50E+07	kg/tool	
PolySilicon Wafer	Reference	Siemens CSV: Operating Power Consumption	265	1500	kW	
PolySilicon Wafer	Reference	Siemens CSV: Floor SQM	266	75	sq meter	
PolySilicon Wafer	Reference	Siemens CSV: Clean 10k SQM	267	0	sq meter	
PolySilicon Wafer	Reference	Siemens CSV: Clean 1k SQM	268	0	sq meter	
PolySilicon Wafer	Reference	Siemens CSV: Clean 100 SQM	269	0	sq meter	
