Technology	Scenario	Parameter	Offset	Value	Units	Notes
Residential PV	2015 Actual	Discount Rate	0	0.07	1/year	DR
Residential PV	2015 Actual	Insolation	1	1000	W/m^2	INS
Residential PV	2015 Actual	System Size	2	36	m^2	SSZ
Residential PV	2015 Actual	Module Capital	3	st.triang(0.5, loc=110, scale=0.11)	$/m^2	MCC
Residential PV	2015 Actual	Module Lifetime	4	st.triang(0.5, loc=25, scale=0.0025)	yr	MLT
Residential PV	2015 Actual	Module Efficiency	5	st.triang(0.5, loc=0.16, scale=1.6e-5)	1	MEF
Residential PV	2015 Actual	Module Aperture	6	st.triang(0.5, loc=0.9, scale=9e-5)	1	MAP
Residential PV	2015 Actual	Module O&M Fixed	7	st.triang(0.5, loc=20, scale=0.002)	$/kWyr	MOM
Residential PV	2015 Actual	Module Degradation	8	st.triang(0.5, loc=0.0075, scale=7.5e-7)	1/yr	MDR
Residential PV	2015 Actual	Location Capacity Factor	9	st.triang(0.5, loc=0.2, scale=2e-5)	1	MCF
Residential PV	2015 Actual	Module Soiling Loss	10	st.triang(0.5, loc=0.05, scale=5e-6)	1	MSL
Residential PV	2015 Actual	Inverter Capital	11	st.triang(0.5, loc=0.3, scale=3e-5)	$/W	ICC
Residential PV	2015 Actual	Inverter Lifetime	12	st.triang(0.5, loc=16, scale=0.0016)	yr	ILT
Residential PV	2015 Actual	Inverter Replacement	13	st.triang(0.5, loc=0.5, scale=5e-5)	1	IRC
Residential PV	2015 Actual	Inverter Efficiency	14	st.triang(0.5, loc=0.9, scale=9e-5)	1	IEF
Residential PV	2015 Actual	DC-to-AC Ratio	15	st.triang(0.5, loc=1.4, scale=0.00014)	1	IDC
Residential PV	2015 Actual	Hardware Capital	16	st.triang(0.5, loc=80, scale=0.008)	$/m^2	BCC
Residential PV	2015 Actual	Direct Labor	17	st.triang(0.5, loc=2000, scale=0.2)	$/system	BLR
Residential PV	2015 Actual	Permitting	18	st.triang(0.5, loc=600, scale=0.06)	$/system	BPR
Residential PV	2015 Actual	Customer Acquisition	19	st.triang(0.5, loc=2000, scale=0.2)	$/system	BCA
Residential PV	2015 Actual	Installer Overhead & Profit	20	st.triang(0.5, loc=0.35, scale=3.5e-5)	1	BOH
Residential PV	Expert A	Discount Rate	0	0.07	1/year	DR
Residential PV	Expert A	Insolation	1	1000	W/m^2	INS
Residential PV	Expert A	System Size	2	36	m^2	SSZ
Residential PV	Expert A	Module Capital	3	st.triang(0.5, loc=80, scale=5)	$/m^2	MCC
Residential PV	Expert A	Module Lifetime	4	st.triang(0.5, loc=30, scale=2)	yr	MLT
Residential PV	Expert A	Module Efficiency	5	st.triang(0.5, loc=0.18, scale=0.02)	1	MEF
Residential PV	Expert A	Module Aperture	6	st.triang(0.5, loc=0.92, scale=0.01)	1	MAP
Residential PV	Expert A	Module O&M Fixed	7	st.triang(0.5, loc=17, scale=1)	$/kWyr	MOM
Residential PV	Expert A	Module Degradation	8	st.triang(0.5, loc=0.006, scale=0.0005)	1/yr	MDR
Residential PV	Expert A	Location Capacity Factor	9	st.triang(0.5, loc=0.2, scale=0.0001)	1	MCF
Residential PV	Expert A	Module Soiling Loss	10	st.triang(0.5, loc=0.05, scale=10E-06)	1	MSL
Residential PV	Expert A	Inverter Capital	11	st.triang(0.5, loc=0.2, scale=0.04)	$/W	ICC
Residential PV	Expert A	Inverter Lifetime	12	st.triang(0.5, loc=20, scale=2)	yr	ILT
Residential PV	Expert A	Inverter Replacement	13	st.triang(0.5, loc=0.3, scale=0.1)	1	IRC
Residential PV	Expert A	Inverter Efficiency	14	st.triang(0.5, loc=0.92, scale=0.01)	1	IEF
Residential PV	Expert A	DC-to-AC Ratio	15	st.triang(0.5, loc=1.4, scale=10E-05)	1	IDC
Residential PV	Expert A	Hardware Capital	16	st.triang(0.5, loc=71, scale=2)	$/m^2	BCC
Residential PV	Expert A	Direct Labor	17	st.triang(0.67, loc=1600, scale=100)	$/system	BLR
Residential PV	Expert A	Permitting	18	st.triang(0.5, loc=530, scale=10)	$/system	BPR
Residential PV	Expert A	Customer Acquisition	19	st.triang(0.5, loc=1700, scale=100)	$/system	BCA
Residential PV	Expert A	Installer Overhead & Profit	20	st.triang(0.5, loc=0.31, scale=0.02)	1	BOH
Residential PV	Expert B	Discount Rate	0	0.07	1/year	DR
Residential PV	Expert B	Insolation	1	1000	W/m^2	INS
Residential PV	Expert B	System Size	2	36	m^2	SSZ
Residential PV	Expert B	Module Capital	3	st.triang(0.4, loc=100, scale=6)	$/m^2	MCC
Residential PV	Expert B	Module Lifetime	4	st.triang(0.5, loc=26, scale=1)	yr	MLT
Residential PV	Expert B	Module Efficiency	5	st.triang(0.5, loc=0.17, scale=0.01)	1	MEF
Residential PV	Expert B	Module Aperture	6	st.triang(0.5, loc=0.91, scale=0.005)	1	MAP
Residential PV	Expert B	Module O&M Fixed	7	st.triang(0.5, loc=19, scale=0.5)	$/kWyr	MOM
Residential PV	Expert B	Module Degradation	8	st.triang(0.6, loc=0.007, scale=0.0002)	1/yr	MDR
Residential PV	Expert B	Location Capacity Factor	9	st.triang(0.5, loc=0.2, scale=0.0001)	1	MCF
Residential PV	Expert B	Module Soiling Loss	10	st.triang(0.5, loc=0.05, scale=10E-06)	1	MSL
Residential PV	Expert B	Inverter Capital	11	st.triang(0.5, loc=0.27, scale=0.01)	$/W	ICC
Residential PV	Expert B	Inverter Lifetime	12	st.triang(0.5, loc=16.5, scale=0.5)	yr	ILT
Residential PV	Expert B	Inverter Replacement	13	st.triang(0.5, loc=0.4, scale=0.05)	1	IRC
Residential PV	Expert B	Inverter Efficiency	14	st.triang(0.5, loc=0.92, scale=0.01)	1	IEF
Residential PV	Expert B	DC-to-AC Ratio	15	st.triang(0.5, loc=1.4, scale=10E-05)	1	IDC
Residential PV	Expert B	Hardware Capital	16	st.triang(0.5, loc=78, scale=1)	$/m^2	BCC
Residential PV	Expert B	Direct Labor	17	st.triang(0.5, loc=1800, scale=100)	$/system	BLR
Residential PV	Expert B	Permitting	18	st.triang(0.5, loc=570, scale=10)	$/system	BPR
Residential PV	Expert B	Customer Acquisition	19	st.triang(0.5, loc=1900, scale=50)	$/system	BCA
Residential PV	Expert B	Installer Overhead & Profit	20	st.triang(0.5, loc=0.34, scale=0.005)	1	BOH
Residential PV	Expert C	Discount Rate	0	0.07	1/year	DR
Residential PV	Expert C	Insolation	1	1000	W/m^2	INS
Residential PV	Expert C	System Size	2	36	m^2	SSZ
Residential PV	Expert C	Module Capital	3	st.triang(0.5, loc=70, scale=10)	$/m^2	MCC
Residential PV	Expert C	Module Lifetime	4	st.triang(0.5, loc=28, scale=3)	yr	MLT
Residential PV	Expert C	Module Efficiency	5	st.triang(0.8, loc=0.2, scale=0.01)	1	MEF
Residential PV	Expert C	Module Aperture	6	st.triang(0.67, loc=0.93, scale=0.01)	1	MAP
Residential PV	Expert C	Module O&M Fixed	7	st.triang(0.5, loc=15, scale=1)	$/kWyr	MOM
Residential PV	Expert C	Module Degradation	8	st.triang(0.5, loc=0.006, scale=0.0005)	1/yr	MDR
Residential PV	Expert C	Location Capacity Factor	9	st.triang(0.5, loc=0.2, scale=0.0001)	1	MCF
Residential PV	Expert C	Module Soiling Loss	10	st.triang(0.5, loc=0.05, scale=10E-06)	1	MSL
Residential PV	Expert C	Inverter Capital	11	st.triang(0.5, loc=0.1, scale=0.05)	$/W	ICC
Residential PV	Expert C	Inverter Lifetime	12	st.triang(0.5, loc=20, scale=2)	yr	ILT
Residential PV	Expert C	Inverter Replacement	13	st.triang(0.5, loc=0.3, scale=0.1)	1	IRC
Residential PV	Expert C	Inverter Efficiency	14	st.triang(0.5, loc=0.92, scale=0.01)	1	IEF
Residential PV	Expert C	DC-to-AC Ratio	15	st.triang(0.5, loc=1.4, scale=10E-05)	1	IDC
Residential PV	Expert C	Hardware Capital	16	st.triang(0.5, loc=71, scale=2)	$/m^2	BCC
Residential PV	Expert C	Direct Labor	17	st.triang(0.5, loc=1400, scale=200)	$/system	BLR
Residential PV	Expert C	Permitting	18	st.triang(0.5, loc=530, scale=10)	$/system	BPR
Residential PV	Expert C	Customer Acquisition	19	st.triang(0.5, loc=1700, scale=100)	$/system	BCA
Residential PV	Expert C	Installer Overhead & Profit	20	st.triang(0.5, loc=0.31, scale=0.02)	1	BOH
