Technology	Type	Index	Offset	Description	Notes
ATJ Corn Dry Mill	Capital	Capital	0		
ATJ Corn Dry Mill	Fixed	Fixed	0		
ATJ Corn Dry Mill	Input	Feedstock	0		
ATJ Corn Dry Mill	Input	Raw Material	1		
ATJ Corn Dry Mill	Metric	Jet GHG	0		
ATJ Corn Dry Mill	Metric	MJSP	1		
ATJ Corn Dry Mill	Output	Jet	0		
ATJ Corn Dry Mill	Output	Gasoline	1		
ATJ Corn Dry Mill	Output	Diesel	2		
ATJ Corn Dry Mill	Output	Propane	3		
ATJ Corn Dry Mill	Output	DDGS	4		
ATJ Corn Dry Mill	Output	Electricity	5		
ATJ Corn Dry Mill	Technical Parameter	Annual GHG	0		
ATJ Corn Dry Mill	Technical Parameter	Jet LHV	1		
ATJ Corn Dry Mill	Technical Parameter	Discount Rate	2		
ATJ Corn Dry Mill	Technical Parameter	Depreciation Period	3		
ATJ Corn Dry Mill	Technical Parameter	Income Tax Rate	4		
ATJ Corn Dry Mill	Technical Parameter	Capital	5		
ATJ Corn Dry Mill	Technical Parameter	Fixed	6		
ATJ Corn Dry Mill	Technical Parameter	DDGS	7		
ATJ Corn Dry Mill	Technical Parameter	Electricity	8		
ATJ Corn Dry Mill	Technical Parameter	Diesel	9		
ATJ Corn Dry Mill	Technical Parameter	Gasoline	10		
ATJ Corn Dry Mill	Technical Parameter	Propane	11		
ATJ Corn Dry Mill	Technical Parameter	Jet	12		
ATJ Corn Dry Mill	Technical Parameter	DDGS Price	13		
ATJ Corn Dry Mill	Technical Parameter	Electricity Price	14		
ATJ Corn Dry Mill	Technical Parameter	Diesel Price	15		
ATJ Corn Dry Mill	Technical Parameter	Gasoline Price	16		
ATJ Corn Dry Mill	Technical Parameter	Propane Price	17		
ATJ Corn Dry Mill	Technical Parameter	Feedstock Price	18		
ATJ Corn Dry Mill	Technical Parameter	Raw Material Price	19		
ATJ Stover Thermochem	Capital	Capital	0		
ATJ Stover Thermochem	Fixed	Fixed	0		
ATJ Stover Thermochem	Input	Feedstock	0		
ATJ Stover Thermochem	Input	Raw Material	1		
ATJ Stover Thermochem	Metric	Jet GHG	0		
ATJ Stover Thermochem	Metric	MJSP	1		
ATJ Stover Thermochem	Output	Jet	0		
ATJ Stover Thermochem	Output	Gasoline	1		
ATJ Stover Thermochem	Output	Diesel	2		
ATJ Stover Thermochem	Output	Propane	3		
ATJ Stover Thermochem	Output	DDGS	4		
ATJ Stover Thermochem	Output	Electricity	5		
ATJ Stover Thermochem	Technical Parameter	Annual GHG	0		
ATJ Stover Thermochem	Technical Parameter	Jet LHV	1		
ATJ Stover Thermochem	Technical Parameter	Discount Rate	2		
ATJ Stover Thermochem	Technical Parameter	Depreciation Period	3		
ATJ Stover Thermochem	Technical Parameter	Income Tax Rate	4		
