Technology,Scenario,Sample,Variable,Index,Value,Units
Residential PV,2015 Actual,1,Cost,Cost,19539.380316474184,$/system
Residential PV,2015 Actual,1,Metric,GHG,-0.003116701691553203,ΔgCO2e/system
Residential PV,2015 Actual,1,Metric,LCOE,-7.288742532030046e-06,Δ$/kWh
Residential PV,2015 Actual,1,Metric,Labor,0.08429884425254386,Δ$/system
Residential PV,2015 Actual,1,Output,Electricity,184104.01347204592,kWh
Residential PV,2015 Actual,2,Cost,Cost,19538.76283359838,$/system
Residential PV,2015 Actual,2,Metric,GHG,-0.00015029763395091322,ΔgCO2e/system
Residential PV,2015 Actual,2,Metric,LCOE,-1.2686342081014157e-07,Δ$/kWh
Residential PV,2015 Actual,2,Metric,Labor,0.00726326864105431,Δ$/system
Residential PV,2015 Actual,2,Output,Electricity,184110.61933281887,kWh
Residential PV,2015 Actual,3,Cost,Cost,19538.266099415043,$/system
Residential PV,2015 Actual,3,Metric,GHG,-0.0036385251559352128,ΔgCO2e/system
Residential PV,2015 Actual,3,Metric,LCOE,-1.9064976501531605e-06,Δ$/kWh
Residential PV,2015 Actual,3,Metric,Labor,0.03565732788092646,Δ$/system
Residential PV,2015 Actual,3,Output,Electricity,184102.85142766935,kWh
Residential PV,2015 Actual,4,Cost,Cost,19538.82144090144,$/system
Residential PV,2015 Actual,4,Metric,GHG,-0.005578361415913946,ΔgCO2e/system
Residential PV,2015 Actual,4,Metric,LCOE,-7.413271989137327e-06,Δ$/kWh
Residential PV,2015 Actual,4,Metric,Labor,-0.0035924510482345795,Δ$/system
Residential PV,2015 Actual,4,Output,Electricity,184098.531622273,kWh
Residential PV,2015 Actual,5,Cost,Cost,19539.0749169046,$/system
Residential PV,2015 Actual,5,Metric,GHG,-0.004307410786793753,ΔgCO2e/system
Residential PV,2015 Actual,5,Metric,LCOE,-7.158481216490431e-06,Δ$/kWh
Residential PV,2015 Actual,5,Metric,Labor,0.02241727182035902,Δ$/system
Residential PV,2015 Actual,5,Output,Electricity,184101.36189176506,kWh
Residential PV,2015 Actual,6,Cost,Cost,19539.65340946344,$/system
Residential PV,2015 Actual,6,Metric,GHG,-0.00862373244127923,ΔgCO2e/system
Residential PV,2015 Actual,6,Metric,LCOE,-1.5842373172078594e-05,Δ$/kWh
