Category,Tranche,Sample,Index,Value,Units
BoS R&D,BoS Low R&D,1.0,GHG,-0.007419139296871435,ΔgCO2e/system
BoS R&D,BoS Low R&D,1.0,LCOE,0.002764361685932637,Δ$/kWh
BoS R&D,BoS Low R&D,1.0,Labor,-154.80228306531876,Δ$/system
BoS R&D,BoS Low R&D,2.0,GHG,-0.0072320932695078,ΔgCO2e/system
BoS R&D,BoS Low R&D,2.0,LCOE,0.002271364440284307,Δ$/kWh
BoS R&D,BoS Low R&D,2.0,Labor,-122.2980307165044,Δ$/system
BoS R&D,BoS Low R&D,3.0,GHG,0.0012384933749558513,ΔgCO2e/system
BoS R&D,BoS Low R&D,3.0,LCOE,0.0030949793480632287,Δ$/kWh
BoS R&D,BoS Low R&D,3.0,Labor,-171.013612720458,Δ$/system
BoS R&D,BoS Low R&D,4.0,GHG,-0.004903830102364282,ΔgCO2e/system
BoS R&D,BoS Low R&D,4.0,LCOE,0.002810204207390074,Δ$/kWh
BoS R&D,BoS Low R&D,4.0,Labor,-162.43036170988626,Δ$/system
BoS R&D,BoS Low R&D,5.0,GHG,9.991082514204663e-05,ΔgCO2e/system
BoS R&D,BoS Low R&D,5.0,LCOE,0.003087442964380377,Δ$/kWh
BoS R&D,BoS Low R&D,5.0,Labor,-180.28573721389057,Δ$/system
BoS R&D,BoS Low R&D,6.0,GHG,-0.00597988955618689,ΔgCO2e/system
BoS R&D,BoS Low R&D,6.0,LCOE,0.0029278330948215303,Δ$/kWh
BoS R&D,BoS Low R&D,6.0,Labor,-162.27104244228212,Δ$/system
BoS R&D,BoS Low R&D,7.0,GHG,-0.0031145406557584465,ΔgCO2e/system
BoS R&D,BoS Low R&D,7.0,LCOE,0.002551796321857605,Δ$/kWh
BoS R&D,BoS Low R&D,7.0,Labor,-123.21651853440221,Δ$/system
BoS R&D,BoS Low R&D,8.0,GHG,-0.0044536307305520495,ΔgCO2e/system
BoS R&D,BoS Low R&D,8.0,LCOE,0.002907757248049772,Δ$/kWh
BoS R&D,BoS Low R&D,8.0,Labor,-146.82951143789728,Δ$/system
BoS R&D,BoS Low R&D,9.0,GHG,0.0017331920729191097,ΔgCO2e/system
BoS R&D,BoS Low R&D,9.0,LCOE,0.0029172651183643483,Δ$/kWh
BoS R&D,BoS Low R&D,9.0,Labor,-160.50515992388227,Δ$/system
BoS R&D,BoS Low R&D,10.0,GHG,0.0026002225947650004,ΔgCO2e/system
BoS R&D,BoS Low R&D,10.0,LCOE,0.002788888375412177,Δ$/kWh
BoS R&D,BoS Low R&D,10.0,Labor,-143.53032722581474,Δ$/system
BoS R&D,BoS Low R&D,11.0,GHG,-0.005543267100335925,ΔgCO2e/system
BoS R&D,BoS Low R&D,11.0,LCOE,0.0025258883805913818,Δ$/kWh
BoS R&D,BoS Low R&D,11.0,Labor,-148.28248619968804,Δ$/system
BoS R&D,BoS Low R&D,12.0,GHG,-0.0033082225158835854,ΔgCO2e/system
BoS R&D,BoS Low R&D,12.0,LCOE,0.002670352795904149,Δ$/kWh
BoS R&D,BoS Low R&D,12.0,Labor,-132.0964218158049,Δ$/system
BoS R&D,BoS Low R&D,13.0,GHG,-0.008455182566805775,ΔgCO2e/system
BoS R&D,BoS Low R&D,13.0,LCOE,0.0028985245467995774,Δ$/kWh
BoS R&D,BoS Low R&D,13.0,Labor,-197.33601764331934,Δ$/system
BoS R&D,BoS Low R&D,14.0,GHG,-0.0013513184454296834,ΔgCO2e/system
BoS R&D,BoS Low R&D,14.0,LCOE,0.0026474326313746938,Δ$/kWh
BoS R&D,BoS Low R&D,14.0,Labor,-119.24009260046773,Δ$/system
BoS R&D,BoS Low R&D,15.0,GHG,0.0022858093810214086,ΔgCO2e/system
BoS R&D,BoS Low R&D,15.0,LCOE,0.0026669445782504936,Δ$/kWh
BoS R&D,BoS Low R&D,15.0,Labor,-151.43665477067088,Δ$/system
BoS R&D,BoS Low R&D,16.0,GHG,-0.0077509782157676455,ΔgCO2e/system
BoS R&D,BoS Low R&D,16.0,LCOE,0.0027845907700506517,Δ$/kWh
BoS R&D,BoS Low R&D,16.0,Labor,-137.92622147140037,Δ$/system
BoS R&D,BoS Low R&D,17.0,GHG,-0.001502755763112873,ΔgCO2e/system
BoS R&D,BoS Low R&D,17.0,LCOE,0.0026122646479187495,Δ$/kWh
BoS R&D,BoS Low R&D,17.0,Labor,-137.48098671477874,Δ$/system
