Technology	Scenario	Variable	Index	Value	Units	Notes
Simple pv	Base PV	Input	Solar Radiation	5.5	kWh/m2/day	
Simple pv	Base PV	Input efficiency	Solar Radiation	0.152	1	From Kavlak et al. (2018)
Simple pv	Base PV	Input price	Solar Radiation	0.00	USD/kWh/m2/day	
Simple pv	Base PV	Output efficiency	Electricity	1	1	No output inverter losses assumed
Simple pv	Base PV	Lifetime	Other Capital Cost	20	yr	Assumed, Kavlak et al. (2019) do not provide a lifetime
Simple pv	Base PV	Scale		0.05	module/yr	Inverse of lifetime. Constant needed to levelize appropriately (put on $/module basis) based on dimensional analysis
Simple pv	Base PV	Output price	Electricity	0.092	USD/kWh	Average commercial rate in Denver, CO
Simple pv	Slow Progress on PV	Input	Solar Radiation	5.5	kWh/m2/day	
Simple pv	Slow Progress on PV	Input efficiency	Solar Radiation	st.truncnorm(0.152, 1, loc=0.17, scale=0.02)	1	truncated distribution at 15.2-100%
Simple pv	Slow Progress on PV	Input price	Solar Radiation	0.00	USD/kWh/m2/day	
Simple pv	Slow Progress on PV	Output efficiency	Electricity	1	1	No output inverter losses assumed
Simple pv	Slow Progress on PV	Lifetime	Other Capital Cost	20	yr	Assumed, Kavlak et al. (2019) do not provide a lifetime
Simple pv	Slow Progress on PV	Scale		0.05	module/yr	Inverse of lifetime. Constant needed to levelize appropriately (put on $/module basis) based on dimensional analysis
Simple pv	Slow Progress on PV	Output price	Electricity	0.092	USD/kWh	Average commercial rate in Denver, CO
Simple pv	Moderate Progress on PV	Input	Solar Radiation	5.5	kWh/m2/day	
Simple pv	Moderate Progress on PV	Input efficiency	Solar Radiation	st.truncnorm(0.152, 1, loc=0.21, scale=0.04)	1	truncated distribution at 15.2-100%
Simple pv	Moderate Progress on PV	Input price	Solar Radiation	0.00	USD/kWh/m2/day	
Simple pv	Moderate Progress on PV	Output efficiency	Electricity	1	1	No output inverter losses assumed
Simple pv	Moderate Progress on PV	Lifetime	Other Capital Cost	20	yr	Assumed, Kavlak et al. (2019) do not provide a lifetime
Simple pv	Moderate Progress on PV	Scale		0.05	module/yr	Inverse of lifetime. Constant needed to levelize appropriately (put on $/module basis) based on dimensional analysis
Simple pv	Moderate Progress on PV	Output price	Electricity	0.092	USD/kWh	Average commercial rate in Denver, CO
Simple pv	Moderate Progress on PV	Input	Solar Radiation	5.5	kWh/m2/day	
Simple pv	Fast Progress on PV	Input efficiency	Solar Radiation	st.truncnorm(0.152, 1, loc=0.26, scale=0.06)	1	truncated distribution at 15.2-100%
Simple pv	Fast Progress on PV	Input price	Solar Radiation	0.00	USD/kWh/m2/day	
Simple pv	Fast Progress on PV	Output efficiency	Electricity	1	1	No output inverter losses assumed
Simple pv	Fast Progress on PV	Lifetime	Other Capital Cost	20	yr	Assumed, Kavlak et al. (2019) do not provide a lifetime
Simple pv	Fast Progress on PV	Scale		0.05	module/yr	Inverse of lifetime. Constant needed to levelize appropriately (put on $/module basis) based on dimensional analysis
Simple pv	Fast Progress on PV	Output price	Electricity	0.092	USD/kWh	Average commercial rate in Denver, CO
