Investment,Technology,Sample,Index,Value,Units
No R&D,Biorefinery v1,1,Fossil GHG,13.290802764486976,kg CO2-eq/gal biofuel
No R&D,Biorefinery v1,1,Jobs,0.008266388502693551,person-hours/gal biofuel
No R&D,Biorefinery v1,1,MFSP,11.203832960637742,USD/gal biofuel
No R&D,Biorefinery v1,1,Total GHG,22.7842333105491,kg CO2-eq/gal biofuel
Low R&D,Biorefinery v1,1,Fossil GHG,8.122638260312273,kg CO2-eq/gal biofuel
Low R&D,Biorefinery v1,1,Jobs,0.005133923009215097,person-hours/gal biofuel
Low R&D,Biorefinery v1,1,MFSP,6.74625095747539,USD/gal biofuel
Low R&D,Biorefinery v1,1,Total GHG,13.738100762026988,kg CO2-eq/gal biofuel
Moderate R&D,Biorefinery v1,1,Fossil GHG,9.455734895503772,kg CO2-eq/gal biofuel
Moderate R&D,Biorefinery v1,1,Jobs,0.006473658479247053,person-hours/gal biofuel
Moderate R&D,Biorefinery v1,1,MFSP,7.62076565218993,USD/gal biofuel
Moderate R&D,Biorefinery v1,1,Total GHG,15.917897305469758,kg CO2-eq/gal biofuel
High R&D,Biorefinery v1,1,Fossil GHG,7.333994793867141,kg CO2-eq/gal biofuel
High R&D,Biorefinery v1,1,Jobs,0.005595294864543199,person-hours/gal biofuel
High R&D,Biorefinery v1,1,MFSP,5.99800597835057,USD/gal biofuel
High R&D,Biorefinery v1,1,Total GHG,12.497289352616468,kg CO2-eq/gal biofuel
