Investment,Category,Tranche,Scenario,Sample,Technology,Index,Value,Units
No R&D Spending,PV R&D,No PV R&D,Base PV,1,Simple pv,GHG,4.51411875296747e+209,gCO2e/module
No R&D Spending,PV R&D,No PV R&D,Base PV,1,Simple pv,LCOE,inf,USD/kWh
No R&D Spending,PV R&D,No PV R&D,Base PV,2,Simple pv,GHG,4.51411875296747e+209,gCO2e/module
No R&D Spending,PV R&D,No PV R&D,Base PV,2,Simple pv,LCOE,inf,USD/kWh
No R&D Spending,PV R&D,No PV R&D,Base PV,3,Simple pv,GHG,4.51411875296747e+209,gCO2e/module
No R&D Spending,PV R&D,No PV R&D,Base PV,3,Simple pv,LCOE,inf,USD/kWh
No R&D Spending,PV R&D,No PV R&D,Base PV,4,Simple pv,GHG,4.51411875296747e+209,gCO2e/module
No R&D Spending,PV R&D,No PV R&D,Base PV,4,Simple pv,LCOE,inf,USD/kWh
No R&D Spending,PV R&D,No PV R&D,Base PV,5,Simple pv,GHG,4.51411875296747e+209,gCO2e/module
No R&D Spending,PV R&D,No PV R&D,Base PV,5,Simple pv,LCOE,inf,USD/kWh
No R&D Spending,PV R&D,No PV R&D,Base PV,6,Simple pv,GHG,4.51411875296747e+209,gCO2e/module
No R&D Spending,PV R&D,No PV R&D,Base PV,6,Simple pv,LCOE,inf,USD/kWh
No R&D Spending,PV R&D,No PV R&D,Base PV,7,Simple pv,GHG,4.51411875296747e+209,gCO2e/module
No R&D Spending,PV R&D,No PV R&D,Base PV,7,Simple pv,LCOE,inf,USD/kWh
No R&D Spending,PV R&D,No PV R&D,Base PV,8,Simple pv,GHG,4.51411875296747e+209,gCO2e/module
No R&D Spending,PV R&D,No PV R&D,Base PV,8,Simple pv,LCOE,inf,USD/kWh
No R&D Spending,PV R&D,No PV R&D,Base PV,9,Simple pv,GHG,4.51411875296747e+209,gCO2e/module
No R&D Spending,PV R&D,No PV R&D,Base PV,9,Simple pv,LCOE,inf,USD/kWh
No R&D Spending,PV R&D,No PV R&D,Base PV,10,Simple pv,GHG,4.51411875296747e+209,gCO2e/module
No R&D Spending,PV R&D,No PV R&D,Base PV,10,Simple pv,LCOE,inf,USD/kWh
No R&D Spending,PV R&D,No PV R&D,Base PV,11,Simple pv,GHG,4.51411875296747e+209,gCO2e/module
No R&D Spending,PV R&D,No PV R&D,Base PV,11,Simple pv,LCOE,inf,USD/kWh
No R&D Spending,PV R&D,No PV R&D,Base PV,12,Simple pv,GHG,4.51411875296747e+209,gCO2e/module
No R&D Spending,PV R&D,No PV R&D,Base PV,12,Simple pv,LCOE,inf,USD/kWh
No R&D Spending,PV R&D,No PV R&D,Base PV,13,Simple pv,GHG,4.51411875296747e+209,gCO2e/module
No R&D Spending,PV R&D,No PV R&D,Base PV,13,Simple pv,LCOE,inf,USD/kWh
No R&D Spending,PV R&D,No PV R&D,Base PV,14,Simple pv,GHG,4.51411875296747e+209,gCO2e/module
No R&D Spending,PV R&D,No PV R&D,Base PV,14,Simple pv,LCOE,inf,USD/kWh
No R&D Spending,PV R&D,No PV R&D,Base PV,15,Simple pv,GHG,4.51411875296747e+209,gCO2e/module
No R&D Spending,PV R&D,No PV R&D,Base PV,15,Simple pv,LCOE,inf,USD/kWh
No R&D Spending,PV R&D,No PV R&D,Base PV,16,Simple pv,GHG,4.51411875296747e+209,gCO2e/module
No R&D Spending,PV R&D,No PV R&D,Base PV,16,Simple pv,LCOE,inf,USD/kWh
No R&D Spending,PV R&D,No PV R&D,Base PV,17,Simple pv,GHG,4.51411875296747e+209,gCO2e/module
No R&D Spending,PV R&D,No PV R&D,Base PV,17,Simple pv,LCOE,inf,USD/kWh
No R&D Spending,PV R&D,No PV R&D,Base PV,18,Simple pv,GHG,4.51411875296747e+209,gCO2e/module
No R&D Spending,PV R&D,No PV R&D,Base PV,18,Simple pv,LCOE,inf,USD/kWh
