,Parameter,Case,TaxCreditCase,CRPYears,Technology,DisplayName,Scenario,variable,value
0,Inflation Rate,Market,ITC,20,Geothermal,*,*,2022,0.027389727
1,Interest Rate Nominal,Market,ITC,20,Geothermal,*,Advanced,2022,0.07
2,Interest Rate Nominal,Market,ITC,20,Geothermal,*,Moderate,2022,0.07
3,Interest Rate Nominal,Market,ITC,20,Geothermal,*,Conservative,2022,0.07
4,Calculated Interest Rate Real,Market,ITC,20,Geothermal,*,Advanced,2022,0.041474303
5,Calculated Interest Rate Real,Market,ITC,20,Geothermal,*,Moderate,2022,0.041474303
6,Calculated Interest Rate Real,Market,ITC,20,Geothermal,*,Conservative,2022,0.041474303
7,Interest During Construction - Nominal,Market,ITC,20,Geothermal,*,*,2022,0.07
8,Rate of Return on Equity Nominal,Market,ITC,20,Geothermal,*,Advanced,2022,0.105
9,Rate of Return on Equity Nominal,Market,ITC,20,Geothermal,*,Moderate,2022,0.105
10,Rate of Return on Equity Nominal,Market,ITC,20,Geothermal,*,Conservative,2022,0.105
11,Calculated Rate of Return on Equity Real,Market,ITC,20,Geothermal,*,Advanced,2022,0.075541219
12,Calculated Rate of Return on Equity Real,Market,ITC,20,Geothermal,*,Moderate,2022,0.075541219
13,Calculated Rate of Return on Equity Real,Market,ITC,20,Geothermal,*,Conservative,2022,0.075541219
14,Debt Fraction,Market,ITC,20,Geothermal,*,Advanced,2022,0.596303374
15,Debt Fraction,Market,ITC,20,Geothermal,*,Moderate,2022,0.596303374
16,Debt Fraction,Market,ITC,20,Geothermal,*,Conservative,2022,0.596303374
17,Tax Rate (Federal and State),Market,ITC,20,Geothermal,*,*,2022,0.2574
18,WACC Nominal,Market,ITC,20,Geothermal,*,Advanced,2022,0.073385188
19,WACC Nominal,Market,ITC,20,Geothermal,*,Moderate,2022,0.073385188
20,WACC Nominal,Market,ITC,20,Geothermal,*,Conservative,2022,0.073385188
21,WACC Real,Market,ITC,20,Geothermal,*,Advanced,2022,0.044769243
22,WACC Real,Market,ITC,20,Geothermal,*,Moderate,2022,0.044769243
23,WACC Real,Market,ITC,20,Geothermal,*,Conservative,2022,0.044769243
24,CRF,Market,ITC,20,Geothermal,*,Advanced,2022,0.076722504
25,FCR,Market,ITC,20,Geothermal,*,Advanced,2022,0.081386763
26,CRF,Market,ITC,20,Geothermal,*,Moderate,2022,0.076722504
27,FCR,Market,ITC,20,Geothermal,*,Moderate,2022,0.081386763
28,CRF,Market,ITC,20,Geothermal,*,Conservative,2022,0.076722504
29,FCR,Market,ITC,20,Geothermal,*,Conservative,2022,0.081386763
30,CF,Market,ITC,20,Geothermal,Geothermal - Hydro / Flash,Advanced,2022,0.9
31,CF,Market,ITC,20,Geothermal,Geothermal - Hydro / Flash,Moderate,2022,0.9
32,CF,Market,ITC,20,Geothermal,Geothermal - Hydro / Flash,Conservative,2022,0.9
33,CF,Market,ITC,20,Geothermal,Geothermal - Hydro / Binary,Advanced,2022,0.8
34,CF,Market,ITC,20,Geothermal,Geothermal - Hydro / Binary,Moderate,2022,0.8
35,CF,Market,ITC,20,Geothermal,Geothermal - Hydro / Binary,Conservative,2022,0.8
36,CF,Market,ITC,20,Geothermal,Geothermal - NF EGS / Flash,Advanced,2022,0.9
37,CF,Market,ITC,20,Geothermal,Geothermal - NF EGS / Flash,Moderate,2022,0.9
38,CF,Market,ITC,20,Geothermal,Geothermal - NF EGS / Flash,Conservative,2022,0.9
39,CF,Market,ITC,20,Geothermal,Geothermal - NF EGS / Binary,Advanced,2022,0.8
40,CF,Market,ITC,20,Geothermal,Geothermal - NF EGS / Binary,Moderate,2022,0.8
41,CF,Market,ITC,20,Geothermal,Geothermal - NF EGS / Binary,Conservative,2022,0.8
42,CF,Market,ITC,20,Geothermal,Geothermal - Deep EGS / Flash,Advanced,2022,0.9
43,CF,Market,ITC,20,Geothermal,Geothermal - Deep EGS / Flash,Moderate,2022,0.9
44,CF,Market,ITC,20,Geothermal,Geothermal - Deep EGS / Flash,Conservative,2022,0.9
45,CF,Market,ITC,20,Geothermal,Geothermal - Deep EGS / Binary,Advanced,2022,0.8
46,CF,Market,ITC,20,Geothermal,Geothermal - Deep EGS / Binary,Moderate,2022,0.8
47,CF,Market,ITC,20,Geothermal,Geothermal - Deep EGS / Binary,Conservative,2022,0.8
48,OCC,Market,ITC,20,Geothermal,Geothermal - Hydro / Flash,Advanced,2022,4759.156206
49,OCC,Market,ITC,20,Geothermal,Geothermal - Hydro / Flash,Moderate,2022,4759.156206
50,OCC,Market,ITC,20,Geothermal,Geothermal - Hydro / Flash,Conservative,2022,4759.156206
51,OCC,Market,ITC,20,Geothermal,Geothermal - Hydro / Binary,Advanced,2022,6348.565276
52,OCC,Market,ITC,20,Geothermal,Geothermal - Hydro / Binary,Moderate,2022,6348.565276
53,OCC,Market,ITC,20,Geothermal,Geothermal - Hydro / Binary,Conservative,2022,6348.565276
54,OCC,Market,ITC,20,Geothermal,Geothermal - NF EGS / Flash,Advanced,2022,6535.259752
55,OCC,Market,ITC,20,Geothermal,Geothermal - NF EGS / Flash,Moderate,2022,6535.259752
56,OCC,Market,ITC,20,Geothermal,Geothermal - NF EGS / Flash,Conservative,2022,6535.259752
57,OCC,Market,ITC,20,Geothermal,Geothermal - NF EGS / Binary,Advanced,2022,9139.889157
58,OCC,Market,ITC,20,Geothermal,Geothermal - NF EGS / Binary,Moderate,2022,9139.889157
59,OCC,Market,ITC,20,Geothermal,Geothermal - NF EGS / Binary,Conservative,2022,9139.889157
60,OCC,Market,ITC,20,Geothermal,Geothermal - Deep EGS / Flash,Advanced,2022,7630.023615
61,OCC,Market,ITC,20,Geothermal,Geothermal - Deep EGS / Flash,Moderate,2022,7630.023615
62,OCC,Market,ITC,20,Geothermal,Geothermal - Deep EGS / Flash,Conservative,2022,7630.023615
63,OCC,Market,ITC,20,Geothermal,Geothermal - Deep EGS / Binary,Advanced,2022,13508.45657
64,OCC,Market,ITC,20,Geothermal,Geothermal - Deep EGS / Binary,Moderate,2022,13508.45657
65,OCC,Market,ITC,20,Geothermal,Geothermal - Deep EGS / Binary,Conservative,2022,13508.45657
66,GCC,Market,ITC,20,Geothermal,Geothermal - Hydro / Flash,Advanced,2022,100
67,GCC,Market,ITC,20,Geothermal,Geothermal - Hydro / Flash,Moderate,2022,100
68,GCC,Market,ITC,20,Geothermal,Geothermal - Hydro / Flash,Conservative,2022,100
69,GCC,Market,ITC,20,Geothermal,Geothermal - Hydro / Binary,Advanced,2022,100
70,GCC,Market,ITC,20,Geothermal,Geothermal - Hydro / Binary,Moderate,2022,100
71,GCC,Market,ITC,20,Geothermal,Geothermal - Hydro / Binary,Conservative,2022,100
72,GCC,Market,ITC,20,Geothermal,Geothermal - NF EGS / Flash,Advanced,2022,100
73,GCC,Market,ITC,20,Geothermal,Geothermal - NF EGS / Flash,Moderate,2022,100
74,GCC,Market,ITC,20,Geothermal,Geothermal - NF EGS / Flash,Conservative,2022,100
75,GCC,Market,ITC,20,Geothermal,Geothermal - NF EGS / Binary,Advanced,2022,100
76,GCC,Market,ITC,20,Geothermal,Geothermal - NF EGS / Binary,Moderate,2022,100
77,GCC,Market,ITC,20,Geothermal,Geothermal - NF EGS / Binary,Conservative,2022,100
78,GCC,Market,ITC,20,Geothermal,Geothermal - Deep EGS / Flash,Advanced,2022,100
79,GCC,Market,ITC,20,Geothermal,Geothermal - Deep EGS / Flash,Moderate,2022,100
80,GCC,Market,ITC,20,Geothermal,Geothermal - Deep EGS / Flash,Conservative,2022,100
81,GCC,Market,ITC,20,Geothermal,Geothermal - Deep EGS / Binary,Advanced,2022,100
82,GCC,Market,ITC,20,Geothermal,Geothermal - Deep EGS / Binary,Moderate,2022,100
83,GCC,Market,ITC,20,Geothermal,Geothermal - Deep EGS / Binary,Conservative,2022,100
84,Fixed O&M,Market,ITC,20,Geothermal,Geothermal - Hydro / Flash,Advanced,2022,121.1156495
85,Fixed O&M,Market,ITC,20,Geothermal,Geothermal - Hydro / Flash,Moderate,2022,121.1156495
86,Fixed O&M,Market,ITC,20,Geothermal,Geothermal - Hydro / Flash,Conservative,2022,121.1156495
87,Fixed O&M,Market,ITC,20,Geothermal,Geothermal - Hydro / Binary,Advanced,2022,161.1681072
88,Fixed O&M,Market,ITC,20,Geothermal,Geothermal - Hydro / Binary,Moderate,2022,161.1681072
