Investment,Category,Tranche,Scenario,Sample,Technology,Index,Value,Units
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,1,Residential PV,GHG,-0.004944746524344623,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,1,Residential PV,LCOE,0.010403268941435367,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,1,Residential PV,Labor,-535.8276736483344,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,2,Residential PV,GHG,-0.007973528853000289,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,2,Residential PV,LCOE,0.009664769478525723,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,2,Residential PV,Labor,-475.6727817227393,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,3,Residential PV,GHG,0.0015302928381686343,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,3,Residential PV,LCOE,0.010475295823696301,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,3,Residential PV,Labor,-529.6607214139376,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,4,Residential PV,GHG,-0.0019276577083644497,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,4,Residential PV,LCOE,0.009489382144450248,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,4,Residential PV,Labor,-465.44763615649276,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,5,Residential PV,GHG,-0.008219176998395028,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,5,Residential PV,LCOE,0.01053023272261315,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,5,Residential PV,Labor,-549.4771204714934,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,6,Residential PV,GHG,-0.003738704327261644,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,6,Residential PV,LCOE,0.01048331210271057,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,6,Residential PV,Labor,-543.9678693852647,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,7,Residential PV,GHG,-0.0004180814598271354,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,7,Residential PV,LCOE,0.010234983716500182,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,7,Residential PV,Labor,-527.472907156455,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,8,Residential PV,GHG,-0.0030843450592783483,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,8,Residential PV,LCOE,0.009912355936411571,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,8,Residential PV,Labor,-542.6761167827401,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,9,Residential PV,GHG,-0.000896118958607417,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,9,Residential PV,LCOE,0.009570617682931729,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,9,Residential PV,Labor,-485.5112291215032,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,10,Residential PV,GHG,-0.0005067277209320764,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,10,Residential PV,LCOE,0.010261657017855003,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,10,Residential PV,Labor,-491.2022508785426,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,11,Residential PV,GHG,0.004105804871755936,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,11,Residential PV,LCOE,0.00977950542154088,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,11,Residential PV,Labor,-486.42038078323617,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,12,Residential PV,GHG,0.002255239766824957,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,12,Residential PV,LCOE,0.010476398990962255,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,12,Residential PV,Labor,-502.9645321539192,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,13,Residential PV,GHG,-0.005736911468801509,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,13,Residential PV,LCOE,0.010640294013599491,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,13,Residential PV,Labor,-526.7997605346502,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,14,Residential PV,GHG,-0.0016202070274289326,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,14,Residential PV,LCOE,0.010776520764983574,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,14,Residential PV,Labor,-581.1644875687041,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,15,Residential PV,GHG,0.0004162575476556185,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,15,Residential PV,LCOE,0.01024109643142078,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,15,Residential PV,Labor,-524.2226553453336,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,16,Residential PV,GHG,0.0007894043863672096,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,16,Residential PV,LCOE,0.010282378244404214,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,16,Residential PV,Labor,-561.3928516851697,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,17,Residential PV,GHG,-0.008022192620629198,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,17,Residential PV,LCOE,0.010751955354046758,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,17,Residential PV,Labor,-540.9038696925468,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,18,Residential PV,GHG,-0.0022192867144639195,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,18,Residential PV,LCOE,0.010454079036485195,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,18,Residential PV,Labor,-526.9780289407502,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,19,Residential PV,GHG,0.0040976327169346405,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,19,Residential PV,LCOE,0.009510621195731497,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,19,Residential PV,Labor,-467.7444256391839,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,20,Residential PV,GHG,-0.0060172564301126386,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,20,Residential PV,LCOE,0.01058709644968904,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,20,Residential PV,Labor,-487.03595364186185,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,21,Residential PV,GHG,-0.0058046180376578604,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,21,Residential PV,LCOE,0.009551776499232015,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,21,Residential PV,Labor,-456.49915644203065,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,22,Residential PV,GHG,0.001291411572296397,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,22,Residential PV,LCOE,0.009884946836057576,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,22,Residential PV,Labor,-527.9213447636964,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,23,Residential PV,GHG,-0.0002454554979038903,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,23,Residential PV,LCOE,0.009923805365071661,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,23,Residential PV,Labor,-504.65829434922443,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,24,Residential PV,GHG,-0.000705513153363313,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,24,Residential PV,LCOE,0.009290438439864296,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,24,Residential PV,Labor,-422.714988183513,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,25,Residential PV,GHG,-0.0014464128822169187,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,25,Residential PV,LCOE,0.010683938506858448,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,25,Residential PV,Labor,-494.8286600937172,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,26,Residential PV,GHG,-0.007817721305045211,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,26,Residential PV,LCOE,0.009967380302191922,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,26,Residential PV,Labor,-507.7346297124932,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,27,Residential PV,GHG,-0.007583761818267476,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,27,Residential PV,LCOE,0.009987301757601763,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,27,Residential PV,Labor,-501.18517249516117,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,28,Residential PV,GHG,-0.0006960071917063715,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,28,Residential PV,LCOE,0.010366016874460982,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,28,Residential PV,Labor,-495.21782627798575,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,29,Residential PV,GHG,-0.0009147576829349191,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,29,Residential PV,LCOE,0.01039587991323973,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,29,Residential PV,Labor,-501.99773741801187,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,30,Residential PV,GHG,-0.0026948899552792227,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,30,Residential PV,LCOE,0.011099396994585925,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,30,Residential PV,Labor,-553.7918447956981,Δ$/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,31,Residential PV,GHG,-0.0041877549355859855,ΔgCO2e/system
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,31,Residential PV,LCOE,0.010092380835018414,Δ$/kWh
High R&D,BoS R&D,BoS High R&D,BoS Fast Progress,31,Residential PV,Labor,-537.2389445118772,Δ$/system
