Category,Tranche,Sample,Index,Value,Units
BoS R&D,BoS High R&D,1,GHG,-0.004061533535661965,ΔgCO2e/system
BoS R&D,BoS High R&D,1,LCOE,0.00996743268462133,Δ$/kWh
BoS R&D,BoS High R&D,1,Labor,-490.8593144106635,Δ$/system
BoS R&D,BoS High R&D,2,GHG,0.001960078226204587,ΔgCO2e/system
BoS R&D,BoS High R&D,2,LCOE,0.010153563875295105,Δ$/kWh
BoS R&D,BoS High R&D,2,Labor,-453.1454667587359,Δ$/system
BoS R&D,BoS High R&D,3,GHG,-0.0013663324130277488,ΔgCO2e/system
BoS R&D,BoS High R&D,3,LCOE,0.010202113121276432,Δ$/kWh
BoS R&D,BoS High R&D,3,Labor,-533.6083512276728,Δ$/system
BoS R&D,BoS High R&D,4,GHG,-0.006860886915418973,ΔgCO2e/system
BoS R&D,BoS High R&D,4,LCOE,0.009817626121506412,Δ$/kWh
BoS R&D,BoS High R&D,4,Labor,-441.16460425958485,Δ$/system
BoS R&D,BoS High R&D,5,GHG,-0.0002023349347268777,ΔgCO2e/system
BoS R&D,BoS High R&D,5,LCOE,0.010462413599574658,Δ$/kWh
BoS R&D,BoS High R&D,5,Labor,-572.2121278976783,Δ$/system
BoS R&D,BoS High R&D,6,GHG,-0.002574461245487214,ΔgCO2e/system
BoS R&D,BoS High R&D,6,LCOE,0.010785124679448338,Δ$/kWh
BoS R&D,BoS High R&D,6,Labor,-528.6565159120928,Δ$/system
BoS R&D,BoS High R&D,7,GHG,-0.006016318095831252,ΔgCO2e/system
BoS R&D,BoS High R&D,7,LCOE,0.010093800297805641,Δ$/kWh
BoS R&D,BoS High R&D,7,Labor,-522.6636219996897,Δ$/system
BoS R&D,BoS High R&D,8,GHG,-0.00445220870768992,ΔgCO2e/system
BoS R&D,BoS High R&D,8,LCOE,0.009831737557279466,Δ$/kWh
BoS R&D,BoS High R&D,8,Labor,-515.1031769478643,Δ$/system
BoS R&D,BoS High R&D,9,GHG,-0.0037243644400888343,ΔgCO2e/system
BoS R&D,BoS High R&D,9,LCOE,0.00985034066428446,Δ$/kWh
BoS R&D,BoS High R&D,9,Labor,-489.74311931240345,Δ$/system
BoS R&D,BoS High R&D,10,GHG,-0.0051593619546395075,ΔgCO2e/system
BoS R&D,BoS High R&D,10,LCOE,0.010609815517870061,Δ$/kWh
BoS R&D,BoS High R&D,10,Labor,-528.0982614027303,Δ$/system
BoS R&D,BoS High R&D,11,GHG,-0.003151362818513803,ΔgCO2e/system
BoS R&D,BoS High R&D,11,LCOE,0.010319979351880407,Δ$/kWh
BoS R&D,BoS High R&D,11,Labor,-504.9115499832526,Δ$/system
BoS R&D,BoS High R&D,12,GHG,-0.0026500461092240357,ΔgCO2e/system
