Technology,Scenario,Parameter,Offset,Value,Units,Notes
PV Generic,Reference,Discount Rate,0,0.07,1/year,DR
PV Generic,Reference,Insolation,1,1000,W/m^2,INS
PV Generic,Reference,System Size,2,36,m^2,SSZ
PV Generic,Reference,Module Capital,3,110,$/m^2,MCC
PV Generic,Reference,Module Lifetime,4,25,yr,MLT
PV Generic,Reference,Module Efficiency,5,0.208,%/100,MEF
PV Generic,Reference,Module Aperture,6,0.9,%/100,MAP
PV Generic,Reference,Module O&M Fixed,7,20,$/kW/yr,MOM
PV Generic,Reference,Module Degradation,8,0.0075,1/yr,MDR
PV Generic,Reference,Location Capacity Factor,9,0.2,%/100,MCF
PV Generic,Reference,Module Soiling Loss,10,0.05,%/100,MSL
PV Generic,Reference,Inverter Capital,11,0.3,$/W,ICC
PV Generic,Reference,Inverter Lifetime,12,16,yr,ILT
PV Generic,Reference,Inverter Replacement,13,0.5,%/100,IRC
PV Generic,Reference,Inverter Efficiency,14,0.9,%/100,IEF
PV Generic,Reference,Hardware Capital,15,80,$/m^2,BCC
PV Generic,Reference,Direct Labor,16,2000,$/system,BLR
PV Generic,Reference,Permitting,17,600,$/system,BPR
PV Generic,Reference,Customer Acquisition,18,2000,$/system,BCA
PV Generic,Reference,Installer Overhead & Profit,19,0.35,1,BOH
PV Generic,Reference,Hazardous Waste Content,20,1830,g/m^2,
PV Generic,Reference,Greenhouse Gas Offset,21,4.49E-04,gCO2e/kWh,
PV Generic,Reference,Benchmark LCOC,22,2.51977,$/Wdc,
PV Generic,Reference,Benchmark LCOE,23,0.086773,$/kWh,
PV Generic,Power Electronics 1,Discount Rate,0,0.07,1/year,DR
PV Generic,Power Electronics 1,Insolation,1,1000,W/m^2,INS
PV Generic,Power Electronics 1,System Size,2,36,m^2,SSZ
PV Generic,Power Electronics 1,Module Capital,3,"st.triang(0.5, loc=110, scale=0.11)",$/m^2,MCC
PV Generic,Power Electronics 1,Module Lifetime,4,"st.triang(0.5, loc=25, scale=0.0025)",yr,MLT
PV Generic,Power Electronics 1,Module Efficiency,5,"st.triang(0.5, loc=0.208, scale=0.05)",%/100,MEF
PV Generic,Power Electronics 1,Module Aperture,6,"st.triang(0.5, loc=0.9, scale=9e-5)",%/100,MAP
PV Generic,Power Electronics 1,Module O&M Fixed,7,"st.triang(0.5, loc=20, scale=0.002)",$/kW/yr,MOM
PV Generic,Power Electronics 1,Module Degradation,8,"st.triang(0.5, loc=0.0075, scale=7.5e-7)",1/yr,MDR
PV Generic,Power Electronics 1,Location Capacity Factor,9,"st.triang(0.5, loc=0.2, scale=2e-5)",%/100,MCF
PV Generic,Power Electronics 1,Module Soiling Loss,10,"st.triang(0.5, loc=0.05, scale=5e-6)",%/100,MSL
PV Generic,Power Electronics 1,Inverter Capital,11,"st.triang(0.5, loc=0.25, scale=0.05)",$/W,ICC
PV Generic,Power Electronics 1,Inverter Lifetime,12,"st.triang(0.5, loc=20, scale=4)",yr,ILT
PV Generic,Power Electronics 1,Inverter Replacement,13,"st.triang(0.5, loc=0.5, scale=5e-5)",%/100,IRC
PV Generic,Power Electronics 1,Inverter Efficiency,14,"st.triang(0.5, loc=0.93, scale=0.03)",%/100,IEF
PV Generic,Power Electronics 1,Hardware Capital,15,"st.triang(0.5, loc=80, scale=0.008)",$/m^2,BCC
PV Generic,Power Electronics 1,Direct Labor,16,"st.triang(0.5, loc=2000, scale=0.2)",$/system,BLR
PV Generic,Power Electronics 1,Permitting,17,"st.triang(0.5, loc=600, scale=0.06)",$/system,BPR
PV Generic,Power Electronics 1,Customer Acquisition,18,"st.triang(0.5, loc=2000, scale=0.2)",$/system,BCA
PV Generic,Power Electronics 1,Installer Overhead & Profit,19,"st.triang(0.5, loc=0.35, scale=3.5e-5)",1,BOH
PV Generic,Power Electronics 1,Hazardous Waste Content,20,"st.triang(0.5, loc=1830, scale=10)",g/m^2,
PV Generic,Power Electronics 1,Greenhouse Gas Offset,21,4.49E-04,gCO2e/kWh,
PV Generic,Power Electronics 1,Benchmark LCOC,22,2.51977,$/Wdc,
PV Generic,Power Electronics 1,Benchmark LCOE,23,0.086773,$/kWh,
PV Generic,Power Electronics 2,Discount Rate,0,0.07,1/year,DR
PV Generic,Power Electronics 2,Insolation,1,1000,W/m^2,INS
PV Generic,Power Electronics 2,System Size,2,36,m^2,SSZ
PV Generic,Power Electronics 2,Module Capital,3,"st.triang(0.5, loc=110, scale=0.11)",$/m^2,MCC
PV Generic,Power Electronics 2,Module Lifetime,4,"st.triang(0.5, loc=25, scale=0.0025)",yr,MLT
PV Generic,Power Electronics 2,Module Efficiency,5,"st.triang(0.5, loc=0.208, scale=0.05)",%/100,MEF
PV Generic,Power Electronics 2,Module Aperture,6,"st.triang(0.5, loc=0.9, scale=9e-5)",%/100,MAP
PV Generic,Power Electronics 2,Module O&M Fixed,7,"st.triang(0.5, loc=20, scale=0.002)",$/kW/yr,MOM
PV Generic,Power Electronics 2,Module Degradation,8,"st.triang(0.5, loc=0.0075, scale=7.5e-7)",1/yr,MDR
PV Generic,Power Electronics 2,Location Capacity Factor,9,"st.triang(0.5, loc=0.2, scale=2e-5)",%/100,MCF
PV Generic,Power Electronics 2,Module Soiling Loss,10,"st.triang(0.5, loc=0.05, scale=5e-6)",%/100,MSL
PV Generic,Power Electronics 2,Inverter Capital,11,"st.triang(0.5, loc=0.20, scale=0.05)",$/W,ICC
PV Generic,Power Electronics 2,Inverter Lifetime,12,"st.triang(0.5, loc=24, scale=4)",yr,ILT
PV Generic,Power Electronics 2,Inverter Replacement,13,"st.triang(0.5, loc=0.5, scale=5e-5)",%/100,IRC
PV Generic,Power Electronics 2,Inverter Efficiency,14,"st.triang(0.5, loc=0.96, scale=0.03)",%/100,IEF
PV Generic,Power Electronics 2,Hardware Capital,15,"st.triang(0.5, loc=80, scale=0.008)",$/m^2,BCC
PV Generic,Power Electronics 2,Direct Labor,16,"st.triang(0.5, loc=2000, scale=0.2)",$/system,BLR
PV Generic,Power Electronics 2,Permitting,17,"st.triang(0.5, loc=600, scale=0.06)",$/system,BPR
PV Generic,Power Electronics 2,Customer Acquisition,18,"st.triang(0.5, loc=2000, scale=0.2)",$/system,BCA
PV Generic,Power Electronics 2,Installer Overhead & Profit,19,"st.triang(0.5, loc=0.35, scale=3.5e-5)",1,BOH
PV Generic,Power Electronics 2,Hazardous Waste Content,20,"st.triang(0.5, loc=1830, scale=10)",g/m^2,
PV Generic,Power Electronics 2,Greenhouse Gas Offset,21,4.49E-04,gCO2e/kWh,
PV Generic,Power Electronics 2,Benchmark LCOC,22,2.51977,$/Wdc,
PV Generic,Power Electronics 2,Benchmark LCOE,23,0.086773,$/kWh,
PV Generic,Soft Costs 1,Discount Rate,0,0.07,1/year,DR
PV Generic,Soft Costs 1,Insolation,1,1000,W/m^2,INS
PV Generic,Soft Costs 1,System Size,2,36,m^2,SSZ
PV Generic,Soft Costs 1,Module Capital,3,"st.triang(0.5, loc=110, scale=0.11)",$/m^2,MCC
PV Generic,Soft Costs 1,Module Lifetime,4,"st.triang(0.5, loc=25, scale=0.0025)",yr,MLT
PV Generic,Soft Costs 1,Module Efficiency,5,"st.triang(0.5, loc=0.208, scale=0.05)",%/100,MEF
PV Generic,Soft Costs 1,Module Aperture,6,"st.triang(0.5, loc=0.9, scale=9e-5)",%/100,MAP
PV Generic,Soft Costs 1,Module O&M Fixed,7,"st.triang(0.5, loc=20, scale=0.002)",$/kW/yr,MOM
PV Generic,Soft Costs 1,Module Degradation,8,"st.triang(0.5, loc=0.0075, scale=7.5e-7)",1/yr,MDR
