Tech,Geo class,Depth,Year,Cap cost 1000$/MW,Fixed O&M 1000$/MW-yr,Var O&M $/MWh
egs,1,allkm,2010,7416.28505,167.7824276,0
egs,2,allkm,2010,8367.965062,186.985674,0
egs,3,allkm,2010,8663.032186,198.1618809,0
egs,4,allkm,2010,8985.842661,210.8786507,0
egs,5,allkm,2010,10292.38684,239.2451333,0
egs,6,allkm,2010,12157.73273,280.097519,0
egs,7,allkm,2010,12696.49616,270.972801,0
egs,8,allkm,2010,15960.79472,341.9453237,0
egs,9,allkm,2010,20939.48225,453.5118676,0
egs,10,allkm,2010,27632.55876,605.6724327,0
egs,1,nearfield,2010,4452.910091,139.0086162,0
egs,2,nearfield,2010,4465.16267,142.2101749,0
egs,3,nearfield,2010,5274.162737,159.6713458,0
egs,4,nearfield,2010,5301.968948,168.8906748,0
egs,5,nearfield,2010,5316.032864,174.3002891,0
egs,6,nearfield,2010,6309.112235,210.6589352,0
egs,7,nearfield,2010,8613.777852,248.1151974,0
egs,8,nearfield,2010,9502.692277,274.0385509,0
egs,9,nearfield,2010,11997.6219,337.2703015,0
egs,10,nearfield,2010,16098.56673,401.1794697,0
geohydro,1,allkm,2010,2499.264602,99.83507234,0
geohydro,2,allkm,2010,3118.238669,114.4237919,0
geohydro,3,allkm,2010,3441.810219,122.5689699,0
geohydro,4,allkm,2010,3875.642041,133.248792,0
geohydro,5,allkm,2010,3777.828469,135.1736429,0
geohydro,6,allkm,2010,4694.486163,161.912221,0
geohydro,7,allkm,2010,5458.580885,187.4383816,0
geohydro,8,allkm,2010,6889.457501,232.3511065,0
geohydro,9,allkm,2010,9723.564835,302.9097727,0
geohydro,10,allkm,2010,17837.68682,515.3854381,0
egs,1,allkm,2011,7416.28505,167.7824276,0
egs,2,allkm,2011,8367.965062,186.985674,0
egs,3,allkm,2011,8663.032186,198.1618809,0
egs,4,allkm,2011,8985.842661,210.8786507,0
egs,5,allkm,2011,10292.38684,239.2451333,0
egs,6,allkm,2011,12157.73273,280.097519,0
egs,7,allkm,2011,12696.49616,270.972801,0
egs,8,allkm,2011,15960.79472,341.9453237,0
egs,9,allkm,2011,20939.48225,453.5118676,0
egs,10,allkm,2011,27632.55876,605.6724327,0
egs,1,nearfield,2011,4452.910091,139.0086162,0
egs,2,nearfield,2011,4465.16267,142.2101749,0
egs,3,nearfield,2011,5274.162737,159.6713458,0
egs,4,nearfield,2011,5301.968948,168.8906748,0
egs,5,nearfield,2011,5316.032864,174.3002891,0
