t,capcost,i,fom,vom,heatrate
2010,10624.961054046518,Nuclear-SMR,134.912177,3.556022,10.455
2011,10626.73040636002,Nuclear-SMR,134.912177,3.556022,10.455
2012,10625.327330756303,Nuclear-SMR,134.912177,3.556022,10.455
2013,10625.129202289683,Nuclear-SMR,134.912177,3.556022,10.455
2014,10627.328829737697,Nuclear-SMR,134.912177,3.556022,10.455
2015,10625.550327099536,Nuclear-SMR,134.912177,3.556022,10.455
2016,10625.980172886933,Nuclear-SMR,134.912177,3.556022,10.455
2017,10626.826645850591,Nuclear-SMR,134.912177,3.556022,10.455
2018,10626.196140514958,Nuclear-SMR,134.912177,3.556022,10.455
2019,10628.085303787942,Nuclear-SMR,134.912177,3.556022,10.455
2020,10626.940515083123,Nuclear-SMR,134.189278,3.512687,10.455
2021,10625.322834491119,Nuclear-SMR,133.564464,3.518996,10.455
2022,10625.34571654007,Nuclear-SMR,122.838,2.2902,9.18
2023,10625.492326776097,Nuclear-SMR,122.838,2.2902,9.18
2024,10626.638156857602,Nuclear-SMR,122.838,2.2902,9.18
2025,10626.307411942522,Nuclear-SMR,122.838,2.2902,9.18
2026,10626.301218800892,Nuclear-SMR,122.838,2.2902,9.18
2027,10624.92206814067,Nuclear-SMR,122.838,2.2902,9.18
2028,10626.536417978166,Nuclear-SMR,122.838,2.2902,9.18
2029,10626.909461071755,Nuclear-SMR,122.838,2.2902,9.18
2030,10627.6853949308,Nuclear-SMR,118.0,2.2,9.18
2031,10627.309059060237,Nuclear-SMR,118.0,2.2,9.18
2032,10627.020536523769,Nuclear-SMR,118.0,2.2,9.18
2033,10628.288880590042,Nuclear-SMR,118.0,2.2,9.18
2034,10615.687334572527,Nuclear-SMR,118.0,2.2,9.18
2035,10269.900572146445,Nuclear-SMR,118.0,2.2,9.18
2036,9439.814718137552,Nuclear-SMR,118.0,2.2,9.18
2037,8512.13507181137,Nuclear-SMR,118.0,2.2,9.18
2038,7567.592354588365,Nuclear-SMR,118.0,2.2,9.18
2039,6606.3994166981465,Nuclear-SMR,118.0,2.2,9.18
2040,5941.995467232989,Nuclear-SMR,118.0,2.2,9.18
2041,5556.692200908598,Nuclear-SMR,118.0,2.2,9.18
2042,5385.396105017737,Nuclear-SMR,118.0,2.2,9.18
2043,5313.829559742078,Nuclear-SMR,118.0,2.2,9.18
2044,5271.7696875729625,Nuclear-SMR,118.0,2.2,9.18
2045,5217.364365359443,Nuclear-SMR,118.0,2.2,9.18
2046,5147.099791198138,Nuclear-SMR,118.0,2.2,9.18
2047,5041.065268617417,Nuclear-SMR,118.0,2.2,9.18
2048,4909.214820400766,Nuclear-SMR,118.0,2.2,9.18
2049,4765.7944845628,Nuclear-SMR,118.0,2.2,9.18
2050,4657.632520531181,Nuclear-SMR,118.0,2.2,9.18
2051,4566.845436584881,Nuclear-SMR,118.0,2.2,9.18
2052,4502.256189581467,Nuclear-SMR,118.0,2.2,9.18
2053,4459.579376164645,Nuclear-SMR,118.0,2.2,9.18
2054,4425.718059442706,Nuclear-SMR,118.0,2.2,9.18
2055,4380.565973157443,Nuclear-SMR,118.0,2.2,9.18
2056,4336.012859835346,Nuclear-SMR,118.0,2.2,9.18
2057,4281.849100765219,Nuclear-SMR,118.0,2.2,9.18
2058,4229.579159380325,Nuclear-SMR,118.0,2.2,9.18
2059,4183.1455998633855,Nuclear-SMR,118.0,2.2,9.18
2060,4141.2518921025285,Nuclear-SMR,118.0,2.2,9.18
