t,capcost,i,fom,vom,heatrate
2010.0,8786.07332225921,Nuclear,129.284371,1.9,10.497
2011.0,8786.07332225921,Nuclear,129.284371,1.9,10.497
2012.0,8786.07332225921,Nuclear,129.284371,1.9,10.497
2013.0,8786.07332225921,Nuclear,129.284371,1.9,10.497
2014.0,8786.07332225921,Nuclear,129.284371,1.9,10.497
2015.0,8786.07332225921,Nuclear,129.284371,1.9,10.497
2016.0,8786.07332225921,Nuclear,129.284371,1.9,10.497
2017.0,8786.07332225921,Nuclear,129.284371,1.9,10.497
2018.0,8786.07332225921,Nuclear,129.284371,1.9,10.497
2019.0,8786.07332225921,Nuclear,129.284371,1.9,10.497
2020.0,8786.07332225921,Nuclear,129.284371,1.9,10.497
2021.0,8786.07332225921,Nuclear,129.284371,1.9,10.497
2022.0,8786.07332225921,Nuclear,129.284371,1.9,10.497
2023.0,8786.07332225921,Nuclear,129.284371,1.9,10.497
2024.0,8786.07332225921,Nuclear,129.284371,1.9,10.497
2025.0,8786.07332225921,Nuclear,129.284371,1.9,10.497
2026.0,8786.07332225921,Nuclear,129.284371,1.9,10.497
2027.0,8786.07332225921,Nuclear,129.284371,1.9,10.497
2028.0,8786.07332225921,Nuclear,129.284371,1.9,10.497
2029.0,8786.07332225921,Nuclear,129.284371,1.9,10.497
2030.0,8786.07332225921,Nuclear,129.284371,1.9,10.497
2031.0,8786.07332225921,Nuclear,129.284371,1.9,10.497
2032.0,8786.07332225921,Nuclear,129.284371,1.9,10.497
2033.0,8833.263193408628,Nuclear,129.284371,1.9,10.497
2034.0,9360.033922927185,Nuclear,129.284371,1.9,10.497
2035.0,5920.917733607389,Nuclear,129.284371,1.9,10.497
2036.0,4854.035636480846,Nuclear,129.284371,1.9,10.497
2037.0,4523.693439840497,Nuclear,129.284371,1.9,10.497
2038.0,4348.72260127564,Nuclear,129.284371,1.9,10.497
2039.0,4240.363537718688,Nuclear,129.284371,1.9,10.497
2040.0,4192.090871733486,Nuclear,129.284371,1.9,10.497
2041.0,4158.777804347756,Nuclear,129.284371,1.9,10.497
2042.0,4153.003410536108,Nuclear,129.284371,1.9,10.497
2043.0,4158.043954534599,Nuclear,129.284371,1.9,10.497
2044.0,4157.010523376122,Nuclear,129.284371,1.9,10.497
2045.0,4079.5159512365535,Nuclear,129.284371,1.9,10.497
2046.0,3931.2304965270555,Nuclear,129.284371,1.9,10.497
2047.0,3773.2335777772173,Nuclear,129.284371,1.9,10.497
2048.0,3624.287286785445,Nuclear,129.284371,1.9,10.497
2049.0,3493.582233346621,Nuclear,129.284371,1.9,10.497
2050.0,3418.870720137811,Nuclear,129.284371,1.9,10.497
2051.0,3401.07076969469,Nuclear,129.284371,1.9,10.497
2052.0,3360.391998087651,Nuclear,129.284371,1.9,10.497
2053.0,3342.7985712294226,Nuclear,129.284371,1.9,10.497
2054.0,3342.7746046424136,Nuclear,129.284371,1.9,10.497
2055.0,3328.096662340716,Nuclear,129.284371,1.9,10.497
2056.0,3285.327445245211,Nuclear,129.284371,1.9,10.497
2057.0,3234.866141749127,Nuclear,129.284371,1.9,10.497
2058.0,3155.4602018844557,Nuclear,129.284371,1.9,10.497
2059.0,3124.7016721154578,Nuclear,129.284371,1.9,10.497
2060.0,3096.826971718259,Nuclear,129.284371,1.9,10.497
