years,fom,vom,capcost,heatrate
2010,156.7425332,9.552327351,5625.240162,10.455
2011,156.7425332,9.552327351,5625.240162,10.455
2012,156.7425332,9.552327351,5625.240162,10.455
2013,156.7425332,9.552327351,5625.240162,10.455
2014,156.7425332,9.552327351,5625.240162,10.455
2015,156.7425332,9.552327351,5625.240162,10.455
2016,156.7425332,9.552327351,5625.240162,10.455
2017,156.7425332,9.552327351,5625.240162,10.455
2018,156.7425332,9.552327351,5625.240162,10.455
2019,156.7425332,9.552327351,5625.240162,10.455
2020,156.7425332,9.552327351,5625.240162,10.455
2021,156.7425332,9.552327351,5625.240162,10.455
2022,156.7425332,9.552327351,5625.240162,9.18
2023,156.7425332,9.552327351,5625.240162,9.18
2024,156.7425332,9.552327351,5625.240162,9.18
2025,156.7425332,9.552327351,5625.240162,9.18
2026,156.7425332,9.552327351,5625.240162,9.18
2027,156.7425332,9.552327351,5625.240162,9.18
2028,156.7425332,9.552327351,6876.389953,9.18
2029,156.7425332,10.0892611,3982.424494,9.18
2030,156.7425332,10.0892611,3646.18611,9.18
2031,154.8054764,10.0892611,3519.615544,9.18
2032,154.8054764,9.672581606,3519.615544,9.18
2033,154.8054764,9.672581606,3519.615544,9.18
2034,154.8054764,9.672581606,3519.615544,9.18
2035,156.4672845,9.672581606,3819.775048,9.18
2036,156.4672845,10.01546325,3383.201237,9.18
2037,158.4409471,9.356509922,3211.780779,9.18
2038,155.538162,9.356509922,3149.932517,9.18
2039,155.538162,9.356509922,3127.31633,9.18
2040,155.538162,9.356509922,3127.31633,9.18
2041,158.8499004,9.464790763,3127.31633,9.18
2042,158.8499004,9.464790763,2928.627075,9.18
2043,158.7460656,9.541969503,2928.627075,9.18
2044,158.7460656,9.541969503,2928.627075,9.18
2045,158.7460656,9.541969503,2803.06169,9.18
2046,158.7460656,10.26696975,2586.49721,9.18
2047,160.4242031,9.62331518,2586.49721,9.18
2048,158.3658425,9.62331518,2586.49721,9.18
2049,158.3658425,9.62331518,2892.090697,9.18
2050,158.3658425,9.703195985,2800.885578,9.18
2051,158.3658425,9.987566607,2800.885578,9.18
2052,159.9424414,9.987566607,2706.591303,9.18
2053,159.9424414,9.956565348,2706.591303,9.18
2054,159.9424414,9.956565348,2706.591303,9.18
2055,159.9424414,9.956565348,2706.591303,9.18
2056,159.9424414,9.956565348,2706.591303,9.18
2057,159.9424414,9.956565348,2706.591303,9.18
2058,159.9424414,9.956565348,2706.591303,9.18
2059,159.9424414,9.956565348,2706.591303,9.18
2060,159.9424414,9.956565348,2706.591303,9.18
