t,capcost,i,fom,vom,heatrate
2010,10680.36982869955,Nuclear-SMR,134.912177,3.556022,10.455
2011,10677.841079625914,Nuclear-SMR,134.912177,3.556022,10.455
2012,10678.466809428824,Nuclear-SMR,134.912177,3.556022,10.455
2013,10680.548921333942,Nuclear-SMR,134.912177,3.556022,10.455
2014,10680.241841605986,Nuclear-SMR,134.912177,3.556022,10.455
2015,10684.963936897693,Nuclear-SMR,134.912177,3.556022,10.455
2016,10681.380956274832,Nuclear-SMR,134.912177,3.556022,10.455
2017,10679.842759319281,Nuclear-SMR,134.912177,3.556022,10.455
2018,10679.273809217335,Nuclear-SMR,134.912177,3.556022,10.455
2019,10682.166932797856,Nuclear-SMR,134.912177,3.556022,10.455
2020,10681.11905493397,Nuclear-SMR,134.189278,3.512687,10.455
2021,10681.91531505015,Nuclear-SMR,133.564464,3.518996,10.455
2022,10684.393702509054,Nuclear-SMR,122.838,2.2902,9.18
2023,10680.089528523198,Nuclear-SMR,122.838,2.2902,9.18
2024,10677.721355995503,Nuclear-SMR,122.838,2.2902,9.18
2025,10677.825822797537,Nuclear-SMR,122.838,2.2902,9.18
2026,10678.706410261495,Nuclear-SMR,122.838,2.2902,9.18
2027,10683.021298144138,Nuclear-SMR,122.838,2.2902,9.18
2028,10678.55558529849,Nuclear-SMR,122.838,2.2902,9.18
2029,10682.470938840559,Nuclear-SMR,122.838,2.2902,9.18
2030,10684.804802670727,Nuclear-SMR,118.0,2.2,9.18
2031,10682.718569112722,Nuclear-SMR,118.0,2.2,9.18
2032,10679.657320198472,Nuclear-SMR,118.0,2.2,9.18
2033,10684.962256527075,Nuclear-SMR,118.0,2.2,9.18
2034,10686.957135562678,Nuclear-SMR,118.0,2.2,9.18
2035,10334.469569814324,Nuclear-SMR,118.0,2.2,9.18
2036,9613.196434609732,Nuclear-SMR,118.0,2.2,9.18
2037,8747.353981218746,Nuclear-SMR,118.0,2.2,9.18
2038,7743.209512887761,Nuclear-SMR,118.0,2.2,9.18
2039,6927.223390524472,Nuclear-SMR,118.0,2.2,9.18
2040,6206.952381697585,Nuclear-SMR,118.0,2.2,9.18
2041,5728.672574469438,Nuclear-SMR,118.0,2.2,9.18
2042,5486.056089078593,Nuclear-SMR,118.0,2.2,9.18
2043,5414.214796208106,Nuclear-SMR,118.0,2.2,9.18
2044,5314.083350689526,Nuclear-SMR,118.0,2.2,9.18
2045,5269.415139570739,Nuclear-SMR,118.0,2.2,9.18
2046,5178.233285692635,Nuclear-SMR,118.0,2.2,9.18
2047,5093.202509468668,Nuclear-SMR,118.0,2.2,9.18
2048,4960.193050797979,Nuclear-SMR,118.0,2.2,9.18
2049,4824.288975428785,Nuclear-SMR,118.0,2.2,9.18
2050,4705.465300661979,Nuclear-SMR,118.0,2.2,9.18
2051,4595.727302153217,Nuclear-SMR,118.0,2.2,9.18
2052,4526.379365322111,Nuclear-SMR,118.0,2.2,9.18
2053,4498.907069305938,Nuclear-SMR,118.0,2.2,9.18
2054,4458.488818335644,Nuclear-SMR,118.0,2.2,9.18
2055,4425.632716401653,Nuclear-SMR,118.0,2.2,9.18
2056,4382.52965049494,Nuclear-SMR,118.0,2.2,9.18
2057,4324.185905853542,Nuclear-SMR,118.0,2.2,9.18
2058,4272.252321376222,Nuclear-SMR,118.0,2.2,9.18
2059,4235.420463112616,Nuclear-SMR,118.0,2.2,9.18
2060,4179.583562644469,Nuclear-SMR,118.0,2.2,9.18
