t,capcost,i,fom,vom,heatrate
2010,10687.20636947813,Nuclear-SMR,134.912177,3.556022,10.455
2011,10687.20636947813,Nuclear-SMR,134.912177,3.556022,10.455
2012,10687.20636947813,Nuclear-SMR,134.912177,3.556022,10.455
2013,10687.20636947813,Nuclear-SMR,134.912177,3.556022,10.455
2014,10687.20636947813,Nuclear-SMR,134.912177,3.556022,10.455
2015,10687.20636947813,Nuclear-SMR,134.912177,3.556022,10.455
2016,10687.20636947813,Nuclear-SMR,134.912177,3.556022,10.455
2017,10687.20636947813,Nuclear-SMR,134.912177,3.556022,10.455
2018,10687.20636947813,Nuclear-SMR,134.912177,3.556022,10.455
2019,10687.20636947813,Nuclear-SMR,134.912177,3.556022,10.455
2020,10687.20636947813,Nuclear-SMR,134.189278,3.512687,10.455
2021,10687.20636947813,Nuclear-SMR,133.564464,3.518996,10.455
2022,10687.20636947813,Nuclear-SMR,141.576,2.7066,9.18
2023,10687.20636947813,Nuclear-SMR,141.576,2.7066,9.18
2024,10687.20636947813,Nuclear-SMR,141.576,2.7066,9.18
2025,10687.20636947813,Nuclear-SMR,141.576,2.7066,9.18
2026,10687.20636947813,Nuclear-SMR,141.576,2.7066,9.18
2027,10687.20636947813,Nuclear-SMR,141.576,2.7066,9.18
2028,10687.20636947813,Nuclear-SMR,141.576,2.7066,9.18
2029,10687.20636947813,Nuclear-SMR,141.576,2.7066,9.18
2030,10687.20636947813,Nuclear-SMR,136.0,2.6,9.18
2031,10687.20636947813,Nuclear-SMR,136.0,2.6,9.18
2032,10687.20636947813,Nuclear-SMR,136.0,2.6,9.18
2033,10689.23349889462,Nuclear-SMR,136.0,2.6,9.18
2034,10678.261866159895,Nuclear-SMR,136.0,2.6,9.18
2035,10344.83962173189,Nuclear-SMR,136.0,2.6,9.18
2036,9520.247259061249,Nuclear-SMR,136.0,2.6,9.18
2037,8595.961830141106,Nuclear-SMR,136.0,2.6,9.18
2038,7651.127399250502,Nuclear-SMR,136.0,2.6,9.18
2039,6673.7093508812495,Nuclear-SMR,136.0,2.6,9.18
2040,5997.001272055562,Nuclear-SMR,136.0,2.6,9.18
2041,5595.219394049309,Nuclear-SMR,136.0,2.6,9.18
2042,5414.372006627789,Nuclear-SMR,136.0,2.6,9.18
2043,5338.832664216356,Nuclear-SMR,136.0,2.6,9.18
2044,5293.824777286613,Nuclear-SMR,136.0,2.6,9.18
2045,5239.363281008293,Nuclear-SMR,136.0,2.6,9.18
2046,5170.002634089785,Nuclear-SMR,136.0,2.6,9.18
2047,5064.566220006533,Nuclear-SMR,136.0,2.6,9.18
2048,4933.312915495041,Nuclear-SMR,136.0,2.6,9.18
2049,4788.214925847562,Nuclear-SMR,136.0,2.6,9.18
2050,4678.605261971181,Nuclear-SMR,136.0,2.6,9.18
2051,4586.98122289099,Nuclear-SMR,136.0,2.6,9.18
2052,4521.4173026976705,Nuclear-SMR,136.0,2.6,9.18
2053,4478.050068090212,Nuclear-SMR,136.0,2.6,9.18
2054,4443.8612468782185,Nuclear-SMR,136.0,2.6,9.18
2055,4398.981065023914,Nuclear-SMR,136.0,2.6,9.18
2056,4353.4286281601235,Nuclear-SMR,136.0,2.6,9.18
2057,4299.126061696467,Nuclear-SMR,136.0,2.6,9.18
2058,4247.052204174008,Nuclear-SMR,136.0,2.6,9.18
2059,4200.002754330015,Nuclear-SMR,136.0,2.6,9.18
2060,4158.333876270083,Nuclear-SMR,136.0,2.6,9.18
