years,fom,vom,capcost
2010,155.04692612719387,9.444611367003901,4344.836693232179
2011,155.04692612719387,9.444611367003901,4344.836693232179
2012,155.04692612719387,9.444611367003901,4344.836693232179
2013,155.04692612719387,9.444611367003901,4344.836693232179
2014,155.04692612719387,9.444611367003901,4344.836693232179
2015,155.04692612719387,9.444611367003901,4344.836693232179
2016,155.04692612719387,9.444611367003901,4344.836693232179
2017,155.04692612719387,9.444611367003901,4344.836693232179
2018,155.04692612719387,9.444611367003901,4344.836693232179
2019,155.04692612719387,9.444611367003901,4344.836693232179
2020,155.04692612719387,9.444611367003901,4344.836693232179
2021,155.04692612719387,9.444611367003901,4344.836693232179
2022,155.04692612719387,9.444611367003901,4344.836693232179
2023,155.04692612719387,9.444611367003901,4344.836693232179
2024,155.04692612719387,9.444611367003901,4344.836693232179
2025,155.04692612719387,9.444611367003901,4344.836693232179
2026,155.04692612719387,9.444611367003901,4344.836693232179
2027,155.04692612719387,9.444611367003901,4344.836693232179
2028,155.04692612719387,9.444611367003901,4344.836693232179
2029,155.04692612719387,9.444611367003901,4344.836693232179
2030,155.04692612719387,9.444611367003901,4344.836693232179
2031,155.04692612719387,9.444611367003901,4344.836693232179
2032,155.04692612719387,9.444611367003901,4344.836693232179
2033,155.04692612719387,9.444611367003901,4344.836693232179
2034,155.04692612719387,9.444611367003901,3902.958713703552
2035,155.04692612719387,9.444611367003901,3372.3646990723287
2036,155.04692612719387,9.444611367003901,3260.164175363769
2037,155.04692612719387,9.444611367003901,3260.164175363769
2038,155.56219593472088,9.403614294729216,3260.164175363769
2039,155.56219593472088,9.365329985947517,3025.0028134926943
2040,155.56219593472088,9.365329985947517,3025.0028134926943
2041,155.56219593472088,9.365329985947517,3025.0028134926943
2042,155.56219593472088,9.365329985947517,3025.0028134926943
2043,155.4302775833482,9.365329985947517,3025.0028134926943
2044,155.4302775833482,9.365329985947517,3025.0028134926943
2045,155.4302775833482,9.365329985947517,2777.6689831461067
2046,155.4302775833482,9.354352034449537,2777.6689831461067
2047,154.5900783811,9.354352034449537,2777.6689831461067
2048,154.5900783811,9.354352034449537,2719.653685357345
2049,154.5900783811,9.32156997383597,2719.653685357345
2050,154.5900783811,9.32156997383597,2719.653685357345
2051,154.5900783811,9.32156997383597,2719.653685357345
2052,154.5900783811,9.32156997383597,2469.2422974036563
2053,154.5900783811,9.32156997383597,2469.2422974036563
2054,154.5900783811,9.32156997383597,2314.544452351923
2055,154.5900783811,9.32156997383597,2314.544452351923
2056,155.68829886901582,9.357045447027595,2314.544452351923
2057,155.68829886901582,9.387440527969297,2314.544452351923
2058,155.68829886901582,9.387440527969297,2314.544452351923
2059,155.68829886901582,9.387440527969297,2314.544452351923
2060,154.38009855391059,9.387440527969297,2314.544452351923
