years,fom,vom,capcost
2010,221.54686363956006,16.89585075140397,21438.58598693921
2011,221.54686363956006,16.89585075140397,21438.58598693921
2012,221.54686363956006,16.89585075140397,21438.58598693921
2013,221.54686363956006,16.89585075140397,21438.58598693921
2014,221.54686363956006,16.89585075140397,21438.58598693921
2015,221.54686363956006,16.89585075140397,21438.58598693921
2016,221.54686363956006,16.89585075140397,21438.58598693921
2017,221.54686363956006,16.89585075140397,21438.58598693921
2018,221.54686363956006,16.89585075140397,21438.58598693921
2019,221.54686363956006,16.89585075140397,21438.58598693921
2020,221.54686363956006,16.89585075140397,21438.58598693921
2021,221.54686363956006,16.89585075140397,21438.58598693921
2022,221.54686363956006,16.89585075140397,21438.58598693921
2023,221.54686363956006,16.89585075140397,21438.58598693921
2024,221.54686363956006,16.89585075140397,21438.58598693921
2025,221.54686363956006,16.89585075140397,21438.58598693921
2026,221.54686363956006,16.89585075140397,21438.58598693921
2027,221.54686363956006,16.89585075140397,21438.58598693921
2028,221.54686363956006,16.89585075140397,21438.58598693921
2029,221.54686363956006,16.89585075140397,21438.58598693921
2030,221.54686363956006,16.89585075140397,21438.58598693921
2031,221.54686363956006,16.89585075140397,21438.58598693921
2032,221.54686363956006,16.89585075140397,21438.58598693921
2033,221.54686363956006,16.89585075140397,21438.58598693921
2034,221.54686363956006,16.89585075140397,21438.58598693921
2035,221.54686363956006,16.89585075140397,21438.58598693921
2036,222.18634755310774,16.89585075140397,20248.197873121433
2037,222.18634755310774,16.89585075140397,20248.197873121433
2038,222.66475167038323,16.89585075140397,20248.197873121433
2039,222.66475167038323,16.89585075140397,19949.243170731697
2040,222.66475167038323,16.74781321682954,19949.243170731697
2041,222.66475167038323,16.98663255662575,19949.243170731697
2042,222.66475167038323,16.98663255662575,15069.120508814576
2043,222.66475167038323,16.98663255662575,14482.295641770661
2044,222.66475167038323,16.98663255662575,14482.295641770661
2045,222.66475167038323,16.98663255662575,8435.219816048253
2046,222.66475167038323,16.98663255662575,8435.219816048253
2047,222.66475167038323,16.98663255662575,8435.219816048253
2048,220.9094154183881,16.98663255662575,8435.219816048253
2049,220.9094154183881,16.98663255662575,8435.219816048253
2050,220.9094154183881,16.98663255662575,7680.059344568174
2051,220.9094154183881,16.98663255662575,7680.059344568174
2052,220.9094154183881,16.98663255662575,7060.691350478483
2053,220.9094154183881,16.853494895660624,7060.691350478483
2054,220.9094154183881,16.853494895660624,7060.691350478483
2055,220.16906343463108,16.853494895660624,7060.691350478483
2056,220.16906343463108,16.853494895660624,7060.691350478483
2057,220.1730973421673,16.682022654630664,7060.691350478483
2058,220.51461061607085,16.706713807905032,6719.818067487484
2059,220.51461061607085,16.747765116424958,6719.818067487484
2060,220.51461061607085,16.747765116424958,6719.818067487484
