t,capcost,i,fom,vom,heatrate
2010.0,22315.924047889155,Nuclear,155.624298,3.4,10.497
2011.0,22315.924047889155,Nuclear,155.624298,3.4,10.497
2012.0,22315.924047889155,Nuclear,155.624298,3.4,10.497
2013.0,22315.924047889155,Nuclear,155.624298,3.4,10.497
2014.0,22315.924047889155,Nuclear,155.624298,3.4,10.497
2015.0,22315.924047889155,Nuclear,155.624298,3.4,10.497
2016.0,22315.924047889155,Nuclear,155.624298,3.4,10.497
2017.0,22315.924047889155,Nuclear,155.624298,3.4,10.497
2018.0,22315.924047889155,Nuclear,155.624298,3.4,10.497
2019.0,22315.924047889155,Nuclear,155.624298,3.4,10.497
2020.0,22315.924047889155,Nuclear,155.624298,3.4,10.497
2021.0,22315.924047889155,Nuclear,155.624298,3.4,10.497
2022.0,22315.924047889155,Nuclear,155.624298,3.4,10.497
2023.0,22315.924047889155,Nuclear,155.624298,3.4,10.497
2024.0,22315.924047889155,Nuclear,155.624298,3.4,10.497
2025.0,22315.924047889155,Nuclear,155.624298,3.4,10.497
2026.0,22315.924047889155,Nuclear,155.624298,3.4,10.497
2027.0,22315.924047889155,Nuclear,155.624298,3.4,10.497
2028.0,22315.924047889155,Nuclear,155.624298,3.4,10.497
2029.0,22315.924047889155,Nuclear,155.624298,3.4,10.497
2030.0,22315.924047889155,Nuclear,155.624298,3.4,10.497
2031.0,22315.924047889155,Nuclear,155.624298,3.4,10.497
2032.0,22315.924047889155,Nuclear,155.624298,3.4,10.497
2033.0,22322.556560028323,Nuclear,155.624298,3.4,10.497
2034.0,22530.896224073414,Nuclear,155.624298,3.4,10.497
2035.0,22736.016866507303,Nuclear,155.624298,3.4,10.497
2036.0,22855.106780935897,Nuclear,155.624298,3.4,10.497
2037.0,22773.65306217155,Nuclear,155.624298,3.4,10.497
2038.0,22853.176043179184,Nuclear,155.624298,3.4,10.497
2039.0,22169.444593509437,Nuclear,155.624298,3.4,10.497
2040.0,21747.10182543993,Nuclear,155.624298,3.4,10.497
2041.0,19303.630540449652,Nuclear,155.624298,3.4,10.497
2042.0,8203.874605220639,Nuclear,155.624298,3.4,10.497
2043.0,7939.306631134991,Nuclear,155.624298,3.4,10.497
2044.0,7846.902089123596,Nuclear,155.624298,3.4,10.497
2045.0,7844.313126680173,Nuclear,155.624298,3.4,10.497
2046.0,7849.193183815592,Nuclear,155.624298,3.4,10.497
2047.0,7764.251942405871,Nuclear,155.624298,3.4,10.497
2048.0,7666.194076365253,Nuclear,155.624298,3.4,10.497
2049.0,7467.648759480833,Nuclear,155.624298,3.4,10.497
2050.0,7298.876095131283,Nuclear,155.624298,3.4,10.497
2051.0,6887.951793068595,Nuclear,155.624298,3.4,10.497
2052.0,6332.554066860089,Nuclear,155.624298,3.4,10.497
2053.0,6000.920675199229,Nuclear,155.624298,3.4,10.497
2054.0,5892.201161476392,Nuclear,155.624298,3.4,10.497
2055.0,5809.174400071078,Nuclear,155.624298,3.4,10.497
2056.0,5733.602969151698,Nuclear,155.624298,3.4,10.497
2057.0,5635.608979903073,Nuclear,155.624298,3.4,10.497
2058.0,5492.139123968593,Nuclear,155.624298,3.4,10.497
2059.0,5350.452473467774,Nuclear,155.624298,3.4,10.497
2060.0,5236.43907161905,Nuclear,155.624298,3.4,10.497
