years,fom,vom,capcost
2010,134.912177,3.556022,10244.86353
2011,134.912177,3.556022,10244.86353
2012,134.912177,3.556022,10244.86353
2013,134.912177,3.556022,10244.86353
2014,134.912177,3.556022,10244.86353
2015,134.912177,3.556022,10244.86353
2016,134.912177,3.556022,10244.86353
2017,134.912177,3.556022,10244.86353
2018,134.912177,3.556022,10244.86353
2019,134.912177,3.556022,10244.86353
2020,134.189278,3.512687,10244.86353
2021,133.564464,3.518996,10244.86353
2022,141.576,2.7066,10244.86353
2023,141.576,2.7066,10244.86353
2024,141.576,2.7066,10244.86353
2025,141.576,2.7066,10244.86353
2026,141.576,2.7066,10244.86353
2027,141.576,2.7066,10244.86353
2028,141.576,2.7066,10244.86353
2029,141.576,2.7066,10244.86353
2030,136,2.6,10244.86353
2031,136,2.6,10244.86353
2032,136,2.6,10244.86353
2033,136,2.6,10243.13229
2034,136,2.6,10240.58143
2035,136,2.6,10105.77742
2036,136,2.6,9433.814954
2037,136,2.6,8516.032314
2038,136,2.6,6486.307832
2039,136,2.6,5678.015091
2040,136,2.6,5446.656718
2041,136,2.6,5322.231818
2042,136,2.6,5266.766537
2043,136,2.6,5251.016155
2044,136,2.6,5230.61353
2045,136,2.6,5207.522942
2046,136,2.6,5125.933045
2047,136,2.6,5028.122785
2048,136,2.6,4889.084333
2049,136,2.6,4708.774623
2050,136,2.6,4568.858165
2051,136,2.6,4488.252628
2052,136,2.6,4422.405032
2053,136,2.6,4393.136856
2054,136,2.6,4328.215446
2055,136,2.6,4301.695221
2056,136,2.6,4280.199599
2057,136,2.6,4218.744587
2058,136,2.6,4150.453093
2059,136,2.6,4094.803995
2060,136,2.6,4079.533322
