t,capcost,i,fom,vom,heatrate
2010,14600.235498593933,Nuclear,143.911522,2.8,10.497
2011,14600.235498593933,Nuclear,143.911522,2.8,10.497
2012,14600.235498593933,Nuclear,143.911522,2.8,10.497
2013,14600.235498593933,Nuclear,143.911522,2.8,10.497
2014,14600.235498593933,Nuclear,143.911522,2.8,10.497
2015,14600.235498593933,Nuclear,143.911522,2.8,10.497
2016,14600.235498593933,Nuclear,143.911522,2.8,10.497
2017,14600.235498593933,Nuclear,143.911522,2.8,10.497
2018,14600.235498593933,Nuclear,143.911522,2.8,10.497
2019,14600.235498593933,Nuclear,143.911522,2.8,10.497
2020,14600.235498593933,Nuclear,143.911522,2.8,10.497
2021,14600.235498593933,Nuclear,143.911522,2.8,10.497
2022,14600.235498593933,Nuclear,143.911522,2.8,10.497
2023,14600.235498593933,Nuclear,143.911522,2.8,10.497
2024,14600.235498593933,Nuclear,143.911522,2.8,10.497
2025,14600.235498593933,Nuclear,143.911522,2.8,10.497
2026,14600.235498593933,Nuclear,143.911522,2.8,10.497
2027,14600.235498593933,Nuclear,143.911522,2.8,10.497
2028,14600.235498593933,Nuclear,143.911522,2.8,10.497
2029,14600.235498593933,Nuclear,143.911522,2.8,10.497
2030,14600.235498593933,Nuclear,143.911522,2.8,10.497
2031,14600.235498593933,Nuclear,143.911522,2.8,10.497
2032,14600.235498593933,Nuclear,143.911522,2.8,10.497
2033,14617.292732691292,Nuclear,143.911522,2.8,10.497
2034,14925.703956102754,Nuclear,143.911522,2.8,10.497
2035,14913.548010488343,Nuclear,143.911522,2.8,10.497
2036,13834.417673605256,Nuclear,143.911522,2.8,10.497
2037,12394.200214818105,Nuclear,143.911522,2.8,10.497
2038,10957.886451502834,Nuclear,143.911522,2.8,10.497
2039,9279.490649511212,Nuclear,143.911522,2.8,10.497
2040,7816.270037442432,Nuclear,143.911522,2.8,10.497
2041,6823.526434463526,Nuclear,143.911522,2.8,10.497
2042,6280.578020750335,Nuclear,143.911522,2.8,10.497
2043,6027.816592633069,Nuclear,143.911522,2.8,10.497
2044,5895.696969479045,Nuclear,143.911522,2.8,10.497
2045,5830.900644617714,Nuclear,143.911522,2.8,10.497
2046,5749.086804707758,Nuclear,143.911522,2.8,10.497
2047,5613.379075609481,Nuclear,143.911522,2.8,10.497
2048,5400.590016081064,Nuclear,143.911522,2.8,10.497
2049,5178.644311833668,Nuclear,143.911522,2.8,10.497
2050,4981.325373036497,Nuclear,143.911522,2.8,10.497
2051,4821.895423019597,Nuclear,143.911522,2.8,10.497
2052,4686.119255309996,Nuclear,143.911522,2.8,10.497
2053,4601.87444993292,Nuclear,143.911522,2.8,10.497
2054,4559.0871509512035,Nuclear,143.911522,2.8,10.497
2055,4509.72200584497,Nuclear,143.911522,2.8,10.497
2056,4446.534235070258,Nuclear,143.911522,2.8,10.497
2057,4366.201847683975,Nuclear,143.911522,2.8,10.497
2058,4281.4223612388,Nuclear,143.911522,2.8,10.497
2059,4203.331572850837,Nuclear,143.911522,2.8,10.497
2060,4145.31349902763,Nuclear,143.911522,2.8,10.497
