t,capcost,i,fom,vom,heatrate
2010,15447.006070624258,Nuclear-SMR,134.912177,3.556022,10.455
2011,15447.006070624258,Nuclear-SMR,134.912177,3.556022,10.455
2012,15447.006070624258,Nuclear-SMR,134.912177,3.556022,10.455
2013,15447.006070624258,Nuclear-SMR,134.912177,3.556022,10.455
2014,15447.006070624258,Nuclear-SMR,134.912177,3.556022,10.455
2015,15447.006070624258,Nuclear-SMR,134.912177,3.556022,10.455
2016,15447.006070624258,Nuclear-SMR,134.912177,3.556022,10.455
2017,15447.006070624258,Nuclear-SMR,134.912177,3.556022,10.455
2018,15447.006070624258,Nuclear-SMR,134.912177,3.556022,10.455
2019,15447.006070624258,Nuclear-SMR,134.912177,3.556022,10.455
2020,15447.006070624258,Nuclear-SMR,134.189278,3.512687,10.455
2021,15447.006070624258,Nuclear-SMR,133.564464,3.518996,10.455
2022,15447.006070624258,Nuclear-SMR,224.856,2.9148,9.18
2023,15447.006070624258,Nuclear-SMR,224.856,2.9148,9.18
2024,15447.006070624258,Nuclear-SMR,224.856,2.9148,9.18
2025,15447.006070624258,Nuclear-SMR,224.856,2.9148,9.18
2026,15447.006070624258,Nuclear-SMR,224.856,2.9148,9.18
2027,15447.006070624258,Nuclear-SMR,224.856,2.9148,9.18
2028,15447.006070624258,Nuclear-SMR,224.856,2.9148,9.18
2029,15447.006070624258,Nuclear-SMR,224.856,2.9148,9.18
2030,15447.006070624258,Nuclear-SMR,216.0,2.8,9.18
2031,15447.006070624258,Nuclear-SMR,216.0,2.8,9.18
2032,15447.006070624258,Nuclear-SMR,216.0,2.8,9.18
2033,15437.180293946962,Nuclear-SMR,216.0,2.8,9.18
2034,15447.614921083448,Nuclear-SMR,216.0,2.8,9.18
2035,15288.738358280087,Nuclear-SMR,216.0,2.8,9.18
2036,14947.0192096023,Nuclear-SMR,216.0,2.8,9.18
2037,14495.315882048786,Nuclear-SMR,216.0,2.8,9.18
2038,13910.94763447245,Nuclear-SMR,216.0,2.8,9.18
2039,12668.163976098847,Nuclear-SMR,216.0,2.8,9.18
2040,11157.432773580169,Nuclear-SMR,216.0,2.8,9.18
2041,8066.649641602527,Nuclear-SMR,216.0,2.8,9.18
2042,7212.595916855567,Nuclear-SMR,216.0,2.8,9.18
2043,6999.33586207328,Nuclear-SMR,216.0,2.8,9.18
2044,6918.751404237565,Nuclear-SMR,216.0,2.8,9.18
2045,6853.515011508561,Nuclear-SMR,216.0,2.8,9.18
2046,6816.118206217325,Nuclear-SMR,216.0,2.8,9.18
2047,6715.505522768336,Nuclear-SMR,216.0,2.8,9.18
2048,6586.254787167259,Nuclear-SMR,216.0,2.8,9.18
2049,6395.501487431005,Nuclear-SMR,216.0,2.8,9.18
2050,6228.5827306351675,Nuclear-SMR,216.0,2.8,9.18
2051,6081.2168679744,Nuclear-SMR,216.0,2.8,9.18
2052,5905.922108506498,Nuclear-SMR,216.0,2.8,9.18
2053,5802.278129967981,Nuclear-SMR,216.0,2.8,9.18
2054,5737.660991462909,Nuclear-SMR,216.0,2.8,9.18
2055,5696.31196800979,Nuclear-SMR,216.0,2.8,9.18
2056,5615.006267057123,Nuclear-SMR,216.0,2.8,9.18
2057,5564.412889502562,Nuclear-SMR,216.0,2.8,9.18
2058,5510.637867839979,Nuclear-SMR,216.0,2.8,9.18
2059,5443.568336253101,Nuclear-SMR,216.0,2.8,9.18
2060,5363.216786077514,Nuclear-SMR,216.0,2.8,9.18
