t,capcost,i,fom,vom,heatrate
2010,9050.40548531478,Nuclear,129.284371,1.9,10.497
2011,9050.40548531478,Nuclear,129.284371,1.9,10.497
2012,9050.40548531478,Nuclear,129.284371,1.9,10.497
2013,9050.40548531478,Nuclear,129.284371,1.9,10.497
2014,9050.40548531478,Nuclear,129.284371,1.9,10.497
2015,9050.40548531478,Nuclear,129.284371,1.9,10.497
2016,9050.40548531478,Nuclear,129.284371,1.9,10.497
2017,9050.40548531478,Nuclear,129.284371,1.9,10.497
2018,9050.40548531478,Nuclear,129.284371,1.9,10.497
2019,9050.40548531478,Nuclear,129.284371,1.9,10.497
2020,9050.40548531478,Nuclear,129.284371,1.9,10.497
2021,9050.40548531478,Nuclear,129.284371,1.9,10.497
2022,9050.40548531478,Nuclear,129.284371,1.9,10.497
2023,9050.40548531478,Nuclear,129.284371,1.9,10.497
2024,9050.40548531478,Nuclear,129.284371,1.9,10.497
2025,9050.40548531478,Nuclear,129.284371,1.9,10.497
2026,9050.40548531478,Nuclear,129.284371,1.9,10.497
2027,9050.40548531478,Nuclear,129.284371,1.9,10.497
2028,9050.40548531478,Nuclear,129.284371,1.9,10.497
2029,9050.40548531478,Nuclear,129.284371,1.9,10.497
2030,9050.40548531478,Nuclear,129.284371,1.9,10.497
2031,9050.40548531478,Nuclear,129.284371,1.9,10.497
2032,9050.40548531478,Nuclear,129.284371,1.9,10.497
2033,9093.580941012293,Nuclear,129.284371,1.9,10.497
2034,9610.084774284504,Nuclear,129.284371,1.9,10.497
2035,6404.383329777326,Nuclear,129.284371,1.9,10.497
2036,5028.7825480878255,Nuclear,129.284371,1.9,10.497
2037,4631.443913209336,Nuclear,129.284371,1.9,10.497
2038,4440.821949958448,Nuclear,129.284371,1.9,10.497
2039,4320.372143388773,Nuclear,129.284371,1.9,10.497
2040,4252.464571004714,Nuclear,129.284371,1.9,10.497
2041,4225.88221125655,Nuclear,129.284371,1.9,10.497
2042,4215.76467045596,Nuclear,129.284371,1.9,10.497
2043,4220.333675174111,Nuclear,129.284371,1.9,10.497
2044,4215.147554803773,Nuclear,129.284371,1.9,10.497
2045,4151.921769942048,Nuclear,129.284371,1.9,10.497
2046,4020.883124910565,Nuclear,129.284371,1.9,10.497
2047,3857.43202424585,Nuclear,129.284371,1.9,10.497
2048,3679.468920386528,Nuclear,129.284371,1.9,10.497
2049,3575.608133322281,Nuclear,129.284371,1.9,10.497
2050,3500.442455160899,Nuclear,129.284371,1.9,10.497
2051,3469.2937636932247,Nuclear,129.284371,1.9,10.497
2052,3441.9343126469325,Nuclear,129.284371,1.9,10.497
2053,3415.0457548013287,Nuclear,129.284371,1.9,10.497
2054,3413.355376596606,Nuclear,129.284371,1.9,10.497
2055,3385.7735554776195,Nuclear,129.284371,1.9,10.497
2056,3337.791659336534,Nuclear,129.284371,1.9,10.497
2057,3285.6239718678708,Nuclear,129.284371,1.9,10.497
2058,3219.506788825752,Nuclear,129.284371,1.9,10.497
2059,3182.5238180036754,Nuclear,129.284371,1.9,10.497
2060,3150.8069524334105,Nuclear,129.284371,1.9,10.497
