years,fom,vom,capcost
2010,143.911522,2.8,13987.09115
2011,143.911522,2.8,13987.09115
2012,143.911522,2.8,13987.09115
2013,143.911522,2.8,13987.09115
2014,143.911522,2.8,13987.09115
2015,143.911522,2.8,13987.09115
2016,143.911522,2.8,13987.09115
2017,143.911522,2.8,13987.09115
2018,143.911522,2.8,13987.09115
2019,143.911522,2.8,13987.09115
2020,143.911522,2.8,13987.09115
2021,143.911522,2.8,13987.09115
2022,143.911522,2.8,13987.09115
2023,143.911522,2.8,13987.09115
2024,143.911522,2.8,13987.09115
2025,143.911522,2.8,13987.09115
2026,143.911522,2.8,13987.09115
2027,143.911522,2.8,13987.09115
2028,143.911522,2.8,13987.09115
2029,143.911522,2.8,13987.09115
2030,143.911522,2.8,13987.09115
2031,143.911522,2.8,13987.09115
2032,143.911522,2.8,13987.09115
2033,143.911522,2.8,13998.20008
2034,143.911522,2.8,14159.5945
2035,143.911522,2.8,14639.52284
2036,143.911522,2.8,14156.54189
2037,143.911522,2.8,12863.35303
2038,143.911522,2.8,7251.620358
2039,143.911522,2.8,6281.253141
2040,143.911522,2.8,5980.769375
2041,143.911522,2.8,5798.239215
2042,143.911522,2.8,5716.074224
2043,143.911522,2.8,5690.790895
2044,143.911522,2.8,5684.149728
2045,143.911522,2.8,5647.380622
2046,143.911522,2.8,5610.209665
2047,143.911522,2.8,5496.720445
2048,143.911522,2.8,5249.745976
2049,143.911522,2.8,5033.693102
2050,143.911522,2.8,4803.646287
2051,143.911522,2.8,4667.882385
2052,143.911522,2.8,4618.650838
2053,143.911522,2.8,4545.758784
2054,143.911522,2.8,4497.454271
2055,143.911522,2.8,4457.212456
2056,143.911522,2.8,4348.547325
2057,143.911522,2.8,4288.08589
2058,143.911522,2.8,4176.144682
2059,143.911522,2.8,4106.98535
2060,143.911522,2.8,4056.713164
