years,fom,vom,capcost,heatrate
2010,220.4586573,16.06466591,20524.74909,10.455
2011,220.4586573,16.06466591,20524.74909,10.455
2012,220.4586573,16.06466591,20524.74909,10.455
2013,220.4586573,16.06466591,20524.74909,10.455
2014,220.4586573,16.06466591,20524.74909,10.455
2015,220.4586573,16.06466591,20524.74909,10.455
2016,220.4586573,16.06466591,20524.74909,10.455
2017,220.4586573,16.06466591,20524.74909,10.455
2018,220.4586573,16.06466591,20524.74909,10.455
2019,220.4586573,16.06466591,20524.74909,10.455
2020,220.4586573,16.06466591,20524.74909,10.455
2021,220.4586573,16.06466591,20524.74909,10.455
2022,220.4586573,16.06466591,20524.74909,9.18
2023,220.4586573,16.06466591,20524.74909,9.18
2024,220.4586573,16.06466591,20524.74909,9.18
2025,220.4586573,16.06466591,20524.74909,9.18
2026,220.4586573,16.06466591,20524.74909,9.18
2027,220.4586573,16.06466591,20524.74909,9.18
2028,220.4586573,16.06466591,20524.74909,9.18
2029,220.4586573,16.06466591,20524.74909,9.18
2030,220.4586573,16.06466591,20524.74909,9.18
2031,221.1432625,16.52069859,20524.74909,9.18
2032,221.1432625,16.52069859,20524.74909,9.18
2033,221.1432625,16.52069859,20524.74909,9.18
2034,221.1432625,16.52069859,7713.71007,9.18
2035,221.1432625,15.99704246,7713.71007,9.18
2036,221.1432625,15.99704246,7713.71007,9.18
2037,221.1012939,16.25503902,7713.71007,9.18
2038,221.1012939,16.25503902,6266.621015,9.18
2039,221.1012939,16.25503902,6266.621015,9.18
2040,214.521143,16.25503902,5946.029794,9.18
2041,214.521143,16.43825639,5946.029794,9.18
2042,217.7365706,16.43825639,5946.029794,9.18
2043,222.2200584,16.43825639,5340.287397,9.18
2044,222.2200584,15.96166185,5783.410766,9.18
2045,222.2200584,15.71799598,5783.410766,9.18
2046,222.2200584,16.23655501,5783.410766,9.18
2047,218.213098,16.23655501,5783.410766,9.18
2048,218.213098,16.23655501,5330.746509,9.18
2049,218.213098,16.23655501,5330.746509,9.18
2050,221.4110812,16.01097675,5172.819798,9.18
2051,221.4110812,16.24643473,5172.819798,9.18
2052,221.4110812,16.24643473,5172.819798,9.18
2053,221.4110812,16.32786326,5172.819798,9.18
2054,221.4110812,16.32786326,5172.819798,9.18
2055,221.4110812,16.32786326,5172.819798,9.18
2056,221.4110812,16.32786326,5172.819798,9.18
2057,221.4110812,16.32786326,5172.819798,9.18
2058,221.4110812,16.32786326,5172.819798,9.18
2059,221.4110812,16.32786326,5172.819798,9.18
2060,221.4110812,16.32786326,5172.819798,9.18
