i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7937.174972,134.912177,3.556022,10.455
Nuclear-SMR,2011,7937.174972,134.912177,3.556022,10.455
Nuclear-SMR,2012,7937.174972,134.912177,3.556022,10.455
Nuclear-SMR,2013,7937.174972,134.912177,3.556022,10.455
Nuclear-SMR,2014,7937.174972,134.912177,3.556022,10.455
Nuclear-SMR,2015,7937.174972,134.912177,3.556022,10.455
Nuclear-SMR,2016,7937.174972,134.912177,3.556022,10.455
Nuclear-SMR,2017,7937.174972,134.912177,3.556022,10.455
Nuclear-SMR,2018,7937.174972,134.912177,3.556022,10.455
Nuclear-SMR,2019,7937.174972,134.912177,3.556022,10.455
Nuclear-SMR,2020,8015.362173,134.189278,3.512687,10.455
Nuclear-SMR,2021,9013.38307,133.564464,3.518996,10.455
Nuclear-SMR,2022,8327.999994,141.576,2.7066,9.18
Nuclear-SMR,2023,8327.999994,141.576,2.7066,9.18
Nuclear-SMR,2024,8327.999994,141.576,2.7066,9.18
Nuclear-SMR,2025,8327.999994,141.576,2.7066,9.18
Nuclear-SMR,2026,8327.999994,141.576,2.7066,9.18
Nuclear-SMR,2027,8327.999994,141.576,2.7066,9.18
Nuclear-SMR,2028,8327.999994,141.576,2.7066,9.18
Nuclear-SMR,2029,8327.999994,141.576,2.7066,9.18
Nuclear-SMR,2030,7750.0,136.0,2.6,9.18
Nuclear-SMR,2031,7450.0,136.0,2.6,9.18
Nuclear-SMR,2032,7150.0,136.0,2.6,9.18
Nuclear-SMR,2033,6850.0,136.0,2.6,9.18
Nuclear-SMR,2034,6550.0,136.0,2.6,9.18
Nuclear-SMR,2035,6250.0,136.0,2.6,9.18
Nuclear-SMR,2036,6000.0,136.0,2.6,9.18
Nuclear-SMR,2037,5750.0,136.0,2.6,9.18
Nuclear-SMR,2038,5500.0,136.0,2.6,9.18
Nuclear-SMR,2039,5250.0,136.0,2.6,9.18
Nuclear-SMR,2040,5000.0,136.0,2.6,9.18
Nuclear-SMR,2041,4900.0,136.0,2.6,9.18
Nuclear-SMR,2042,4800.0,136.0,2.6,9.18
Nuclear-SMR,2043,4700.0,136.0,2.6,9.18
Nuclear-SMR,2044,4600.0,136.0,2.6,9.18
Nuclear-SMR,2045,4500.0,136.0,2.6,9.18
Nuclear-SMR,2046,4400.0,136.0,2.6,9.18
Nuclear-SMR,2047,4300.0,136.0,2.6,9.18
Nuclear-SMR,2048,4200.0,136.0,2.6,9.18
Nuclear-SMR,2049,4100.0,136.0,2.6,9.18
Nuclear-SMR,2050,4000.0,136.0,2.6,9.18
Nuclear-SMR,2051,4000.0,136.0,2.6,9.18
Nuclear-SMR,2052,4000.0,136.0,2.6,9.18
Nuclear-SMR,2053,4000.0,136.0,2.6,9.18
Nuclear-SMR,2054,4000.0,136.0,2.6,9.18
Nuclear-SMR,2055,4000.0,136.0,2.6,9.18
Nuclear-SMR,2056,4000.0,136.0,2.6,9.18
Nuclear-SMR,2057,4000.0,136.0,2.6,9.18
Nuclear-SMR,2058,4000.0,136.0,2.6,9.18
Nuclear-SMR,2059,4000.0,136.0,2.6,9.18
Nuclear-SMR,2060,4000.0,136.0,2.6,9.18
