t,capcost,i,fom,vom,heatrate
2010,14505.881488950938,Nuclear,129.284371,1.9,10.497
2011,14504.821069377573,Nuclear,129.284371,1.9,10.497
2012,14504.351611039549,Nuclear,129.284371,1.9,10.497
2013,14505.187863800575,Nuclear,129.284371,1.9,10.497
2014,14504.425010475568,Nuclear,129.284371,1.9,10.497
2015,14502.936014575218,Nuclear,129.284371,1.9,10.497
2016,14504.495662339014,Nuclear,129.284371,1.9,10.497
2017,14503.316999178598,Nuclear,129.284371,1.9,10.497
2018,14503.685071150634,Nuclear,129.284371,1.9,10.497
2019,14503.907561068085,Nuclear,129.284371,1.9,10.497
2020,14504.887381415874,Nuclear,129.284371,1.9,10.497
2021,14500.676044717768,Nuclear,129.284371,1.9,10.497
2022,14501.677735451338,Nuclear,129.284371,1.9,10.497
2023,14505.93774256921,Nuclear,129.284371,1.9,10.497
2024,14503.51207714508,Nuclear,129.284371,1.9,10.497
2025,14504.508286614875,Nuclear,129.284371,1.9,10.497
2026,14505.078816415102,Nuclear,129.284371,1.9,10.497
2027,14503.413201544901,Nuclear,129.284371,1.9,10.497
2028,14505.507232838798,Nuclear,129.284371,1.9,10.497
2029,14504.471934843996,Nuclear,129.284371,1.9,10.497
2030,14505.67164633693,Nuclear,129.284371,1.9,10.497
2031,14502.252228827912,Nuclear,129.284371,1.9,10.497
2032,14502.835326082313,Nuclear,129.284371,1.9,10.497
2033,14523.15441385526,Nuclear,129.284371,1.9,10.497
2034,14831.634638350595,Nuclear,129.284371,1.9,10.497
2035,14801.359646238609,Nuclear,129.284371,1.9,10.497
2036,13692.391661852495,Nuclear,129.284371,1.9,10.497
2037,12241.001761071924,Nuclear,129.284371,1.9,10.497
2038,10794.832778466814,Nuclear,129.284371,1.9,10.497
2039,9123.03473481163,Nuclear,129.284371,1.9,10.497
2040,7685.475167475305,Nuclear,129.284371,1.9,10.497
2041,6725.205287590862,Nuclear,129.284371,1.9,10.497
2042,6205.995718425156,Nuclear,129.284371,1.9,10.497
2043,5977.025486660679,Nuclear,129.284371,1.9,10.497
2044,5859.579502335477,Nuclear,129.284371,1.9,10.497
2045,5801.431543751493,Nuclear,129.284371,1.9,10.497
2046,5719.364320365608,Nuclear,129.284371,1.9,10.497
2047,5583.246168429996,Nuclear,129.284371,1.9,10.497
2048,5368.448138008608,Nuclear,129.284371,1.9,10.497
2049,5148.1256520205625,Nuclear,129.284371,1.9,10.497
2050,4953.524807526945,Nuclear,129.284371,1.9,10.497
2051,4796.820902344496,Nuclear,129.284371,1.9,10.497
2052,4664.124253377075,Nuclear,129.284371,1.9,10.497
2053,4581.750932940428,Nuclear,129.284371,1.9,10.497
2054,4540.863263909285,Nuclear,129.284371,1.9,10.497
2055,4491.4621271549695,Nuclear,129.284371,1.9,10.497
2056,4428.106982917147,Nuclear,129.284371,1.9,10.497
2057,4348.353276867251,Nuclear,129.284371,1.9,10.497
2058,4264.087049802083,Nuclear,129.284371,1.9,10.497
2059,4186.547830416647,Nuclear,129.284371,1.9,10.497
2060,4129.5277834290655,Nuclear,129.284371,1.9,10.497
