years,fom,vom,capcost,heatrate
2010,185.9946128,12.52911418,10478.84254,10.455
2011,185.9946128,12.52911418,10478.84254,10.455
2012,185.9946128,12.52911418,10478.84254,10.455
2013,185.9946128,12.52911418,10478.84254,10.455
2014,185.9946128,12.52911418,10478.84254,10.455
2015,185.9946128,12.52911418,10478.84254,10.455
2016,185.9946128,12.52911418,10478.84254,10.455
2017,185.9946128,12.52911418,10478.84254,10.455
2018,185.9946128,12.52911418,10478.84254,10.455
2019,185.9946128,12.52911418,10478.84254,10.455
2020,185.9946128,12.52911418,10478.84254,10.455
2021,185.9946128,12.52911418,10478.84254,10.455
2022,185.9946128,12.52911418,10478.84254,9.18
2023,185.9946128,12.52911418,10478.84254,9.18
2024,185.9946128,12.52911418,10478.84254,9.18
2025,185.9946128,12.52911418,10478.84254,9.18
2026,185.9946128,12.52911418,10478.84254,9.18
2027,185.9946128,12.52911418,10478.84254,9.18
2028,186.2630444,12.54323142,10971.85538,9.18
2029,186.2630444,12.67353756,11104.14452,9.18
2030,182.9690839,12.61911101,10227.69748,9.18
2031,181.2184095,12.72805239,5802.412633,9.18
2032,183.8862254,12.60881954,5250.059183,9.18
2033,182.6780913,12.66025417,5235.956058,9.18
2034,182.9191623,12.63034583,5197.049931,9.18
2035,186.3866059,12.63034583,5320.888292,9.18
2036,185.7848033,12.53228577,4927.60378,9.18
2037,184.9685033,12.83308335,4682.650081,9.18
2038,184.5512489,12.77022033,4505.693059,9.18
2039,184.4621121,12.65014722,4423.661624,9.18
2040,181.5760478,12.5203966,4390.185048,9.18
2041,182.3208088,12.83155204,4247.099315,9.18
2042,181.6776053,12.95842447,4219.820025,9.18
2043,183.9805216,13.11505196,4141.934824,9.18
2044,183.9884759,13.30370029,4100.845992,9.18
2045,188.0106098,13.07419301,3927.920406,9.18
2046,185.0853013,13.16416354,3980.449204,9.18
2047,184.4093023,13.20146555,3954.517155,9.18
2048,182.5361958,13.25099705,4016.771324,9.18
2049,182.07476,13.01975312,3887.266296,9.18
2050,181.3959567,13.01910158,3835.945432,9.18
2051,181.3959567,13.17170485,3792.7762,9.18
2052,180.8084816,13.17758317,3761.808198,9.18
2053,181.2440283,13.10380736,3798.381958,9.18
2054,181.2440283,13.03077065,3798.381958,9.18
2055,180.9522049,13.03077065,3807.377454,9.18
2056,180.9522049,13.03077065,3807.377454,9.18
2057,180.9522049,13.03077065,3807.377454,9.18
2058,180.9522049,13.03077065,3807.377454,9.18
2059,180.9522049,13.03077065,3807.377454,9.18
2060,180.9522049,13.03077065,3807.377454,9.18
