t,capcost,i,fom,vom,heatrate
2010.0,5979.53970255259,Nuclear,129.284371,1.9,10.497
2011.0,5979.53970255259,Nuclear,129.284371,1.9,10.497
2012.0,5979.53970255259,Nuclear,129.284371,1.9,10.497
2013.0,5979.53970255259,Nuclear,129.284371,1.9,10.497
2014.0,5979.53970255259,Nuclear,129.284371,1.9,10.497
2015.0,5979.53970255259,Nuclear,129.284371,1.9,10.497
2016.0,5979.53970255259,Nuclear,129.284371,1.9,10.497
2017.0,5979.53970255259,Nuclear,129.284371,1.9,10.497
2018.0,5979.53970255259,Nuclear,129.284371,1.9,10.497
2019.0,5979.53970255259,Nuclear,129.284371,1.9,10.497
2020.0,5979.53970255259,Nuclear,129.284371,1.9,10.497
2021.0,5979.53970255259,Nuclear,129.284371,1.9,10.497
2022.0,5979.53970255259,Nuclear,129.284371,1.9,10.497
2023.0,5979.53970255259,Nuclear,129.284371,1.9,10.497
2024.0,5979.53970255259,Nuclear,129.284371,1.9,10.497
2025.0,5979.53970255259,Nuclear,129.284371,1.9,10.497
2026.0,5979.53970255259,Nuclear,129.284371,1.9,10.497
2027.0,5979.53970255259,Nuclear,129.284371,1.9,10.497
2028.0,5979.53970255259,Nuclear,129.284371,1.9,10.497
2029.0,5979.53970255259,Nuclear,129.284371,1.9,10.497
2030.0,5979.53970255259,Nuclear,129.284371,1.9,10.497
2031.0,5979.53970255259,Nuclear,129.284371,1.9,10.497
2032.0,5979.53970255259,Nuclear,129.284371,1.9,10.497
2033.0,6151.273830592311,Nuclear,129.284371,1.9,10.497
2034.0,5074.393433062615,Nuclear,129.284371,1.9,10.497
2035.0,3554.755821538984,Nuclear,129.284371,1.9,10.497
2036.0,3414.521221488729,Nuclear,129.284371,1.9,10.497
2037.0,3414.521221488729,Nuclear,129.284371,1.9,10.497
2038.0,3414.521221488729,Nuclear,129.284371,1.9,10.497
2039.0,3414.521221488729,Nuclear,129.284371,1.9,10.497
2040.0,3167.094493987083,Nuclear,129.284371,1.9,10.497
2041.0,3167.094493987083,Nuclear,129.284371,1.9,10.497
2042.0,3167.094493987083,Nuclear,129.284371,1.9,10.497
2043.0,3167.094493987083,Nuclear,129.284371,1.9,10.497
2044.0,3167.094493987083,Nuclear,129.284371,1.9,10.497
2045.0,2725.625464209326,Nuclear,129.284371,1.9,10.497
2046.0,2725.625464209326,Nuclear,129.284371,1.9,10.497
2047.0,2725.625464209326,Nuclear,129.284371,1.9,10.497
2048.0,2670.320320652464,Nuclear,129.284371,1.9,10.497
2049.0,2670.320320652464,Nuclear,129.284371,1.9,10.497
2050.0,2670.320320652464,Nuclear,129.284371,1.9,10.497
2051.0,2670.320320652464,Nuclear,129.284371,1.9,10.497
2052.0,2670.320320652464,Nuclear,129.284371,1.9,10.497
2053.0,2627.769926362174,Nuclear,129.284371,1.9,10.497
2054.0,2627.769926362174,Nuclear,129.284371,1.9,10.497
2055.0,2612.283612885785,Nuclear,129.284371,1.9,10.497
2056.0,2563.632743486333,Nuclear,129.284371,1.9,10.497
2057.0,2500.724384779201,Nuclear,129.284371,1.9,10.497
2058.0,2500.724384779201,Nuclear,129.284371,1.9,10.497
2059.0,2492.683994804728,Nuclear,129.284371,1.9,10.497
2060.0,2492.683994804728,Nuclear,129.284371,1.9,10.497
