	Factor 1	Factor 2	Index 1	Index 2	Result
0	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	9	0	16.144582070011538
1	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	10	0	17.71307066968211
2	TCS @ MG Si Scrap Rate	Siemens CVD @ Hydrogen Scrap Rate	8	9	7.040253527561567
3	TCS @ MG Si Scrap Rate	Siemens CVD @ Installation Cost Factor	7	0	7.265653516301858
4	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	1	0	29.451444819894682
5	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	2	0	27.168231870122675
6	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	3	0	24.283475337897602
7	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	4	0	20.73383994508577
8	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	9	7.3917870844305655
9	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	9	0	16.144582070011538
10	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	10	0	17.71307066968211
11	TCS @ MG Si Scrap Rate	Siemens CVD @ Installation Cost Factor	7	6	5.381457049952488
12	TCS @ MG Si Scrap Rate	TCS @ MG Si Usage Factor	6	4	6.823742102009
13	Siemens CVD @ Hydrogen Scrap Rate	Etch Filaments @ Fraction Virgin Filament	3	6	12.277360332046616
14	Siemens CVD @ Hydrogen Scrap Rate	Etch Filaments @ Fraction Virgin Filament	4	6	14.140178227089454
15	Siemens CVD @ Hydrogen Scrap Rate	Etch Filaments @ Fraction Virgin Filament	5	6	19.752309984816016
16	Siemens CVD @ Hydrogen Scrap Rate	Etch Filaments @ Fraction Virgin Filament	10	6	5.118767577302955
17	Siemens CVD @ Hydrogen Scrap Rate	TCS @ MG Si Scrap Rate	8	0	23.030144642903746
18	Siemens CVD @ Hydrogen Scrap Rate	TCS @ MG Si Scrap Rate	9	0	24.95977614321943
19	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	1	0	29.207446213264515
20	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	2	0	27.56644295181183
21	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	3	0	26.26294772796534
