Technology	Scenario	Parameter	Offset	Value	Units	Notes
Residential PV	2015 Actual	Discount Rate	0	0.07	1/year	DR
Residential PV	2015 Actual	Insolation	1	1000	W/m^2	INS
Residential PV	2015 Actual	System Size	2	36	m^2	SSZ
Residential PV	2015 Actual	Module Capital	3	st.triang(0.5, loc=110, scale=0.11)	$/m^2	MCC
Residential PV	2015 Actual	Module Lifetime	4	st.triang(0.5, loc=25, scale=0.0025)	yr	MLT
Residential PV	2015 Actual	Module Efficiency	5	st.triang(0.5, loc=0.16, scale=1.6e-5)	1	MEF
Residential PV	2015 Actual	Module Aperture	6	st.triang(0.5, loc=0.9, scale=9e-5)	1	MAP
Residential PV	2015 Actual	Module O&M Fixed	7	st.triang(0.5, loc=20, scale=0.002)	$/kWyr	MOM
Residential PV	2015 Actual	Module Degradation	8	st.triang(0.5, loc=0.0075, scale=7.5e-7)	1/yr	MDR
Residential PV	2015 Actual	Location Capacity Factor	9	st.triang(0.5, loc=0.2, scale=2e-5)	1	MCF
Residential PV	2015 Actual	Module Soiling Loss	10	st.triang(0.5, loc=0.05, scale=5e-6)	1	MSL
Residential PV	2015 Actual	Inverter Capital	11	st.triang(0.5, loc=0.3, scale=3e-5)	$/W	ICC
Residential PV	2015 Actual	Inverter Lifetime	12	st.triang(0.5, loc=16, scale=0.0016)	yr	ILT
Residential PV	2015 Actual	Inverter Replacement	13	st.triang(0.5, loc=0.5, scale=5e-5)	1	IRC
Residential PV	2015 Actual	Inverter Efficiency	14	st.triang(0.5, loc=0.9, scale=9e-5)	1	IEF
Residential PV	2015 Actual	DC-to-AC Ratio	15	st.triang(0.5, loc=1.4, scale=0.00014)	1	IDC
Residential PV	2015 Actual	Hardware Capital	16	st.triang(0.5, loc=80, scale=0.008)	$/m^2	BCC
Residential PV	2015 Actual	Direct Labor	17	st.triang(0.5, loc=2000, scale=0.2)	$/system	BLR
Residential PV	2015 Actual	Permitting	18	st.triang(0.5, loc=600, scale=0.06)	$/system	BPR
Residential PV	2015 Actual	Customer Acquisition	19	st.triang(0.5, loc=2000, scale=0.2)	$/system	BCA
Residential PV	2015 Actual	Installer Overhead & Profit	20	st.triang(0.5, loc=0.35, scale=3.5e-5)	1	BOH
Residential PV	Module Moderate Progress	Discount Rate	0	0.07	1/year	DR
Residential PV	Module Moderate Progress	Insolation	1	1000	W/m^2	INS
Residential PV	Module Moderate Progress	System Size	2	36	m^2	SSZ
Residential PV	Module Moderate Progress	Module Capital	3	st.triang(0.5, loc=80, scale=5)	$/m^2	MCC
Residential PV	Module Moderate Progress	Module Lifetime	4	st.triang(0.5, loc=30, scale=2)	yr	MLT
Residential PV	Module Moderate Progress	Module Efficiency	5	st.triang(0.5, loc=0.18, scale=0.02)	1	MEF
Residential PV	Module Moderate Progress	Module Aperture	6	st.triang(0.5, loc=0.92, scale=0.01)	1	MAP
Residential PV	Module Moderate Progress	Module O&M Fixed	7	st.triang(0.5, loc=17, scale=1)	$/kWyr	MOM
Residential PV	Module Moderate Progress	Module Degradation	8	st.triang(0.5, loc=0.006, scale=0.0005)	1/yr	MDR
Residential PV	Module Moderate Progress	Location Capacity Factor	9	st.triang(0.5, loc=0.2, scale=0.0001)	1	MCF
Residential PV	Module Moderate Progress	Module Soiling Loss	10	st.triang(0.5, loc=0.05, scale=10E-06)	1	MSL
Residential PV	Module Moderate Progress	Inverter Capital	11	st.triang(0.5, loc=0.3, scale=3e-5)	$/W	ICC
Residential PV	Module Moderate Progress	Inverter Lifetime	12	st.triang(0.5, loc=16, scale=0.0016)	yr	ILT
Residential PV	Module Moderate Progress	Inverter Replacement	13	st.triang(0.5, loc=0.5, scale=5e-5)	1	IRC
Residential PV	Module Moderate Progress	Inverter Efficiency	14	st.triang(0.5, loc=0.9, scale=9e-5)	1	IEF
Residential PV	Module Moderate Progress	DC-to-AC Ratio	15	st.triang(0.5, loc=1.4, scale=0.00014)	1	IDC
Residential PV	Module Moderate Progress	Hardware Capital	16	st.triang(0.5, loc=80, scale=0.008)	$/m^2	BCC
Residential PV	Module Moderate Progress	Direct Labor	17	st.triang(0.5, loc=2000, scale=0.2)	$/system	BLR
Residential PV	Module Moderate Progress	Permitting	18	st.triang(0.5, loc=600, scale=0.06)	$/system	BPR
Residential PV	Module Moderate Progress	Customer Acquisition	19	st.triang(0.5, loc=2000, scale=0.2)	$/system	BCA
Residential PV	Module Moderate Progress	Installer Overhead & Profit	20	st.triang(0.5, loc=0.35, scale=3.5e-5)	1	BOH
Residential PV	Inverter Moderate Progress	Discount Rate	0	0.07	1/year	DR
Residential PV	Inverter Moderate Progress	Insolation	1	1000	W/m^2	INS
Residential PV	Inverter Moderate Progress	System Size	2	36	m^2	SSZ
Residential PV	Inverter Moderate Progress	Module Capital	3	st.triang(0.5, loc=110, scale=0.11)	$/m^2	MCC
Residential PV	Inverter Moderate Progress	Module Lifetime	4	st.triang(0.5, loc=25, scale=0.0025)	yr	MLT
Residential PV	Inverter Moderate Progress	Module Efficiency	5	st.triang(0.5, loc=0.16, scale=1.6e-5)	1	MEF
Residential PV	Inverter Moderate Progress	Module Aperture	6	st.triang(0.5, loc=0.9, scale=9e-5)	1	MAP
Residential PV	Inverter Moderate Progress	Module O&M Fixed	7	st.triang(0.5, loc=20, scale=0.002)	$/kWyr	MOM
Residential PV	Inverter Moderate Progress	Module Degradation	8	st.triang(0.5, loc=0.0075, scale=7.5e-7)	1/yr	MDR
Residential PV	Inverter Moderate Progress	Location Capacity Factor	9	st.triang(0.5, loc=0.2, scale=2e-5)	1	MCF
Residential PV	Inverter Moderate Progress	Module Soiling Loss	10	st.triang(0.5, loc=0.05, scale=5e-6)	1	MSL
Residential PV	Inverter Moderate Progress	Inverter Capital	11	st.triang(0.5, loc=0.2, scale=0.04)	$/W	ICC
Residential PV	Inverter Moderate Progress	Inverter Lifetime	12	st.triang(0.5, loc=20, scale=2)	yr	ILT
Residential PV	Inverter Moderate Progress	Inverter Replacement	13	st.triang(0.5, loc=0.3, scale=0.1)	1	IRC
Residential PV	Inverter Moderate Progress	Inverter Efficiency	14	st.triang(0.5, loc=0.92, scale=0.01)	1	IEF
Residential PV	Inverter Moderate Progress	DC-to-AC Ratio	15	st.triang(0.5, loc=1.4, scale=10E-05)	1	IDC
Residential PV	Inverter Moderate Progress	Hardware Capital	16	st.triang(0.5, loc=80, scale=0.008)	$/m^2	BCC
Residential PV	Inverter Moderate Progress	Direct Labor	17	st.triang(0.5, loc=2000, scale=0.2)	$/system	BLR
Residential PV	Inverter Moderate Progress	Permitting	18	st.triang(0.5, loc=600, scale=0.06)	$/system	BPR
Residential PV	Inverter Moderate Progress	Customer Acquisition	19	st.triang(0.5, loc=2000, scale=0.2)	$/system	BCA
Residential PV	Inverter Moderate Progress	Installer Overhead & Profit	20	st.triang(0.5, loc=0.35, scale=3.5e-5)	1	BOH
Residential PV	BoS Moderate Progress	Discount Rate	0	0.07	1/year	DR
Residential PV	BoS Moderate Progress	Insolation	1	1000	W/m^2	INS
Residential PV	BoS Moderate Progress	System Size	2	36	m^2	SSZ
Residential PV	BoS Moderate Progress	Module Capital	3	st.triang(0.5, loc=110, scale=0.11)	$/m^2	MCC
Residential PV	BoS Moderate Progress	Module Lifetime	4	st.triang(0.5, loc=25, scale=0.0025)	yr	MLT
Residential PV	BoS Moderate Progress	Module Efficiency	5	st.triang(0.5, loc=0.16, scale=1.6e-5)	1	MEF
Residential PV	BoS Moderate Progress	Module Aperture	6	st.triang(0.5, loc=0.9, scale=9e-5)	1	MAP
Residential PV	BoS Moderate Progress	Module O&M Fixed	7	st.triang(0.5, loc=20, scale=0.002)	$/kWyr	MOM
Residential PV	BoS Moderate Progress	Module Degradation	8	st.triang(0.5, loc=0.0075, scale=7.5e-7)	1/yr	MDR
Residential PV	BoS Moderate Progress	Location Capacity Factor	9	st.triang(0.5, loc=0.2, scale=2e-5)	1	MCF
Residential PV	BoS Moderate Progress	Module Soiling Loss	10	st.triang(0.5, loc=0.05, scale=5e-6)	1	MSL
Residential PV	BoS Moderate Progress	Inverter Capital	11	st.triang(0.5, loc=0.3, scale=3e-5)	$/W	ICC
Residential PV	BoS Moderate Progress	Inverter Lifetime	12	st.triang(0.5, loc=16, scale=0.0016)	yr	ILT
Residential PV	BoS Moderate Progress	Inverter Replacement	13	st.triang(0.5, loc=0.5, scale=5e-5)	1	IRC
Residential PV	BoS Moderate Progress	Inverter Efficiency	14	st.triang(0.5, loc=0.9, scale=9e-5)	1	IEF
Residential PV	BoS Moderate Progress	DC-to-AC Ratio	15	st.triang(0.5, loc=1.4, scale=0.00014)	1	IDC
Residential PV	BoS Moderate Progress	Hardware Capital	16	st.triang(0.5, loc=71, scale=2)	$/m^2	BCC
Residential PV	BoS Moderate Progress	Direct Labor	17	st.triang(0.67, loc=1600, scale=100)	$/system	BLR
Residential PV	BoS Moderate Progress	Permitting	18	st.triang(0.5, loc=530, scale=10)	$/system	BPR
Residential PV	BoS Moderate Progress	Customer Acquisition	19	st.triang(0.5, loc=1700, scale=100)	$/system	BCA
Residential PV	BoS Moderate Progress	Installer Overhead & Profit	20	st.triang(0.5, loc=0.31, scale=0.02)	1	BOH
Residential PV	Module Slow Progress	Discount Rate	0	0.07	1/year	DR
Residential PV	Module Slow Progress	Insolation	1	1000	W/m^2	INS
Residential PV	Module Slow Progress	System Size	2	36	m^2	SSZ
Residential PV	Module Slow Progress	Module Capital	3	st.triang(0.4, loc=100, scale=6)	$/m^2	MCC
Residential PV	Module Slow Progress	Module Lifetime	4	st.triang(0.5, loc=26, scale=1)	yr	MLT
Residential PV	Module Slow Progress	Module Efficiency	5	st.triang(0.5, loc=0.17, scale=0.01)	1	MEF
Residential PV	Module Slow Progress	Module Aperture	6	st.triang(0.5, loc=0.91, scale=0.005)	1	MAP
Residential PV	Module Slow Progress	Module O&M Fixed	7	st.triang(0.5, loc=19, scale=0.5)	$/kWyr	MOM
Residential PV	Module Slow Progress	Module Degradation	8	st.triang(0.6, loc=0.007, scale=0.0002)	1/yr	MDR
Residential PV	Module Slow Progress	Location Capacity Factor	9	st.triang(0.5, loc=0.2, scale=0.0001)	1	MCF
Residential PV	Module Slow Progress	Module Soiling Loss	10	st.triang(0.5, loc=0.05, scale=10E-06)	1	MSL
Residential PV	Module Slow Progress	Inverter Capital	11	st.triang(0.5, loc=0.3, scale=3e-5)	$/W	ICC
Residential PV	Module Slow Progress	Inverter Lifetime	12	st.triang(0.5, loc=16, scale=0.0016)	yr	ILT
Residential PV	Module Slow Progress	Inverter Replacement	13	st.triang(0.5, loc=0.5, scale=5e-5)	1	IRC
Residential PV	Module Slow Progress	Inverter Efficiency	14	st.triang(0.5, loc=0.9, scale=9e-5)	1	IEF
Residential PV	Module Slow Progress	DC-to-AC Ratio	15	st.triang(0.5, loc=1.4, scale=0.00014)	1	IDC
Residential PV	Module Slow Progress	Hardware Capital	16	st.triang(0.5, loc=80, scale=0.008)	$/m^2	BCC
Residential PV	Module Slow Progress	Direct Labor	17	st.triang(0.5, loc=2000, scale=0.2)	$/system	BLR
Residential PV	Module Slow Progress	Permitting	18	st.triang(0.5, loc=600, scale=0.06)	$/system	BPR
Residential PV	Module Slow Progress	Customer Acquisition	19	st.triang(0.5, loc=2000, scale=0.2)	$/system	BCA
Residential PV	Module Slow Progress	Installer Overhead & Profit	20	st.triang(0.5, loc=0.35, scale=3.5e-5)	1	BOH
Residential PV	Inverter Slow Progress	Discount Rate	0	0.07	1/year	DR
Residential PV	Inverter Slow Progress	Insolation	1	1000	W/m^2	INS
Residential PV	Inverter Slow Progress	System Size	2	36	m^2	SSZ
Residential PV	Inverter Slow Progress	Module Capital	3	st.triang(0.5, loc=110, scale=0.11)	$/m^2	MCC
Residential PV	Inverter Slow Progress	Module Lifetime	4	st.triang(0.5, loc=25, scale=0.0025)	yr	MLT
Residential PV	Inverter Slow Progress	Module Efficiency	5	st.triang(0.5, loc=0.16, scale=1.6e-5)	1	MEF
Residential PV	Inverter Slow Progress	Module Aperture	6	st.triang(0.5, loc=0.9, scale=9e-5)	1	MAP
Residential PV	Inverter Slow Progress	Module O&M Fixed	7	st.triang(0.5, loc=20, scale=0.002)	$/kWyr	MOM
Residential PV	Inverter Slow Progress	Module Degradation	8	st.triang(0.5, loc=0.0075, scale=7.5e-7)	1/yr	MDR
Residential PV	Inverter Slow Progress	Location Capacity Factor	9	st.triang(0.5, loc=0.2, scale=2e-5)	1	MCF
Residential PV	Inverter Slow Progress	Module Soiling Loss	10	st.triang(0.5, loc=0.05, scale=5e-6)	1	MSL
Residential PV	Inverter Slow Progress	Inverter Capital	11	st.triang(0.5, loc=0.27, scale=0.01)	$/W	ICC
Residential PV	Inverter Slow Progress	Inverter Lifetime	12	st.triang(0.5, loc=16.5, scale=0.5)	yr	ILT
Residential PV	Inverter Slow Progress	Inverter Replacement	13	st.triang(0.5, loc=0.4, scale=0.05)	1	IRC
Residential PV	Inverter Slow Progress	Inverter Efficiency	14	st.triang(0.5, loc=0.92, scale=0.01)	1	IEF
Residential PV	Inverter Slow Progress	DC-to-AC Ratio	15	st.triang(0.5, loc=1.4, scale=10E-05)	1	IDC
Residential PV	Inverter Slow Progress	Hardware Capital	16	st.triang(0.5, loc=80, scale=0.008)	$/m^2	BCC
Residential PV	Inverter Slow Progress	Direct Labor	17	st.triang(0.5, loc=2000, scale=0.2)	$/system	BLR
Residential PV	Inverter Slow Progress	Permitting	18	st.triang(0.5, loc=600, scale=0.06)	$/system	BPR
Residential PV	Inverter Slow Progress	Customer Acquisition	19	st.triang(0.5, loc=2000, scale=0.2)	$/system	BCA
Residential PV	Inverter Slow Progress	Installer Overhead & Profit	20	st.triang(0.5, loc=0.35, scale=3.5e-5)	1	BOH
Residential PV	BoS Slow Progress	Discount Rate	0	0.07	1/year	DR
Residential PV	BoS Slow Progress	Insolation	1	1000	W/m^2	INS
Residential PV	BoS Slow Progress	System Size	2	36	m^2	SSZ
Residential PV	BoS Slow Progress	Module Capital	3	st.triang(0.5, loc=110, scale=0.11)	$/m^2	MCC
Residential PV	BoS Slow Progress	Module Lifetime	4	st.triang(0.5, loc=25, scale=0.0025)	yr	MLT
Residential PV	BoS Slow Progress	Module Efficiency	5	st.triang(0.5, loc=0.16, scale=1.6e-5)	1	MEF
Residential PV	BoS Slow Progress	Module Aperture	6	st.triang(0.5, loc=0.9, scale=9e-5)	1	MAP
Residential PV	BoS Slow Progress	Module O&M Fixed	7	st.triang(0.5, loc=20, scale=0.002)	$/kWyr	MOM
Residential PV	BoS Slow Progress	Module Degradation	8	st.triang(0.5, loc=0.0075, scale=7.5e-7)	1/yr	MDR
Residential PV	BoS Slow Progress	Location Capacity Factor	9	st.triang(0.5, loc=0.2, scale=2e-5)	1	MCF
Residential PV	BoS Slow Progress	Module Soiling Loss	10	st.triang(0.5, loc=0.05, scale=5e-6)	1	MSL
Residential PV	BoS Slow Progress	Inverter Capital	11	st.triang(0.5, loc=0.3, scale=3e-5)	$/W	ICC
Residential PV	BoS Slow Progress	Inverter Lifetime	12	st.triang(0.5, loc=16, scale=0.0016)	yr	ILT
Residential PV	BoS Slow Progress	Inverter Replacement	13	st.triang(0.5, loc=0.5, scale=5e-5)	1	IRC
Residential PV	BoS Slow Progress	Inverter Efficiency	14	st.triang(0.5, loc=0.9, scale=9e-5)	1	IEF
Residential PV	BoS Slow Progress	DC-to-AC Ratio	15	st.triang(0.5, loc=1.4, scale=0.00014)	1	IDC
