Technology,Scenario,Sample,Variable,Index,Value,Units
Residential PV,2015 Actual,1,Cost,Cost,19539.719759614974,$/system
Residential PV,2015 Actual,1,Metric,GHG,-0.006262269986052615,ΔgCO2e/system
Residential PV,2015 Actual,1,Metric,LCOE,-1.3170874267109944e-05,Δ$/kWh
Residential PV,2015 Actual,1,Metric,Labor,-0.01804679104384377,Δ$/system
Residential PV,2015 Actual,1,Output,Electricity,184097.00863190892,kWh
Residential PV,2015 Actual,2,Cost,Cost,19540.46187920129,$/system
Residential PV,2015 Actual,2,Metric,GHG,-0.0026062701288793733,ΔgCO2e/system
Residential PV,2015 Actual,2,Metric,LCOE,-1.2508176737993648e-05,Δ$/kWh
Residential PV,2015 Actual,2,Metric,Labor,0.036865030616809236,Δ$/system
Residential PV,2015 Actual,2,Output,Electricity,184105.15014789038,kWh
Residential PV,2015 Actual,3,Cost,Cost,19537.995172441966,$/system
Residential PV,2015 Actual,3,Metric,GHG,-0.005448401136277425,ΔgCO2e/system
Residential PV,2015 Actual,3,Metric,LCOE,-2.7582504707746036e-06,Δ$/kWh
Residential PV,2015 Actual,3,Metric,Labor,0.022376727416940412,Δ$/system
Residential PV,2015 Actual,3,Output,Electricity,184098.82102974976,kWh
Residential PV,2015 Actual,4,Cost,Cost,19541.734407956763,$/system
Residential PV,2015 Actual,4,Metric,GHG,-0.0033701238297254577,ΔgCO2e/system
Residential PV,2015 Actual,4,Metric,LCOE,-2.040086280823139e-05,Δ$/kWh
Residential PV,2015 Actual,4,Metric,Labor,0.022074426910421607,Δ$/system
Residential PV,2015 Actual,4,Output,Electricity,184103.4491283729,kWh
Residential PV,2015 Actual,5,Cost,Cost,19539.748477163637,$/system
Residential PV,2015 Actual,5,Metric,GHG,-0.0036944426823453114,ΔgCO2e/system
Residential PV,2015 Actual,5,Metric,LCOE,-1.0030184561332645e-05,Δ$/kWh
Residential PV,2015 Actual,5,Metric,Labor,0.05000716481595191,Δ$/system
Residential PV,2015 Actual,5,Output,Electricity,184102.72690539018,kWh
Residential PV,2015 Actual,6,Cost,Cost,19537.50306789716,$/system
Residential PV,2015 Actual,6,Metric,GHG,0.001490018242677138,ΔgCO2e/system
Residential PV,2015 Actual,6,Metric,LCOE,8.820950205032374e-06,Δ$/kWh
Residential PV,2015 Actual,6,Metric,Labor,0.02436044287628647,Δ$/system
Residential PV,2015 Actual,6,Output,Electricity,184114.27213873953,kWh
Residential PV,2015 Actual,7,Cost,Cost,19537.6243304049,$/system
Residential PV,2015 Actual,7,Metric,GHG,0.002801576428950625,ΔgCO2e/system
Residential PV,2015 Actual,7,Metric,LCOE,9.845682413467394e-06,Δ$/kWh
Residential PV,2015 Actual,7,Metric,Labor,-0.024843236714787054,Δ$/system
Residential PV,2015 Actual,7,Output,Electricity,184117.19283686625,kWh
Residential PV,2015 Actual,8,Cost,Cost,19540.136936353058,$/system
Residential PV,2015 Actual,8,Metric,GHG,-0.005580483065457997,ΔgCO2e/system
Residential PV,2015 Actual,8,Metric,LCOE,-1.4561601288112791e-05,Δ$/kWh
Residential PV,2015 Actual,8,Metric,Labor,0.03343584622803064,Δ$/system
Residential PV,2015 Actual,8,Output,Electricity,184098.52689758912,kWh
Residential PV,2015 Actual,9,Cost,Cost,19539.32036887444,$/system
Residential PV,2015 Actual,9,Metric,GHG,-0.010134564673236923,ΔgCO2e/system
Residential PV,2015 Actual,9,Metric,LCOE,-1.597310393187945e-05,Δ$/kWh
Residential PV,2015 Actual,9,Metric,Labor,-0.049448427557990726,Δ$/system
Residential PV,2015 Actual,9,Output,Electricity,184088.38545075132,kWh
Residential PV,2015 Actual,10,Cost,Cost,19539.36174632318,$/system
Residential PV,2015 Actual,10,Metric,GHG,-0.007483504580008571,ΔgCO2e/system
Residential PV,2015 Actual,10,Metric,LCOE,-1.2794086596504273e-05,Δ$/kWh
Residential PV,2015 Actual,10,Metric,Labor,0.032704024822578504,Δ$/system
Residential PV,2015 Actual,10,Output,Electricity,184094.28907464628,kWh
Residential PV,2015 Actual,11,Cost,Cost,19540.493857960348,$/system
Residential PV,2015 Actual,11,Metric,GHG,-0.0006546568492638016,ΔgCO2e/system
Residential PV,2015 Actual,11,Metric,LCOE,-1.0176421948421277e-05,Δ$/kWh
Residential PV,2015 Actual,11,Metric,Labor,-0.031837205865485885,Δ$/system
Residential PV,2015 Actual,11,Output,Electricity,184109.49617943476,kWh
Residential PV,2015 Actual,12,Cost,Cost,19539.870434417535,$/system
Residential PV,2015 Actual,12,Metric,GHG,-0.00561357192694345,ΔgCO2e/system
Residential PV,2015 Actual,12,Metric,LCOE,-1.315647808275422e-05,Δ$/kWh
Residential PV,2015 Actual,12,Metric,Labor,0.1015543386383797,Δ$/system
Residential PV,2015 Actual,12,Output,Electricity,184098.4532122759,kWh
Residential PV,2015 Actual,13,Cost,Cost,19540.29487874502,$/system
Residential PV,2015 Actual,13,Metric,GHG,-0.0024674763227068297,ΔgCO2e/system
Residential PV,2015 Actual,13,Metric,LCOE,-1.142290034750193e-05,Δ$/kWh
Residential PV,2015 Actual,13,Metric,Labor,0.046178014341194284,Δ$/system
Residential PV,2015 Actual,13,Output,Electricity,184105.4592266746,kWh
Residential PV,2015 Actual,14,Cost,Cost,19537.549630303038,$/system
Residential PV,2015 Actual,14,Metric,GHG,-0.006154711092634102,ΔgCO2e/system
Residential PV,2015 Actual,14,Metric,LCOE,-1.2448310349327807e-06,Δ$/kWh
Residential PV,2015 Actual,14,Metric,Labor,0.021642967444449823,Δ$/system
Residential PV,2015 Actual,14,Output,Electricity,184097.2481539231,kWh
Residential PV,2015 Actual,15,Cost,Cost,19541.24404278701,$/system
Residential PV,2015 Actual,15,Metric,GHG,-0.0066378171389374074,ΔgCO2e/system
Residential PV,2015 Actual,15,Metric,LCOE,-2.1932853442360734e-05,Δ$/kWh
Residential PV,2015 Actual,15,Metric,Labor,0.004190422645478975,Δ$/system
Residential PV,2015 Actual,15,Output,Electricity,184096.1723290461,kWh
Residential PV,2015 Actual,16,Cost,Cost,19537.330659736082,$/system
Residential PV,2015 Actual,16,Metric,GHG,-0.00755188725224798,ΔgCO2e/system
