,Parameter,Case,TaxCreditCase,CRPYears,Technology,DisplayName,Scenario,variable,value,Reference,Type of Evidence,Escalation Index,Zotero_Key,Summary,Bib_HTML
0,Inflation Rate,R&D,None,20,Nuclear,*,*,2030,0.025,,,,,,
1,Interest Rate Nominal,R&D,None,20,Nuclear,*,Advanced,2030,0.075,,,,,,
2,Interest Rate Nominal,R&D,None,20,Nuclear,*,Moderate,2030,0.075,,,,,,
3,Interest Rate Nominal,R&D,None,20,Nuclear,*,Conservative,2030,0.075,,,,,,
4,Calculated Interest Rate Real,R&D,None,20,Nuclear,*,Advanced,2030,0.04878048780487809,,,,,,
5,Calculated Interest Rate Real,R&D,None,20,Nuclear,*,Moderate,2030,0.04878048780487809,,,,,,
6,Calculated Interest Rate Real,R&D,None,20,Nuclear,*,Conservative,2030,0.04878048780487809,,,,,,
7,Interest During Construction - Nominal,R&D,None,20,Nuclear,*,*,2030,0.065,,,,,,
8,Rate of Return on Equity Nominal,R&D,None,20,Nuclear,*,Advanced,2030,0.085,,,,,,
9,Rate of Return on Equity Nominal,R&D,None,20,Nuclear,*,Moderate,2030,0.085,,,,,,
10,Rate of Return on Equity Nominal,R&D,None,20,Nuclear,*,Conservative,2030,0.085,,,,,,
11,Calculated Rate of Return on Equity Real,R&D,None,20,Nuclear,*,Advanced,2030,0.05853658536585371,,,,,,
12,Calculated Rate of Return on Equity Real,R&D,None,20,Nuclear,*,Moderate,2030,0.05853658536585371,,,,,,
13,Calculated Rate of Return on Equity Real,R&D,None,20,Nuclear,*,Conservative,2030,0.05853658536585371,,,,,,
14,Debt Fraction,R&D,None,20,Nuclear,*,Advanced,2030,0.55,,,,,,
15,Debt Fraction,R&D,None,20,Nuclear,*,Moderate,2030,0.55,,,,,,
16,Debt Fraction,R&D,None,20,Nuclear,*,Conservative,2030,0.55,,,,,,
17,Tax Rate (Federal and State),R&D,None,20,Nuclear,*,*,2030,0.2574,,,,,,
18,WACC Nominal,R&D,None,20,Nuclear,*,Advanced,2030,0.06888225,,,,,,
19,WACC Nominal,R&D,None,20,Nuclear,*,Moderate,2030,0.06888225,,,,,,
20,WACC Nominal,R&D,None,20,Nuclear,*,Conservative,2030,0.06888225,,,,,,
21,WACC Real,R&D,None,20,Nuclear,*,Advanced,2030,0.0428119512195122,,,,,,
22,WACC Real,R&D,None,20,Nuclear,*,Moderate,2030,0.0428119512195122,,,,,,
23,WACC Real,R&D,None,20,Nuclear,*,Conservative,2030,0.0428119512195122,,,,,,
24,CRF,R&D,None,20,Nuclear,*,Advanced,2030,0.07542551902259627,,,,,,
25,FCR,R&D,None,20,Nuclear,*,Advanced,2030,0.07976905999738929,,,,,,
26,CRF,R&D,None,20,Nuclear,*,Moderate,2030,0.07542551902259627,,,,,,
27,FCR,R&D,None,20,Nuclear,*,Moderate,2030,0.07976905999738929,,,,,,
28,CRF,R&D,None,20,Nuclear,*,Conservative,2030,0.07542551902259627,,,,,,
29,FCR,R&D,None,20,Nuclear,*,Conservative,2030,0.07976905999738929,,,,,,
30,CF,R&D,None,20,Nuclear,Nuclear - Large,Advanced,2030,0.93,"Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. “Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.” Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.",Empirical Market Data,N/A,PL7EJT85,"Abou-Jaoude et al., 2024","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. &#x201C;Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.&#x201D; Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.</div> </div>"
31,CF,R&D,None,20,Nuclear,Nuclear - Large,Moderate,2030,0.93,"Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. “Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.” Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.",Empirical Market Data,N/A,PL7EJT85,"Abou-Jaoude et al., 2024","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. &#x201C;Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.&#x201D; Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.</div> </div>"
32,CF,R&D,None,20,Nuclear,Nuclear - Large,Conservative,2030,0.93,"Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. “Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.” Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.",Empirical Market Data,N/A,PL7EJT85,"Abou-Jaoude et al., 2024","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. &#x201C;Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.&#x201D; Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.</div> </div>"
33,CF,R&D,None,20,Nuclear,Nuclear - Small,Advanced,2030,0.93,"Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. “Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.” Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.",Empirical Market Data,N/A,PL7EJT85,"Abou-Jaoude et al., 2024","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. &#x201C;Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.&#x201D; Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.</div> </div>"
34,CF,R&D,None,20,Nuclear,Nuclear - Small,Moderate,2030,0.93,"Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. “Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.” Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.",Empirical Market Data,N/A,PL7EJT85,"Abou-Jaoude et al., 2024","<div class=""csl-bib-body"" style=""line-height: 1.35; padding-left: 1em; text-indent:-1em;"">   <div class=""csl-entry"">Abou-Jaoude, Abdalla, Levi Larsen, Nahuel Guaita, Ishita Trivedi, Frederick Josek, Christopher Lohse, Edward Hoffman, Nicolas Stauff, Koroush Shirvan, and Adam Stein. &#x201C;Meta-Analysis of Advanced Nuclear Reactor Cost Estimations.&#x201D; Idaho National Laboratory, June 2024. https://www.osti.gov/biblio/2371533.</div> </div>"
