i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7937.174972,134.912177,3.556022,10.455
Nuclear-SMR,2011,7937.174972,134.912177,3.556022,10.455
Nuclear-SMR,2012,7937.174972,134.912177,3.556022,10.455
Nuclear-SMR,2013,7937.174972,134.912177,3.556022,10.455
Nuclear-SMR,2014,7937.174972,134.912177,3.556022,10.455
Nuclear-SMR,2015,7937.174972,134.912177,3.556022,10.455
Nuclear-SMR,2016,7937.174972,134.912177,3.556022,10.455
Nuclear-SMR,2017,7937.174972,134.912177,3.556022,10.455
Nuclear-SMR,2018,7937.174972,134.912177,3.556022,10.455
Nuclear-SMR,2019,7937.174972,134.912177,3.556022,10.455
Nuclear-SMR,2020,8015.362173,134.189278,3.512687,10.455
Nuclear-SMR,2021,9013.38307,133.564464,3.518996,10.455
Nuclear-SMR,2022,5725.499996,122.838,2.2902,9.18
Nuclear-SMR,2023,5725.499996,122.838,2.2902,9.18
Nuclear-SMR,2024,5725.499996,122.838,2.2902,9.18
Nuclear-SMR,2025,5725.499996,122.838,2.2902,9.18
Nuclear-SMR,2026,5725.499996,122.838,2.2902,9.18
Nuclear-SMR,2027,5725.499996,122.838,2.2902,9.18
Nuclear-SMR,2028,5725.499996,122.838,2.2902,9.18
Nuclear-SMR,2029,5725.499996,122.838,2.2902,9.18
Nuclear-SMR,2030,5750.0,118.0,2.2,9.18
Nuclear-SMR,2031,5300.0,118.0,2.2,9.18
Nuclear-SMR,2032,4850.0,118.0,2.2,9.18
Nuclear-SMR,2033,4400.0,118.0,2.2,9.18
Nuclear-SMR,2034,3950.0,118.0,2.2,9.18
Nuclear-SMR,2035,3500.0,118.0,2.2,9.18
Nuclear-SMR,2036,3300.0,118.0,2.2,9.18
Nuclear-SMR,2037,3100.0,118.0,2.2,9.18
Nuclear-SMR,2038,2900.0,118.0,2.2,9.18
Nuclear-SMR,2039,2700.0,118.0,2.2,9.18
Nuclear-SMR,2040,2500.0,118.0,2.2,9.18
Nuclear-SMR,2041,2450.0,118.0,2.2,9.18
Nuclear-SMR,2042,2400.0,118.0,2.2,9.18
Nuclear-SMR,2043,2350.0,118.0,2.2,9.18
Nuclear-SMR,2044,2300.0,118.0,2.2,9.18
Nuclear-SMR,2045,2250.0,118.0,2.2,9.18
Nuclear-SMR,2046,2200.0,118.0,2.2,9.18
Nuclear-SMR,2047,2150.0,118.0,2.2,9.18
Nuclear-SMR,2048,2100.0,118.0,2.2,9.18
Nuclear-SMR,2049,2050.0,118.0,2.2,9.18
Nuclear-SMR,2050,2000.0,118.0,2.2,9.18
Nuclear-SMR,2051,2000.0,118.0,2.2,9.18
Nuclear-SMR,2052,2000.0,118.0,2.2,9.18
Nuclear-SMR,2053,2000.0,118.0,2.2,9.18
Nuclear-SMR,2054,2000.0,118.0,2.2,9.18
Nuclear-SMR,2055,2000.0,118.0,2.2,9.18
Nuclear-SMR,2056,2000.0,118.0,2.2,9.18
Nuclear-SMR,2057,2000.0,118.0,2.2,9.18
Nuclear-SMR,2058,2000.0,118.0,2.2,9.18
Nuclear-SMR,2059,2000.0,118.0,2.2,9.18
Nuclear-SMR,2060,2000.0,118.0,2.2,9.18
