years,fom,vom,capcost
2010,185.99461276513796,12.529114178542876,10478.842543059882
2011,185.99461276513796,12.529114178542876,10478.842543059882
2012,185.99461276513796,12.529114178542876,10478.842543059882
2013,185.99461276513796,12.529114178542876,10478.842543059882
2014,185.99461276513796,12.529114178542876,10478.842543059882
2015,185.99461276513796,12.529114178542876,10478.842543059882
2016,185.99461276513796,12.529114178542876,10478.842543059882
2017,185.99461276513796,12.529114178542876,10478.842543059882
2018,185.99461276513796,12.529114178542876,10478.842543059882
2019,185.99461276513796,12.529114178542876,10478.842543059882
2020,185.99461276513796,12.529114178542876,10478.842543059882
2021,185.99461276513796,12.529114178542876,10478.842543059882
2022,185.99461276513796,12.529114178542876,10478.842543059882
2023,185.99461276513796,12.529114178542876,10478.842543059882
2024,185.99461276513796,12.529114178542876,10478.842543059882
2025,185.99461276513796,12.529114178542876,10478.842543059882
2026,185.99461276513796,12.529114178542876,10478.842543059882
2027,185.99461276513796,12.529114178542876,10478.842543059882
2028,186.26304443473458,12.54323141541571,10971.855377658003
2029,186.26304443473458,12.673537562718884,11104.144517968221
2030,182.96908386730405,12.61911101466481,10227.697476836556
2031,181.21840948234336,12.728052388866955,5802.412632804448
2032,183.88622544982144,12.60881954286743,5250.059182724239
2033,182.67809131150497,12.660254167393008,5235.956057707742
2034,182.91916230259616,12.630345828682865,5197.049931343539
2035,186.38660587598497,12.630345828682865,5320.888292023479
2036,185.78480333218354,12.532285771169406,4927.6037799306605
2037,184.96850331418204,12.833083346606616,4682.650081459946
2038,184.55124891211332,12.770220330660251,4505.693058823113
2039,184.46211214260177,12.650147224260714,4423.661624429488
2040,181.5760478379518,12.5203965987292,4390.185048436046
2041,182.32080878077375,12.83155204039302,4247.099315324151
2042,181.67760529048982,12.958424466244013,4219.820025229985
2043,183.98052156948438,13.115051958847161,4141.934824391049
2044,183.98847594605425,13.303700288300115,4100.845992180667
2045,188.0106097929936,13.074193014665322,3927.9204063498123
2046,185.085301346121,13.164163540452712,3980.4492037397613
2047,184.40930231739458,13.20146555312601,3954.517154570167
2048,182.53619577273685,13.250997049169719,4016.771323563694
2049,182.07476000977266,13.019753117085786,3887.266296439532
2050,181.39595672154348,13.01910157777296,3835.945432369966
2051,181.39595672154348,13.171704848418985,3792.7761997257267
2052,180.80848163301795,13.17758317438189,3761.8081977351467
2053,181.24402826413348,13.103807356027325,3798.381957896727
2054,181.24402826413348,13.030770653342177,3798.381957896727
2055,180.9522049261285,13.030770653342177,3807.377453506101
2056,180.9522049261285,13.030770653342177,3807.377453506101
2057,180.9522049261285,13.030770653342177,3807.377453506101
2058,180.9522049261285,13.030770653342177,3807.377453506101
2059,180.9522049261285,13.030770653342177,3807.377453506101
2060,180.9522049261285,13.030770653342177,3807.377453506101
