Category,Technology,Tranche,Sample,Index,Value,Units
BoS R&D,Residential PV,BoS High R&D,1,GHG,-0.006406650386182378,ΔgCO2e/system
BoS R&D,Residential PV,BoS High R&D,1,LCOE,0.009333251296801445,Δ$/kWh
BoS R&D,Residential PV,BoS High R&D,1,Labor,-480.6685540766666,Δ$/system
BoS R&D,Residential PV,BoS High R&D,2,GHG,0.0005693192065336916,ΔgCO2e/system
BoS R&D,Residential PV,BoS High R&D,2,LCOE,0.010175760992891983,Δ$/kWh
BoS R&D,Residential PV,BoS High R&D,2,Labor,-473.36038569113043,Δ$/system
BoS R&D,Residential PV,BoS High R&D,3,GHG,-0.009888223593861767,ΔgCO2e/system
BoS R&D,Residential PV,BoS High R&D,3,LCOE,0.01043168109260001,Δ$/kWh
BoS R&D,Residential PV,BoS High R&D,3,Labor,-488.2694413951692,Δ$/system
BoS R&D,Residential PV,BoS High R&D,4,GHG,-0.005886358644090706,ΔgCO2e/system
BoS R&D,Residential PV,BoS High R&D,4,LCOE,0.010758427663483866,Δ$/kWh
BoS R&D,Residential PV,BoS High R&D,4,Labor,-582.6568203255531,Δ$/system
BoS R&D,Residential PV,BoS High R&D,5,GHG,-0.006900359257471678,ΔgCO2e/system
BoS R&D,Residential PV,BoS High R&D,5,LCOE,0.009920816343814656,Δ$/kWh
BoS R&D,Residential PV,BoS High R&D,5,Labor,-465.5832925733073,Δ$/system
BoS R&D,Residential PV,BoS High R&D,6,GHG,-0.007004502027385229,ΔgCO2e/system
BoS R&D,Residential PV,BoS High R&D,6,LCOE,0.010081529174598411,Δ$/kWh
BoS R&D,Residential PV,BoS High R&D,6,Labor,-507.1431463365734,Δ$/system
BoS R&D,Residential PV,BoS High R&D,7,GHG,0.0058827295303842675,ΔgCO2e/system
BoS R&D,Residential PV,BoS High R&D,7,LCOE,0.011500876959273973,Δ$/kWh
BoS R&D,Residential PV,BoS High R&D,7,Labor,-588.0853216892663,Δ$/system
