Technology	Type	Index	Offset	Description	Notes
Biorefinery v1	Capital	Preprocessing	0	process area capital costs	
Biorefinery v1	Capital	Fermentation	1	process area capital costs	
Biorefinery v1	Capital	Conversion	2	process area capital costs	
Biorefinery v1	Capital	Separations	3	process area capital costs	
Biorefinery v1	Capital	Utilities	4	process area capital costs	
Biorefinery v1	Fixed	Rent	0		
Biorefinery v1	Fixed	Insurance	1		
Biorefinery v1	Input	Feedstock	0		
Biorefinery v1	Input	Natural Gas	1		
Biorefinery v1	Output	Biofuel	0		
Biorefinery v1	Technical Parameter	Fossil GHG	0	kg CO2-eq/year	
Biorefinery v1	Technical Parameter	Biogenic GHG	1	kg CO2-eq/year	
Biorefinery v1	Technical Parameter	Employment	2	person-hours/year	
Biorefinery v1	Technical Parameter	Preprocessing Capital Cost	3	USD/biorefinery	
Biorefinery v1	Technical Parameter	Fermentation Capital Cost	4	USD/biorefinery	
Biorefinery v1	Technical Parameter	Conversion Capital Cost	5	USD/biorefinery	
Biorefinery v1	Technical Parameter	Separations Capital Cost	6	USD/biorefinery	
Biorefinery v1	Technical Parameter	Utilities Capital Cost	7	USD/biorefinery	
Biorefinery v1	Technical Parameter	Rent	8	USD/year	
Biorefinery v1	Technical Parameter	Insurance	9	USD/year	
Biorefinery v1	Technical Parameter	Original Scale	10	unitless	
Biorefinery v1	Technical Parameter	Scaling Factor	11	unitless	
Biorefinery v1	Technical Parameter	Ideal Biofuel Yield	12	gal/metric ton	
Biorefinery v1	Technical Parameter	Discount Rate	13	unitless	
Biorefinery v1	Technical Parameter	Depreciation Period	14	year	
Biorefinery v1	Technical Parameter	Depreciation Period Utilities	15	year	
Biorefinery v1	Technical Parameter	Income Tax Rate	16	unitless	
Biorefinery v1	Metric	Jobs	0	person-hours/gal biofuel	
Biorefinery v1	Metric	Fossil GHG	1	kg CO2-eq/gal biofuel	
Biorefinery v1	Metric	Total GHG	2	kg CO2-eq/gal biofuel	
Biorefinery v1	Metric	MFSP	3	USD/gal biofuel	minimum fuel selling price
